
[00:00:00.000 --> 00:00:04.000]  今日講到的題目叫做大衛的情歸何處
[00:00:04.000 --> 00:00:08.000]  這個情不是講愛情 是講到他自己的感情或感受
[00:00:08.000 --> 00:00:12.000]  有時在想 有錢的人 有地位的人 是否沒有感情的困難
[00:00:12.000 --> 00:00:16.000]  情緒上的困擾呢 我相信應該不是
[00:00:16.000 --> 00:00:19.000]  今日這一節的經文 雖然是一節的經文
[00:00:19.000 --> 00:00:22.000]  不過其實我通常講一節經文 意思都不是講一節經文
[00:00:22.000 --> 00:00:27.000]  是講了七章的經文 在薩姆爾記下十三章叫十九章
[00:00:27.000 --> 00:00:34.000]  講到大衛主要和他的兒女一些片段
[00:00:34.000 --> 00:00:37.000]  或者其中一個兒子叫阿沙隆 是他第三個兒子
[00:00:37.000 --> 00:00:43.000]  一些七章經過十一年的片段 七章的經文裏面記載
[00:00:43.000 --> 00:00:46.000]  我請大家先讀出這一節的約節 好 請讀
[00:00:46.000 --> 00:00:55.000]  大衛因甚麼事發怒呢 我們都會簡單
[00:00:55.000 --> 00:00:58.000]  因為有七章的經文都很不容易處理
[00:00:58.000 --> 00:01:02.000]  大家要明白 我講道有時真的很想講簡單
[00:01:02.000 --> 00:01:04.000]  但講七章經文始終是很長的經文
[00:01:04.000 --> 00:01:09.000]  我用了五個片段和大家分享大衛他的情緒
[00:01:09.000 --> 00:01:13.000]  他的情感的表達 或者他處事的模式究竟是怎樣
[00:01:13.000 --> 00:01:16.000]  我們要明白大衛是一個很淑靈的人
[00:01:16.000 --> 00:01:20.000]  他是詩人 他是敬拜者 他是對神很有信心
[00:01:20.000 --> 00:01:24.000]  我們每一次講他和大衛哥利亞的故事都很興奮
[00:01:24.000 --> 00:01:27.000]  多有信心能夠面對這樣的事情
[00:01:27.000 --> 00:01:30.000]  他的能力是很強的
[00:01:30.000 --> 00:01:35.000]  很多人對他很忠誠 甚至幫他拿水喝也是賣命的
[00:01:35.000 --> 00:01:37.000]  他是一個很得人心的人
[00:01:37.000 --> 00:01:43.000]  他和約拿丹那種友誼的關係 生死之交是很難得
[00:01:43.000 --> 00:01:49.000]  我們對大衛很多可以很重揚的經文 很多故事去分享去講述
[00:01:49.000 --> 00:01:52.000]  我不是一個專看人負面的人
[00:01:52.000 --> 00:01:56.000]  我只是覺得聖經給我們看到人一個全人
[00:01:56.000 --> 00:02:00.000]  他有很高崇的淑靈生命
[00:02:00.000 --> 00:02:03.000]  但他也有他淑靈的幽谷 生命的幽谷
[00:02:03.000 --> 00:02:07.000]  今天想透過這五段故事和大家分享
[00:02:07.000 --> 00:02:14.000]  第一件事件 如果大家有讀經識異同我們有同步
[00:02:14.000 --> 00:02:16.000]  你都會記得第一個事件
[00:02:16.000 --> 00:02:21.000]  他有一個長子暗戀 姦污了同父異母的胞妹他媽
[00:02:21.000 --> 00:02:26.000]  大衛有很多姨女在聖經有記名的 差不多二十個姨女
[00:02:26.000 --> 00:02:31.000]  姨子女有他媽這個名字 但還有其他的妃嬪的身份沒有記載
[00:02:31.000 --> 00:02:34.000]  差不多二十個有記名 有很多個沒有記名
[00:02:34.000 --> 00:02:38.000]  他有很多個太太 大概十個太太有記名的太太
[00:02:38.000 --> 00:02:39.000]  很多其他都是妃嬪
[00:02:39.000 --> 00:02:44.000]  因為這麼多姨女的怨故 姨女都不是出於同一個的媽媽
[00:02:44.000 --> 00:02:45.000]  很多不同的媽媽
[00:02:45.000 --> 00:02:52.000]  暗戀是長子 但他媽是另一個同父異母的妹妹
[00:02:52.000 --> 00:02:57.000]  暗戀 或者我們中國人口音 暗戀 或者是這樣
[00:02:57.000 --> 00:03:01.000]  他暗戀他的妹妹 一次他用了一個很狡猾的方法
[00:03:01.000 --> 00:03:03.000]  寓語長篇經常都有
[00:03:03.000 --> 00:03:10.000]  揸鞭 我不舒服啊 大衛 求你派我的妹妹他媽來送東西給我吃
[00:03:10.000 --> 00:03:12.000]  這樣我就會很快康復
[00:03:12.000 --> 00:03:17.000]  於是他媽就很單純地去服侍他哥哥
[00:03:17.000 --> 00:03:21.000]  這個暗戀 他就用了一個奸計 差派其他人出去
[00:03:21.000 --> 00:03:24.000]  然後關上門 為所欲為
[00:03:24.000 --> 00:03:28.000]  這件事件是很難接受在一個家庭裏面
[00:03:28.000 --> 00:03:31.000]  而事實這個不是完全陌生的事情
[00:03:31.000 --> 00:03:33.000]  我經常都會提到在亞洲很多國家
[00:03:33.000 --> 00:03:39.000]  在穆斯林 在印度的宗教裏面 其實很多都有這樣的情況
[00:03:39.000 --> 00:03:43.000]  在家庭裏面一些情慾的問題 一些亂倫的問題
[00:03:43.000 --> 00:03:46.000]  因為我們有一種shame culture
[00:03:46.000 --> 00:03:50.000]  我們不會將家醜隨便地向人宣揚
[00:03:50.000 --> 00:03:53.000]  可能大衛有這種文化的背景
[00:03:53.000 --> 00:03:56.000]  或者大衛有很多的背景 我們慢慢去看
[00:03:56.000 --> 00:04:00.000]  某些原因 他有一種情緒的表達 說很憤怒
[00:04:00.000 --> 00:04:02.000]  說絕對是憤怒 是不是
[00:04:02.000 --> 00:04:07.000]  如果 不幸地我不希望發生在家庭裏面
[00:04:07.000 --> 00:04:10.000]  有這樣的情況出現 如果你作為爸爸媽媽
[00:04:10.000 --> 00:04:12.000]  憤怒是絕對是對的
[00:04:12.000 --> 00:04:15.000]  但是大衛有沒有一些行動呢
[00:04:15.000 --> 00:04:17.000]  大衛有沒有對暗戀有些說話呢
[00:04:17.000 --> 00:04:21.000]  大衛有沒有處理他媽的情緒 感受 或者有些什麼的記載呢
[00:04:21.000 --> 00:04:24.000]  經文是沒有記載 是沒有講到
[00:04:24.000 --> 00:04:29.000]  唯一記載的就是大衛這種憤怒的情緒的表現
[00:04:29.000 --> 00:04:35.000]  這件事情 是不是有些事情不處理就會沒有問題呢
[00:04:35.000 --> 00:04:38.000]  有些人覺得 反正都發生了
[00:04:38.000 --> 00:04:40.000]  不是告他嗎 怎麼處罰那個人呢
[00:04:40.000 --> 00:04:43.000]  是不是可以挽回一個人的精粗呢
[00:04:43.000 --> 00:04:45.000]  是不是挽回這件事件呢
[00:04:45.000 --> 00:04:47.000]  很多不同的想法
[00:04:47.000 --> 00:04:50.000]  大衛似乎 我們不知道他為什麼沒有處理
[00:04:50.000 --> 00:04:52.000]  但經文就說他沒有處理
[00:04:52.000 --> 00:04:54.000]  我們不是說短時間沒有處理
[00:04:54.000 --> 00:04:57.000]  是說兩年他沒有處理這個問題
[00:04:57.000 --> 00:04:59.000]  聖經沒有記載兩年他有什麼行動
[00:04:59.000 --> 00:05:03.000]  有什麼對話 有什麼行動方案 是沒有
[00:05:03.000 --> 00:05:07.000]  但是 他媽的親哥哥是他同一個媽媽生的
[00:05:07.000 --> 00:05:08.000]  叫做阿沙隆
[00:05:08.000 --> 00:05:12.000]  這個是今天的主角 和大衛這種的關係
[00:05:12.000 --> 00:05:13.000]  十一年的裏面
[00:05:13.000 --> 00:05:17.000]  我們講的十三章和十九章是歷時大概十一年的時間
[00:05:17.000 --> 00:05:22.000]  兩年之後 大衛的兒子 三仔阿沙隆就要報仇
[00:05:22.000 --> 00:05:24.000]  因為這個是他的親妹妹
[00:05:24.000 --> 00:05:28.000]  他不能夠接受一個這樣的兄長去姦污他的妹妹
[00:05:28.000 --> 00:05:30.000]  他不能夠接受這件事情
[00:05:30.000 --> 00:05:33.000]  他看到大衛是沒有做過什麼 沒有處理過
[00:05:33.000 --> 00:05:35.000]  所以他部署了兩年的時間
[00:05:35.000 --> 00:05:40.000]  因為大衛的兄長是看得出阿沙隆是用了兩年的時間
[00:05:40.000 --> 00:05:44.000]  由他被姦污的時候就開始想怎樣去殺害這個兄長
[00:05:44.000 --> 00:05:47.000]  特別大衛是沒有處理到這個問題
[00:05:47.000 --> 00:05:52.000]  所以我們看到這個模式 五段經文
[00:05:52.000 --> 00:05:55.000]  今天講的五段經文都是類似這樣
[00:05:55.000 --> 00:05:59.000]  是大衛一種情緒 對某些事情發生一種情緒的表達
[00:05:59.000 --> 00:06:02.000]  他有一種情緒的反應
[00:06:02.000 --> 00:06:07.000]  但是他卻是沒有相對的行徑或者表達
[00:06:07.000 --> 00:06:09.000]  然後有其他人做了行動
[00:06:09.000 --> 00:06:13.000]  我們真的不知道為什麼大衛這樣做
[00:06:13.000 --> 00:06:16.000]  不過或者我們有一些的想法
[00:06:16.000 --> 00:06:22.000]  大衛對著暗戀 大衛可能很難去提他
[00:06:22.000 --> 00:06:27.000]  你強姦了你的妹妹 污辱了你的妹妹
[00:06:27.000 --> 00:06:32.000]  如果暗戀跟他說 你拿了別人的那個
[00:06:32.000 --> 00:06:35.000]  如果他這樣講的時候 大衛就無地自容
[00:06:35.000 --> 00:06:41.000]  大家知道這件事件 他拿了別人的太太 拔屎巴
[00:06:41.000 --> 00:06:45.000]  如果他兒子跟他說 你之前都是這樣 我學你
[00:06:45.000 --> 00:06:48.000]  如果是這樣的話 可能大衛不知道怎樣下台
[00:06:48.000 --> 00:06:52.000]  諷刺地 暗戀的名字的意思叫信實
[00:06:52.000 --> 00:06:55.000]  但是他一點都不信實 因為他姦污了他的妹妹
[00:06:55.000 --> 00:06:58.000]  沙龍的平安 他的名字叫平安之父
[00:06:58.000 --> 00:07:00.000]  因為沙龍就是平安
[00:07:00.000 --> 00:07:03.000]  他一點都不平安 因為他要殺他的哥哥
[00:07:03.000 --> 00:07:05.000]  很諷刺的名字
[00:07:05.000 --> 00:07:08.000]  其實很多希伯來文化 他們的名字都很有意思
[00:07:08.000 --> 00:07:12.000]  譬如我三個子女的意思都是有來自聖經的故事
[00:07:12.000 --> 00:07:14.000]  每一個都可以講一篇道
[00:07:14.000 --> 00:07:17.000]  有時候不知道講什麼道 我都會拿他們三個名字來講道
[00:07:17.000 --> 00:07:19.000]  他們的名字原本是很好的
[00:07:19.000 --> 00:07:23.000]  但是卻是出現這樣的事情 是沒有人想發生的
[00:07:23.000 --> 00:07:28.000]  大衛是很憤怒 但是只是記載憤怒 完全沒有記載
[00:07:28.000 --> 00:07:35.000]  他有其他的一些評論 或者一些行動去處理這件事情
[00:07:35.000 --> 00:07:38.000]  我們再看第二個事件 第二個事件是兩年之後
[00:07:38.000 --> 00:07:42.000]  沙龍要為他的妹妹報仇 有一次為她剪羊毛的事件
[00:07:42.000 --> 00:07:47.000]  要請她爸爸 要請兄長 兄弟去看剪羊毛
[00:07:47.000 --> 00:07:51.000]  應該是一個慶祝的日子 因為羊毛是一個日子
[00:07:51.000 --> 00:07:53.000]  大衛說我不去 你們去吧
[00:07:53.000 --> 00:07:56.000]  她就邀請了她的兄弟 很多兄弟去
[00:07:56.000 --> 00:08:02.000]  包括了殺姦污了她妹妹的暗戀去
[00:08:02.000 --> 00:08:06.000]  但是沙龍在這件事件裡面 喝得很開心的時候
[00:08:06.000 --> 00:08:08.000]  就叫他的手下殺了他
[00:08:08.000 --> 00:08:12.000]  於是大家都很害怕 要走啊 害怕得很交慣
[00:08:12.000 --> 00:08:21.000]  大衛一開始以為所有的兒子都被殺死 所以哭著哀悼
[00:08:21.000 --> 00:08:26.000]  但是後來他知道原來只有一個兒子是暗戀被殺
[00:08:26.000 --> 00:08:31.000]  大衛第37節說 大衛天天為他的兒子悲哀
[00:08:31.000 --> 00:08:39.000]  這裡經文記載似乎是幾年的時間為他的兒子悲哀
[00:08:39.000 --> 00:08:44.000]  過往兩年他沒有處理過其中一個女兒被姦污的事件
