
[00:00:00.000 --> 00:00:03.920]  有一次一個美國的航空母艦
[00:00:03.920 --> 00:00:06.680]  就在公海上面來航行
[00:00:06.680 --> 00:00:09.960]  走著走著的時候就見到前面
[00:00:09.960 --> 00:00:10.920]  是晚上來的
[00:00:10.920 --> 00:00:11.920]  見到前面有一盞燈
[00:00:11.920 --> 00:00:14.040]  前面有一盞燈
[00:00:14.040 --> 00:00:17.520]  但是又不覺得那盞燈在動
[00:00:17.520 --> 00:00:20.520]  如果再不動的話就會撞的了
[00:00:20.520 --> 00:00:22.360]  船長就覺得
[00:00:22.360 --> 00:00:23.680]  有沒有搞錯
[00:00:23.680 --> 00:00:26.280]  航空母艦竟然
[00:00:26.280 --> 00:00:28.000]  不讓路
[00:00:28.400 --> 00:00:33.560]  通過這個無線電跟他們說
[00:00:33.560 --> 00:00:36.720]  你快點轉換你的航道向北
[00:00:36.720 --> 00:00:39.080]  調校15度
[00:00:39.080 --> 00:00:40.760]  不然就會撞的了
[00:00:40.760 --> 00:00:43.360]  誰知道對方的回憶就是說
[00:00:43.360 --> 00:00:46.280]  我建議你向南面轉15度
[00:00:46.280 --> 00:00:48.840]  防止撞船
[00:00:48.840 --> 00:00:49.560]  哇
[00:00:49.560 --> 00:00:50.960]  這個航空母艦的
[00:00:50.960 --> 00:00:53.760]  船長一聽到就當然不開心了
[00:00:54.040 --> 00:00:59.080]  他說我是美國的航空母艦
[00:00:59.080 --> 00:01:01.720]  你快點轉換你的航道
[00:01:01.720 --> 00:01:04.200]  對方又回覆說
[00:01:04.200 --> 00:01:05.760]  我再重複一次
[00:01:05.760 --> 00:01:07.720]  你馬上轉換你的航道
[00:01:07.720 --> 00:01:11.120]  這個船長就很生氣
[00:01:11.120 --> 00:01:13.920]  然後就大聲的跟他說
[00:01:13.920 --> 00:01:15.840]  你知不知道我們是誰
[00:01:15.840 --> 00:01:17.000]  我們是大西洋
[00:01:17.000 --> 00:01:21.640]  艦隊的第二艦艇林肯號航空母艦
[00:01:22.040 --> 00:01:24.920]  我們有三艘驅逐艦
[00:01:24.920 --> 00:01:26.560]  三艘巡洋艦
[00:01:26.560 --> 00:01:29.920]  以及很多支援的護艦航空
[00:01:29.920 --> 00:01:31.520]  一起來行航
[00:01:31.520 --> 00:01:32.800]  我們有自由
[00:01:32.800 --> 00:01:35.120]  有權柄在這裡航行
[00:01:35.120 --> 00:01:37.400]  我現在命令你們快點改道
[00:01:37.400 --> 00:01:38.720]  如果不是的話
[00:01:38.720 --> 00:01:41.160]  我們就採取這個反制措施
[00:01:41.160 --> 00:01:42.720]  確保美國
