
[00:00:00.000 --> 00:00:08.680]  (主席:耶穌基督在十字架上講的第四句說話:我的神,我的神,為什麼離棄我?)
[00:00:08.680 --> 00:00:12.800]  耶穌基督在十字架上講的第四句說話是
[00:00:12.800 --> 00:00:17.840]  我的神,我的神,為什麼離棄我?
[00:00:17.840 --> 00:00:21.720]  耶穌用了詩篇二十二篇第一節這句經文
[00:00:21.720 --> 00:00:24.240]  來表達祂當時的心境
[00:00:24.240 --> 00:00:28.760]  祂那份孤單和被遺棄的恐懼
[00:00:28.760 --> 00:00:31.760]  表達了因為背負世人的罪
[00:00:31.760 --> 00:00:35.280]  連天父也離開了祂
[00:00:35.280 --> 00:00:39.240]  今天我們是否也有這個感覺?
[00:00:39.240 --> 00:00:42.240]  就是為什麼我們不斷在祈禱
[00:00:42.240 --> 00:00:44.280]  好像天父也聽不到
[00:00:44.280 --> 00:00:46.240]  沒有回應我們
[00:00:46.240 --> 00:00:49.080]  祂好像放棄了我們一樣
[00:00:49.080 --> 00:00:50.240]  弟兄姊妹
[00:00:50.240 --> 00:00:52.200]  我希望你們可以從另外一個角度
[00:00:52.200 --> 00:00:54.520]  來了解這段經文
[00:00:54.520 --> 00:00:56.720]  其實耶穌是提醒我們
[00:00:56.720 --> 00:01:01.160]  不要忽略了自己孤單和無助的感覺
[00:01:01.160 --> 00:01:05.080]  而是容許這些感覺的存在
[00:01:05.080 --> 00:01:09.720]  耶穌的呼喊是鼓勵我們可以面對這種恐懼
[00:01:09.720 --> 00:01:14.840]  透過禱告將這種恐懼變成信心
[00:01:14.840 --> 00:01:18.000]  唯有我們坦誠向上帝去抱怨
[00:01:18.000 --> 00:01:19.320]  去呼喊
[00:01:19.320 --> 00:01:21.240]  去祈求
[00:01:21.240 --> 00:01:24.800]  我們的恐懼才能夠被改變
[00:01:24.800 --> 00:01:28.760]  就好像這篇詩篇的第26節所形容
[00:01:28.760 --> 00:01:32.040]  謙卑的人必吃得飽足
[00:01:32.040 --> 00:01:35.600]  尋求耶華的人必讚彌他
[00:01:35.600 --> 00:01:39.000]  願你們的心永遠活著
[00:01:39.000 --> 00:01:41.560]  我鼓勵你向上帝祈禱
[00:01:41.560 --> 00:01:44.160]  將你心裡一切的說話告訴祂
[00:01:44.160 --> 00:01:46.920]  也鼓勵你和其他人一起祈禱
[00:01:46.920 --> 00:01:48.640]  經歷上帝的同在
[00:01:54.800 --> 00:01:56.800]  (CC字幕製作:貝爾)
