
[00:00:00.000 --> 00:00:03.540]  我們先分析一下上個星期的金句
[00:00:03.540 --> 00:00:05.880]  哥倫多前書十章十二節
[00:00:05.880 --> 00:00:07.280]  不知道有沒有人記得
[00:00:07.280 --> 00:00:12.820]  「誰自以為站得穩,誰就該小心免得跌倒」
[00:00:12.820 --> 00:00:14.240]  這個是很重要的
[00:00:14.240 --> 00:00:16.780]  很多時候聖經裡面給我們看到
[00:00:16.780 --> 00:00:20.500]  有很多人在面對試探的時候跌倒
[00:00:20.500 --> 00:00:24.180]  包括以利沙的僕人叫基哈西
[00:00:24.180 --> 00:00:29.140]  由於以利沙藉著上帝的幫助
[00:00:29.140 --> 00:00:31.740]  治療了敘利亞的統帥
[00:00:31.740 --> 00:00:33.940]  乃曼的麻瘋病
[00:00:33.940 --> 00:00:39.220]  乃曼很想送一份厚禮來籌謝以利沙
[00:00:39.220 --> 00:00:41.220]  但是以利沙不收
[00:00:41.220 --> 00:00:46.340]  不過他的僕人基哈西貪圖那些禮物
[00:00:46.340 --> 00:00:48.860]  追著上去找乃曼
[00:00:48.860 --> 00:00:50.640]  跟他說了一個謊話
[00:00:50.640 --> 00:00:54.420]  然後說「你送禮物給我們吧,我們有些人來了」
[00:00:54.420 --> 00:00:56.940]  結果他真的得到禮物
[00:00:56.940 --> 00:01:00.580]  但是同時也得到了乃曼的大麻瘋
[00:01:00.580 --> 00:01:03.080]  也有大衛
[00:01:03.080 --> 00:01:05.360]  大衛貪看
[00:01:05.360 --> 00:01:07.820]  記住見和看是有分別的
[00:01:07.820 --> 00:01:10.620]  他貪看拔仕巴出獄
[00:01:10.620 --> 00:01:13.820]  結果犯了姦淫
[00:01:13.820 --> 00:01:15.820]  為了想掩飾
[00:01:15.820 --> 00:01:17.260]  但是掩飾不遂
[00:01:17.260 --> 00:01:18.700]  就把心一橫
[00:01:18.700 --> 00:01:20.100]  借刀殺人
[00:01:20.100 --> 00:01:23.860]  殺了拔仕巴的丈夫烏利亞
[00:01:25.380 --> 00:01:28.380]  雖然大衛曾經是合上帝心意的人
[00:01:28.380 --> 00:01:29.980]  還寫了很多的詩篇
[00:01:29.980 --> 00:01:32.180]  但是當他犯罪的時候
[00:01:32.180 --> 00:01:34.380]  也要被上帝懲罰
[00:01:34.380 --> 00:01:37.260]  他姦淫了拔仕巴
[00:01:37.260 --> 00:01:39.380]  後來他有很多的妃嬪
[00:01:39.380 --> 00:01:42.860]  就被他的兒子亞沙隆姦污
[00:01:42.860 --> 00:01:46.020]  用來作一個政治表態
[00:01:46.020 --> 00:01:51.020]  而當拿丹仙芝去指責大衛的時候
[00:01:51.020 --> 00:01:53.020]  他就說了一個故事
[00:01:53.300 --> 00:01:55.500]  說到有一個有錢人
[00:01:55.500 --> 00:01:59.580]  搶了他一位窮鄰居的羊
[00:01:59.580 --> 00:02:01.060]  去款待客人
[00:02:01.060 --> 00:02:03.980]  大衛就對拿丹仙芝說
[00:02:03.980 --> 00:02:05.020]  這樣的人
[00:02:05.020 --> 00:02:06.180]  做這種事也行
[00:02:06.180 --> 00:02:08.140]  他一定要四倍償還
[00:02:08.140 --> 00:02:13.300]  結果上帝就真的按照大衛自己的口說
[00:02:13.300 --> 00:02:19.060]  就要大衛四倍償還他殺了烏利亞的罪
[00:02:19.820 --> 00:02:24.540]  他和拔仕巴所生的第一個兒子就死了
[00:02:24.540 --> 00:02:26.380]  然後他的女兒
[00:02:26.380 --> 00:02:27.820]  有一個女兒叫塔瑪
[00:02:27.820 --> 00:02:31.060]  就被他另外一個兒子叫暗聯強姦了
[00:02:31.060 --> 00:02:32.620]  很慘的
[00:02:32.620 --> 00:02:34.380]  從此不能夠嫁人
[00:02:34.380 --> 00:02:37.580]  要囚禁在宮中裡面過世
[00:02:37.580 --> 00:02:44.900]  第三就是大衛的兒子亞沙隆
[00:02:44.900 --> 00:02:48.460]  他就是塔瑪的哥哥
[00:02:49.180 --> 00:02:56.580]  由於暗聯強姦了他同父異母的姐妹
[00:02:56.580 --> 00:02:59.980]  大衛是沒有懲罰他
[00:02:59.980 --> 00:03:04.220]  所以亞沙隆就懷恨於心要為妹妹報仇
[00:03:04.220 --> 00:03:06.580]  最後是殺了暗聯的
[00:03:06.580 --> 00:03:11.700]  而最後亞沙隆就由於篡位
[00:03:11.700 --> 00:03:15.140]  而被忠於大衛的軍隊殺了
[00:03:15.140 --> 00:03:17.020]  四倍償還
[00:03:18.260 --> 00:03:20.700]  除了由於眼目的慾望
[00:03:20.700 --> 00:03:23.780]  肉體的慾望會使人跌倒之外
[00:03:23.780 --> 00:03:26.900]  其實有時候人生的苦難
[00:03:26.900 --> 00:03:31.180]  都會使人在信心方面軟弱跌倒
[00:03:31.180 --> 00:03:33.380]  在文述記裡面
[00:03:33.380 --> 00:03:35.980]  我們看到第一代出埃及的人
[00:03:35.980 --> 00:03:37.580]  的以色列人
[00:03:37.580 --> 00:03:40.100]  他們時時都埋怨摩西
[00:03:40.100 --> 00:03:42.340]  為什麼呢?
[00:03:42.340 --> 00:03:44.060]  就是由於苦難
[00:03:44.060 --> 00:03:46.380]  有時候沒有水喝
[00:03:46.380 --> 00:03:48.220]  有時候埋怨沒有肉吃
[00:03:49.060 --> 00:03:50.500]  一遇到這些情況的時候
[00:03:50.500 --> 00:03:53.980]  他們就忘記了那位走過十個神蹟
[00:03:53.980 --> 00:03:55.780]  碧埃及王放人
[00:03:55.780 --> 00:03:57.500]  又能夠洗到紅海
[00:03:57.500 --> 00:03:58.860]  分開讓他們走
[00:03:58.860 --> 00:04:00.620]  乾地過海的上帝
[00:04:00.620 --> 00:04:03.940]  今天我們開始看《雅各書》
[00:04:03.940 --> 00:04:07.460]  一開始其實都提到苦難的問題
[00:04:07.460 --> 00:04:10.260]  我們感謝主
[00:04:10.260 --> 00:04:12.780]  生活在信仰自由的地方
