
[00:00:00.000 --> 00:00:02.800]  對我們來說 復活節之後的主人都是提醒我們
[00:00:02.800 --> 00:00:06.000]  我們要怎樣去繼續回應這個復活的主
[00:00:06.000 --> 00:00:07.500]  怎樣繼續跟隨
[00:00:07.500 --> 00:00:10.300]  我們知道在聖經裡面說到耶穌復活了
[00:00:10.300 --> 00:00:12.300]  然後那些門徒做了些什麼呢?
[00:00:12.300 --> 00:00:13.900]  這個故事是未完的
[00:00:13.900 --> 00:00:15.100]  所以我鼓勵大家
[00:00:15.100 --> 00:00:18.100]  是藉著復活節之後的主人提醒我們自己
[00:00:18.100 --> 00:00:19.400]  這個故事是未完的
[00:00:19.400 --> 00:00:21.500]  我們要繼續去跟隨主
[00:00:21.500 --> 00:00:22.500]  如果你有聖經的話
[00:00:22.500 --> 00:00:24.400]  我邀請你一起去擁抱神的話語
[00:00:24.400 --> 00:00:25.500]  我們去禱告
[00:00:25.500 --> 00:00:28.500]  天王上帝 我們多謝你
[00:00:28.500 --> 00:00:31.500]  讓我們能夠守持你的話語
[00:00:31.500 --> 00:00:34.400]  從中我們可以對你有更多的認識
[00:00:34.400 --> 00:00:35.800]  更多的了解
[00:00:35.800 --> 00:00:38.600]  我們所信的主是一位怎樣的主
[00:00:38.600 --> 00:00:40.100]  祈求你幫助我們
[00:00:40.100 --> 00:00:42.000]  能夠忠心地去跟隨
[00:00:42.000 --> 00:00:44.500]  努力地去為你作見證
[00:00:44.500 --> 00:00:46.400]  讓我們能夠靠著你
[00:00:46.400 --> 00:00:48.500]  勝過心中的恐懼
[00:00:48.500 --> 00:00:50.900]  克服我們眾多的困難
[00:00:50.900 --> 00:00:52.300]  讓我們成為一個
[00:00:52.300 --> 00:00:55.500]  忠心承擔基督使命的門徒
[00:00:55.500 --> 00:00:57.900]  我們將以下時間恭敬交上
[00:00:57.900 --> 00:01:00.200]  他們親自地向我們說話
[00:01:00.200 --> 00:01:01.700]  觸動我們的心靈
[00:01:01.700 --> 00:01:03.200]  改變我們的生命
[00:01:03.200 --> 00:01:04.200]  聽我們祈禱
[00:01:04.200 --> 00:01:06.800]  奉靠耶穌基督得勝的明智祈求
[00:01:06.800 --> 00:01:07.800]  阿們
