
[00:00:00.000 --> 00:00:03.120]  大兄姊妹 長輩平安
[00:00:03.120 --> 00:00:13.180]  今天要和你們分享水洞聖靈的洗禮
[00:00:13.180 --> 00:00:17.800]  因為我們基督徒聖靈有兩大聖禮
[00:00:17.800 --> 00:00:21.520]  不是天主教有七個 我們是有兩個
[00:00:21.520 --> 00:00:25.240]  一個是洗禮 一個是聖餐
[00:00:25.240 --> 00:00:35.320]  這兩大聖禮和我們教恩或者耶穌基督的教授都有很大的關係
[00:00:35.320 --> 00:00:44.920]  但是我們看到在使徒行俊剛才我們大家讀的兩節經文
[00:00:44.920 --> 00:00:57.080]  這是主耶穌復活之後他先聽三天之前所說的這句話
[00:00:57.080 --> 00:01:02.680]  所以同門徒說 約翰是用水洗禮
[00:01:02.680 --> 00:01:07.200]  但是你們要做什麼 聖禮的洗禮
[00:01:07.200 --> 00:01:09.720]  所以我們是不是有時候
[00:01:09.720 --> 00:01:14.360]  我們已經 牧師已經和我們用水洗了
[00:01:14.360 --> 00:01:19.160]  那為什麼要用聖靈的洗呢
[00:01:19.160 --> 00:01:27.000]  這個在我差不多八十年代的時候
[00:01:27.000 --> 00:01:29.640]  八十年代的時候 我年輕的時候
[00:01:29.640 --> 00:01:31.240]  幾歲就不和你們說了
[00:01:31.240 --> 00:01:34.600]  不然你們就猜到我幾歲了
[00:01:34.600 --> 00:01:42.200]  八十年代的時候 我們在新加坡有一個運動
[00:01:42.200 --> 00:01:45.080]  那時候是一個靈陰運動
[00:01:45.080 --> 00:01:48.360]  所以每一次我們在公園或者海邊的時候
[00:01:48.360 --> 00:01:53.960]  總會有些人他們穿一件T恤
[00:01:53.960 --> 00:01:57.640]  那個T恤就是水血同聖靈
[00:01:57.640 --> 00:02:00.520]  水血同聖靈 或者水洗禮
[00:02:00.520 --> 00:02:05.880]  我忘記了 總之就是有水血同聖靈
[00:02:05.880 --> 00:02:09.480]  所以我們年輕的時候每一次在海邊玩
[00:02:09.480 --> 00:02:12.280]  他們就會來和我們說 你是不是基督徒
