
[00:00:00.000 --> 00:00:04.420]  今天講的是真教會的特質
[00:00:04.420 --> 00:00:08.720]  一,遲些會有二,以及會有三
[00:00:08.720 --> 00:00:12.860]  好,特質,我不知道大家想起甚麼特質
[00:00:12.860 --> 00:00:16.720]  以下有些人物,有些食物,有些事物
[00:00:16.720 --> 00:00:20.540]  大家想一想,它有甚麼特質
[00:00:20.540 --> 00:00:22.840]  第一個,看看你們認不認識
[00:00:22.840 --> 00:00:25.920]  他是誰?李小龍,對,一定認識
[00:00:25.920 --> 00:00:28.320]  他有甚麼特質?
[00:00:28.320 --> 00:00:31.400]  打得好,又拍得好
[00:00:31.400 --> 00:00:34.120]  我也覺得和大家想的差不多
[00:00:34.120 --> 00:00:38.320]  打得,拍得,我覺得他很能講,英文也很能講
[00:00:38.320 --> 00:00:40.800]  我師兄是拿沙仔
[00:00:40.800 --> 00:00:43.620]  第二,你想起甚麼?
[00:00:43.620 --> 00:00:46.520]  周星馳,想起甚麼特質?
[00:00:46.520 --> 00:00:49.640]  搞笑,還有呢?
[00:00:49.640 --> 00:00:52.640]  無厘頭文化,和你們想的一樣
[00:00:52.640 --> 00:00:55.040]  搞笑和無厘頭文化
[00:00:55.040 --> 00:01:00.920]  第三,我們見到奧運選手,你們會想起甚麼?
[00:01:00.920 --> 00:01:03.800]  金牌,還有呢?
[00:01:03.800 --> 00:01:05.880]  勤力,對了
[00:01:05.880 --> 00:01:08.720]  堅持,嘩,我們都很像,像不像?
[00:01:08.720 --> 00:01:12.960]  嘩,給掌聲你旁邊那個,很像我們想的一樣
[00:01:12.960 --> 00:01:16.640]  第四,Live音樂,你們想起甚麼?
[00:01:16.640 --> 00:01:20.160]  MC,沒錯,還有想起甚麼?
[00:01:20.160 --> 00:01:23.200]  想起我昨晚和太太去看,行不行
[00:01:23.200 --> 00:01:27.880]  很開心,接著我們找了香港01
[00:01:27.880 --> 00:01:32.640]  香港十六款街頭小吃的投票
[00:01:32.640 --> 00:01:36.720]  看看有甚麼適合你們吃,覺得很棒
[00:01:36.720 --> 00:01:40.080]  看看你的投票結果,由十六位開始
[00:01:40.080 --> 00:01:43.480]  第一位是最出名的,有沒有甚麼你喜歡的?
[00:01:43.480 --> 00:01:47.160]  你又想起甚麼特性,你有沒有流口水?
[00:01:47.160 --> 00:01:49.720]  第十六位,大家喜不喜歡?
[00:01:49.720 --> 00:01:52.640]  秋豆腐,喜歡就舉手,好嗎?
[00:01:52.640 --> 00:01:55.840]  你是我的朋友,一點都不臭,是吧?
[00:01:55.840 --> 00:01:58.760]  根本要改名叫香豆腐,是吧?
[00:01:58.760 --> 00:02:02.080]  好,第十五位,咖喱魚蛋,誰喜歡?
[00:02:02.080 --> 00:02:04.200]  嘩,都很多,不錯
[00:02:04.200 --> 00:02:07.680]  第十四位,炒到自己,誰喜歡?
[00:02:07.680 --> 00:02:11.520]  又是我朋友,嘩,熱騰騰,這樣炒一包
[00:02:11.520 --> 00:02:13.360]  我一個人可以吃一包,行不行?
[00:02:13.360 --> 00:02:16.880]  整包一磅,不過我老婆不給,今天坐在這裏
[00:02:16.880 --> 00:02:19.240]  我不是經常吃的,是吧?
[00:02:19.240 --> 00:02:23.040]  第十三位,生菜魚肉,誰喜歡?
[00:02:23.040 --> 00:02:26.200]  嘩,這些比較清,我朋友是零頭
[00:02:26.200 --> 00:02:30.360]  我也是零頭,這些比較清,我是重口味的人
