
[00:00:00.000 --> 00:00:04.600]  今天的題目是「仍未可修葛」
[00:00:04.600 --> 00:00:10.520]  是我們的主題「誰肯為我去第二講」
[00:00:10.520 --> 00:00:14.560]  上星期提到的題目是「請猜別人」
[00:00:14.560 --> 00:00:16.960]  我們有很多時候有很多藉口
[00:00:16.960 --> 00:00:20.960]  神感動我們要與別人分享神的愛
[00:00:20.960 --> 00:00:23.240]  或者與別人分享我們的見證時
[00:00:23.240 --> 00:00:29.000]  我們總會有些怯懦或者有些懼怕
[00:00:29.000 --> 00:00:32.440]  我們也會找一些藉口
[00:00:32.440 --> 00:00:34.320]  第一個藉口是上星期提到的
[00:00:34.320 --> 00:00:34.960]  「請猜別人」
[00:00:34.960 --> 00:00:36.520]  因為我沒有口才
[00:00:36.520 --> 00:00:39.000]  我又不太合適
[00:00:39.000 --> 00:00:40.200]  或者怎樣怎樣
[00:00:40.200 --> 00:00:42.520]  神啊!你猜另一個去吧
[00:00:42.520 --> 00:00:44.680]  今天提到
[00:00:44.680 --> 00:00:49.600]  有時候我們也會用這些作為一個藉口
[00:00:49.600 --> 00:00:53.160]  現在還未時機成熟
[00:00:53.160 --> 00:00:56.360]  或者還未到修葛的時候
[00:00:56.360 --> 00:01:00.520]  我們看看究竟主耶穌又怎樣看待這件事
[00:01:00.520 --> 00:01:07.560]  《約翰福音》第四章第35至38節是這樣說的
[00:01:07.560 --> 00:01:11.720]  「你們說再過四個月才是修葛的時候
[00:01:11.720 --> 00:01:12.800]  我告訴你們
[00:01:12.800 --> 00:01:14.960]  看看那片田地吧
[00:01:14.960 --> 00:01:18.040]  農作物已經成熟可以修葛了
[00:01:18.040 --> 00:01:20.400]  修葛的人得到報賞
[00:01:20.400 --> 00:01:24.440]  為永恆的生命積聚果實
[00:01:24.440 --> 00:01:27.960]  使栽種和修葛的一同快樂
[00:01:27.960 --> 00:01:30.560]  一人栽種
[00:01:30.560 --> 00:01:31.920]  另一人修葛
[00:01:31.920 --> 00:01:33.320]  這話是真的
[00:01:33.320 --> 00:01:34.720]  我差遣你們去
[00:01:34.720 --> 00:01:38.240]  修葛你們所沒有耕作的田地
[00:01:38.240 --> 00:01:39.680]  別人辛勞
[00:01:39.680 --> 00:01:43.640]  而你們享受他們辛勞的成果」
[00:01:43.640 --> 00:01:47.760]  這段經文的背景是怎樣的呢?
[00:01:47.760 --> 00:01:52.080]  主耶穌專程去到撒瑪利亞的地方
[00:01:52.080 --> 00:01:59.000]  在井旁與撒瑪利亞的婦人傳道
[00:01:59.000 --> 00:02:01.960]  在整個過程中
[00:02:01.960 --> 00:02:07.960]  撒瑪利亞的婦人知道這位耶穌是神的兒子
[00:02:07.960 --> 00:02:08.920]  是神
[00:02:08.920 --> 00:02:13.880]  她知道她自己過往生命中所發生的事
[00:02:13.880 --> 00:02:15.800]  所以她很驚訝
[00:02:15.800 --> 00:02:18.640]  所以她連水壺都不要
[00:02:18.640 --> 00:02:20.160]  本來她要出來打水
[00:02:20.160 --> 00:02:21.920]  在中午的時間
[00:02:21.920 --> 00:02:23.920]  連水壺都不要
[00:02:23.920 --> 00:02:26.040]  回到城內
[00:02:26.040 --> 00:02:33.600]  與城內的自己的鄉親父老
[00:02:33.600 --> 00:02:34.600]  作見證
[00:02:34.600 --> 00:02:36.360]  說我碰到這位主耶穌
[00:02:36.360 --> 00:02:44.080]  這位主耶穌可能就是我們等候已久的救世主尼采瓦
[00:02:44.080 --> 00:02:47.880]  在這段時間裡
[00:02:47.880 --> 00:02:55.720]  剛才發生了耶穌與門徒的一段對話
[00:02:55.720 --> 00:03:02.480]  耶穌向門徒說明了修葛的真理
[00:03:02.480 --> 00:03:05.080]  說完這段話之後
[00:03:05.080 --> 00:03:09.840]  城內的撒瑪利亞人就出來了
[00:03:09.840 --> 00:03:12.360]  出來聽耶穌的講道
[00:03:12.360 --> 00:03:15.520]  其中有很多人都信了耶穌
[00:03:15.520 --> 00:03:20.080]  不僅如此,撒瑪利亞人還邀請主耶穌
[00:03:20.080 --> 00:03:22.800]  多留幾天在這裡
[00:03:22.800 --> 00:03:27.360]  我們很想聽更多關於神國的真理
[00:03:27.360 --> 00:03:32.520]  正因如此,很多撒瑪利亞人都信了主
[00:03:32.520 --> 00:03:35.320]  背景就是這樣
[00:03:35.320 --> 00:03:37.520]  在這段時間裡
[00:03:37.520 --> 00:03:42.200]  耶穌向門徒說明了修葛的真理
[00:03:42.200 --> 00:03:44.200]  主耶穌說
[00:03:44.200 --> 00:03:48.680]  再過四個月才是修葛的時候
[00:03:48.680 --> 00:03:51.400]  但是主耶穌對這些門徒說
[00:03:51.400 --> 00:03:53.200]  你看看這個田地吧
[00:03:53.200 --> 00:03:55.440]  農作物已經成熟了
[00:03:55.440 --> 00:03:57.440]  可以修葛了
[00:03:57.440 --> 00:04:02.160]  這裡有兩個時間
[00:04:02.160 --> 00:04:03.680]  第一個就是說
[00:04:03.680 --> 00:04:05.680]  看看這些田地
[00:04:05.680 --> 00:04:09.080]  按照人的意思
[00:04:09.080 --> 00:04:10.880]  或者按照人的時間
[00:04:10.880 --> 00:04:15.760]  的確是有四個月的時間才是修葛的時間
[00:04:15.760 --> 00:04:18.400]  但是主耶穌說
[00:04:18.400 --> 00:04:21.600]  神國的修葛
[00:04:21.600 --> 00:04:24.120]  如何去分享見證
[00:04:24.120 --> 00:04:25.680]  如何去帶人信主
[00:04:25.680 --> 00:04:29.960]  修葛的時間不是按照人的時間
[00:04:29.960 --> 00:04:32.040]  而是按照神的時間
[00:04:32.040 --> 00:04:33.760]  所以耶穌說
[00:04:33.760 --> 00:04:35.400]  你看看這個田地吧
[00:04:35.400 --> 00:04:39.200]  看看人的生命準備好了沒有
[00:04:39.200 --> 00:04:41.200]  他說農作物已經成熟
[00:04:41.200 --> 00:04:43.680]  即是人的心已經準備好了
[00:04:43.680 --> 00:04:45.040]  可以修葛了
[00:04:45.040 --> 00:04:47.360]  其實主耶穌說這句話
[00:04:47.360 --> 00:04:51.640]  是指這群撒瑪利亞人
[00:04:51.640 --> 00:04:53.240]  看來
[00:04:53.240 --> 00:04:54.880]  用人的眼光去看
[00:04:54.880 --> 00:04:56.840]  好像他們還未成熟
[00:04:56.840 --> 00:05:02.720]  或者還未準備好接受神國的福音
[00:05:02.720 --> 00:05:04.480]  但是主耶穌說
[00:05:04.480 --> 00:05:06.200]  農作物已經成熟了
[00:05:06.200 --> 00:05:07.040]  可以修葛了
[00:05:07.040 --> 00:05:09.840]  當這群撒瑪利亞人出來的時候
[00:05:09.840 --> 00:05:11.040]  他們聽到的時候
[00:05:11.040 --> 00:05:12.880]  有很多人信了主
