
[00:00:00.000 --> 00:00:04.660]  當一個母親在生日那天收到一份
[00:00:04.660 --> 00:00:08.440]  由她的子女送給她的禮物
[00:00:08.440 --> 00:00:12.260]  這位母親她非常高興
[00:00:12.260 --> 00:00:16.220]  因為是一個最新款的萬用布
[00:00:16.220 --> 00:00:20.920]  價錢是不便宜的 但是根據這個說明書
[00:00:20.920 --> 00:00:27.840]  它是可以做到蒸、煎、炸、煮、燉等等
[00:00:27.840 --> 00:00:31.120]  十八般武藝 樣樣皆能的
[00:00:31.120 --> 00:00:35.480]  真是一個為主所用的廚房 好幫手
[00:00:35.480 --> 00:00:37.380]  是不是很吸引呢?
[00:00:37.380 --> 00:00:40.920]  我想各位姐妹都很想有一個
[00:00:40.920 --> 00:00:46.500]  或者有些姐妹她家裏已經有一個在幫忙
[00:00:46.500 --> 00:00:48.740]  是不是很幫得上忙呢?
[00:00:48.740 --> 00:00:51.600]  今天我們所讀的這段經文
[00:00:51.600 --> 00:00:55.160]  其實是保羅要告訴我們
[00:00:55.160 --> 00:00:57.840]  作為一個新約的執事
[00:00:57.840 --> 00:01:01.520]  就是那些信了耶穌的基督徒
[00:01:01.520 --> 00:01:05.220]  我們應該好像這個萬用布那樣
[00:01:05.220 --> 00:01:08.600]  凡事都為主所用的
[00:01:08.600 --> 00:01:10.520]  他為什麼這樣說呢?
[00:01:10.520 --> 00:01:14.700]  原來在六章第一節那裏他告訴我們
[00:01:14.700 --> 00:01:18.620]  既然我們有幸成為神的工人
[00:01:18.620 --> 00:01:21.360]  與祂一起來侍奉的時候
[00:01:21.360 --> 00:01:24.080]  我們就應該盡了我們的責任
[00:01:24.080 --> 00:01:26.740]  我們不可以徒受祂的恩典
[00:01:26.740 --> 00:01:29.840]  我們不能夠不作為、毫無表現
[00:01:29.840 --> 00:01:34.520]  或者躺平來白領祂的恩典
[00:01:34.520 --> 00:01:37.020]  我們中國人有一句話
[00:01:37.020 --> 00:01:40.440]  「德人因果千年記」
[00:01:40.440 --> 00:01:44.880]  這樣 恩典到底是指到些什麼呢?
[00:01:44.880 --> 00:01:49.080]  保羅在《哥林多後書》第五章第21節
[00:01:49.080 --> 00:01:51.080]  其實他在那裏已經跟我們說
[00:01:51.080 --> 00:01:56.500]  他說「上帝洗腦無罪的是我們成為罪
[00:01:56.500 --> 00:02:01.980]  保佑我們在祂裏面成為上帝的兒」
[00:02:01.980 --> 00:02:03.500]  這一節經文
[00:02:03.500 --> 00:02:06.220]  我們每一個字我們都懂得讀
[00:02:06.220 --> 00:02:07.920]  但是作為一個基督徒
[00:02:07.920 --> 00:02:14.780]  我們對神的恩典到底有多少了解和認識呢?
[00:02:14.780 --> 00:02:17.560]  德國神學家寬霍華
[00:02:17.560 --> 00:02:21.220]  他在《追隨基督》這本書上
[00:02:21.220 --> 00:02:24.440]  就有下面的一段解釋
[00:02:24.440 --> 00:02:30.060]  他說廉價的恩典就是將恩典作為一種教義
[00:02:30.060 --> 00:02:33.200]  一種原則、一種制度
[00:02:33.200 --> 00:02:38.700]  他只需要宣講恩典得赦免的一般的真理
[00:02:38.700 --> 00:02:44.140]  上帝的愛被看作為基督教上帝的概念
[00:02:44.140 --> 00:02:49.480]  只要我們在頭腦上同意了這種概念的時候
[00:02:49.480 --> 00:02:52.560]  就可以獲得這個赦免
[00:02:52.560 --> 00:02:58.720]  而教會只要對恩典持有正確的教義
[00:02:58.720 --> 00:03:03.820]  實際上就等於在這個恩典上是有份的
[00:03:03.820 --> 00:03:05.660]  到底是不是這樣的呢?
[00:03:05.660 --> 00:03:08.920]  原來寬霍華在另外一段的說話裏面
[00:03:08.920 --> 00:03:13.060]  就說到原來恩典是貴重的
[00:03:13.060 --> 00:03:16.480]  因為祂呼召我們來跟從
[00:03:16.480 --> 00:03:18.720]  並且祂是恩典
[00:03:18.720 --> 00:03:23.140]  因為祂呼召我們來跟隨耶穌基督
[00:03:23.140 --> 00:03:24.740]  祂是貴重的
[00:03:24.740 --> 00:03:29.580]  因為祂使人付出生命作為代價
[00:03:29.580 --> 00:03:35.560]  祂是恩典 因為祂賜給人唯一的真生命
[00:03:35.560 --> 00:03:40.520]  祂也是重價的 因為祂是定罪
[00:03:40.520 --> 00:03:45.540]  祂是恩典 因為祂使罪人輕易
[00:03:45.540 --> 00:03:49.680]  而最重要的就是 祂之所以是貴重
[00:03:49.680 --> 00:03:58.600]  因為祂使上帝付出了祂兒子的生命作為代價
[00:03:58.600 --> 00:04:05.020]  簡單來說 信徒對這個重價的恩典的回應
[00:04:05.020 --> 00:04:09.680]  是要有一個跟隨耶穌基督的生命
[00:04:09.680 --> 00:04:13.960]  即是說是一個付出代價的生命
[00:04:13.960 --> 00:04:18.960]  因為神是用重價將我們買贖回來
[00:04:18.960 --> 00:04:23.500]  就等於萬用刀那樣
[00:04:23.500 --> 00:04:29.680]  是子女花很多心思和金錢買回來
[00:04:29.680 --> 00:04:34.320]  送給他們的媽媽一樣
[00:04:34.320 --> 00:04:38.720]  接下來很久在《六章》第二節
[00:04:38.720 --> 00:04:44.640]  當然是引用舊約爾塞亞書第49章第8節
[00:04:44.640 --> 00:04:52.020]  來勵勸哥倫多的信徒 要他們快快來回轉
[00:04:52.020 --> 00:04:54.500]  趁著耶穌還沒有回來的時候
[00:04:54.500 --> 00:04:59.200]  重新來認識神的奇異的恩典
[00:04:59.200 --> 00:05:04.480]  和祂來和好 不要聽那些假先知
[00:05:04.480 --> 00:05:08.260]  假教師、假使徒的教導
[00:05:08.260 --> 00:05:10.840]  要他們改邪歸正
[00:05:10.840 --> 00:05:14.860]  因為我們只能夠認識
