
[00:00:00.000 --> 00:00:07.800]  在人生中,每個階段都可能有我們面對的挑戰和壓力
[00:00:07.800 --> 00:00:14.700]  有時我會問自己,我們的信仰在我們的生命中
[00:00:14.700 --> 00:00:19.000]  和在這個時候未有信仰的朋友
[00:00:19.000 --> 00:00:23.100]  當我們面對人生中不同的挑戰和壓力
[00:00:23.100 --> 00:00:26.200]  究竟有什麼不同呢?
[00:00:26.200 --> 00:00:29.400]  究竟信仰對我們有什麼影響?
[00:00:29.400 --> 00:00:33.600]  抑或我們面對壓力和一般人一樣的時候
[00:00:33.600 --> 00:00:39.600]  我們就要反思我們自己信仰對我們的生命的轉化
[00:00:39.600 --> 00:00:42.600]  和生命的影響有多少
[00:00:42.600 --> 00:00:46.300]  今天我們被安排講到的經文
[00:00:46.300 --> 00:00:48.900]  因為我們現在講到的,是我們無法選擇的
[00:00:48.900 --> 00:00:52.800]  就是去到哪個星期就選擇那一段,就是你要講的
[00:00:52.800 --> 00:00:55.600]  今天我們被安排的經文就是《馬可福音》
[00:00:55.600 --> 00:01:02.500]  由第十章,由第十七節一直到第三十一節的這一大段的聖經
[00:01:02.500 --> 00:01:05.700]  而當我自己去思考這段聖經的時候
[00:01:05.700 --> 00:01:10.200]  我就一直去想,究竟怎樣去表達這一段的經文
[00:01:10.200 --> 00:01:12.200]  一段我們很熟悉的經文
[00:01:12.200 --> 00:01:17.800]  於是我就用了一個題目,一個題目非常老套的題目
[00:01:17.800 --> 00:01:21.000]  老套到一個地步,你可能都不會記得這個字
[00:01:21.000 --> 00:01:24.500]  就是信耶穌得永生,是不是很老套的題目
[00:01:24.500 --> 00:01:26.500]  你跟隔壁的人說這個題目真的很老套
[00:01:26.500 --> 00:01:28.500]  是一個六十年代的題目
[00:01:28.500 --> 00:01:34.500]  但我覺得,究竟什麼叫永生?
[00:01:34.500 --> 00:01:36.500]  什麼叫信耶穌?
[00:01:36.500 --> 00:01:40.500]  我們很多時候都會說,我好想要耶穌
[00:01:40.500 --> 00:01:42.500]  我得到永生了
[00:01:42.500 --> 00:01:45.500]  究竟我們的信耶穌,得永生
[00:01:45.500 --> 00:01:50.000]  究竟是不是聖經裡面耶穌的教導?
[00:01:50.000 --> 00:01:53.500]  當然,如果我們很明白什麼叫永生
[00:01:53.500 --> 00:01:55.500]  我相信我們真的很明白
[00:01:55.500 --> 00:01:57.500]  我們經常都說,永生就是一信耶穌
[00:01:57.500 --> 00:01:59.500]  永生就是住在我們生命當中
[00:01:59.500 --> 00:02:02.500]  然後我們去到有一天,我們離開世界
[00:02:02.500 --> 00:02:04.500]  不過我們有一天,我們會復活
[00:02:04.500 --> 00:02:06.500]  然後復活之後,有一個審判
[00:02:06.500 --> 00:02:08.500]  審判之後,就是永生或者永死
[00:02:08.500 --> 00:02:11.500]  我們都很清楚一個這樣的觀點
[00:02:11.500 --> 00:02:16.500]  但究竟永生對我們今天,我們仍然在生的人
[00:02:16.500 --> 00:02:18.500]  究竟有什麼影響呢?
[00:02:18.500 --> 00:02:20.500]  在六十年代,七十年代有一個笑話
[00:02:20.500 --> 00:02:23.500]  這個笑話說到有兩個人
[00:02:23.500 --> 00:02:26.500]  有一天在街上碰面
[00:02:26.500 --> 00:02:30.500]  一個是基督徒,一個暫時還不是基督徒
[00:02:30.500 --> 00:02:33.500]  對話當中,那個還不是基督徒的朋友
[00:02:33.500 --> 00:02:35.500]  跟基督徒的朋友說
[00:02:35.500 --> 00:02:38.500]  終於我知道你為什麼信耶穌了
[00:02:38.500 --> 00:02:41.500]  這麼有趣,你知道我為什麼信耶穌了
[00:02:41.500 --> 00:02:44.500]  就問他,我為什麼會信耶穌呢?
[00:02:44.500 --> 00:02:46.500]  因為信耶穌有水牛
[00:02:46.500 --> 00:02:49.500]  當然,怎麼會信耶穌有水牛呢?
[00:02:49.500 --> 00:02:51.500]  不信,他說他不信
[00:02:51.500 --> 00:02:53.500]  我帶你去看,信耶穌有水牛
[00:02:53.500 --> 00:02:56.500]  於是他就去到一間教會,一個外牆上面
[00:02:56.500 --> 00:02:59.500]  寫著一個字,信耶穌有水牛
[00:02:59.500 --> 00:03:02.500]  為什麼信耶穌有水牛呢?
[00:03:02.500 --> 00:03:05.500]  原來剛剛幾天之前,打風
[00:03:05.500 --> 00:03:09.500]  打風將水字上面那一點吹乾了
[00:03:09.500 --> 00:03:13.500]  將永生的生字下面那一劃吹乾了
[00:03:13.500 --> 00:03:16.500]  於是看上去,信耶穌有水牛
[00:03:16.500 --> 00:03:19.500]  第一,我們覺得是一個笑話
[00:03:19.500 --> 00:03:21.500]  是一個60年代,70年代的笑話
[00:03:21.500 --> 00:03:24.500]  信耶穌怎麼可能有水牛呢?
[00:03:24.500 --> 00:03:27.500]  但是去到我們這個人海世紀那邊
[00:03:27.500 --> 00:03:29.500]  其實不多不少
[00:03:29.500 --> 00:03:32.500]  其實我們將水牛變了
[00:03:32.500 --> 00:03:33.500]  今天我們信耶穌的人
[00:03:33.500 --> 00:03:36.500]  我們很多時候都是在面對困境的時候
[00:03:36.500 --> 00:03:37.500]  我們信耶穌
[00:03:37.500 --> 00:03:40.500]  所以在病床上信耶穌的人最多
[00:03:40.500 --> 00:03:43.500]  因為第一,他沒話說,說不了話
[00:03:43.500 --> 00:03:46.500]  信耶穌,信耶穌,信耶穌
[00:03:46.500 --> 00:03:47.500]  第二,他博一博
[00:03:47.500 --> 00:03:50.500]  信耶穌可以得到水牛,得到病得醫治
[00:03:50.500 --> 00:03:55.500]  但是真的,神很多時候真的在病那邊經歷醫治
[00:03:55.500 --> 00:03:56.500]  因為他信耶穌
[00:03:56.500 --> 00:04:00.500]  以致到今天,在一些所謂豐盛神學的教導那邊
[00:04:00.500 --> 00:04:04.500]  甚至他說,信耶穌,你買股票都容易贏一點
[00:04:04.500 --> 00:04:06.500]  所以股票就成為了我們的水牛
[00:04:06.500 --> 00:04:10.500]  但是弟兄姊妹,究竟什麼叫做信耶穌?
[00:04:10.500 --> 00:04:12.500]  什麼叫做得永生呢?
[00:04:12.500 --> 00:04:14.500]  今天我們要安排的經文
[00:04:14.500 --> 00:04:17.500]  就是馬克福音第十七節到三十一節
[00:04:17.500 --> 00:04:19.500]  特別由十七節開始
[00:04:19.500 --> 00:04:25.500]  去到二十二節是說了一個我們很熟悉的事件
[00:04:25.500 --> 00:04:27.500]  就是關於一個少年的官
[00:04:27.500 --> 00:04:30.500]  我們傳統說他是一個少年的官
[00:04:30.500 --> 00:04:32.500]  有一天他跑去耶穌面前
[00:04:32.500 --> 00:04:33.500]  他跪在耶穌面前
[00:04:33.500 --> 00:04:36.500]  問耶穌一個很嚴肅的問題
[00:04:36.500 --> 00:04:41.500]  就是我要作什麼才能夠承受永生
[00:04:41.500 --> 00:04:43.500]  問一個永生的問題
[00:04:43.500 --> 00:04:48.500]  當然我們問回我們自己這段聖經
[00:04:48.500 --> 00:04:52.500]  我們傳統說他是少年的官
[00:04:52.500 --> 00:04:59.500]  他去找耶穌得永生問題的討論
[00:04:59.500 --> 00:05:02.500]  但是如果我們嚴格去看聖經
[00:05:02.500 --> 00:05:06.500]  我們看回馬太、馬可、路加
[00:05:06.500 --> 00:05:09.500]  都有記載同一件事蹟
[00:05:09.500 --> 00:05:13.500]  究竟這三個作者在記載同一件事蹟裡
[00:05:13.500 --> 00:05:16.500]  怎樣描述這個人呢?
[00:05:16.500 --> 00:05:18.500]  馬可就很簡單
[00:05:18.500 --> 00:05:20.500]  他就說有一個人
[00:05:20.500 --> 00:05:22.500]  有一天跑去耶穌面前
[00:05:22.500 --> 00:05:23.500]  跪在耶穌面前
