
[00:00:00.000 --> 00:00:06.220]  在1991年 老布殊總統宣佈New World Order
[00:00:06.220 --> 00:00:11.680]  當然有人都說笑 其實都不是New 又不是World Order
[00:00:11.680 --> 00:00:18.480]  但其實是一種蘇聯崩潰之後 美國開始去領導世界
[00:00:18.480 --> 00:00:27.280]  就是想將美國式的自由主義 資本主義的經濟等等
[00:00:27.280 --> 00:00:32.240]  就在全球發展 所謂的Globalization 就是全球化
[00:00:32.240 --> 00:00:36.000]  Globalization其實就是一種全球網絡的結合
[00:00:36.000 --> 00:00:37.960]  因為剛剛互聯網興起
[00:00:37.960 --> 00:00:43.240]  同時通過各種全球化的組織
[00:00:43.240 --> 00:00:50.440]  就可以其它國家的界限 通過關稅解除的界限
[00:00:50.440 --> 00:00:55.840]  當然西方世界可以更容易在第三世界拿到各種資源
[00:00:55.840 --> 00:01:00.180]  同時也能夠投資進入第三世界
[00:01:00.180 --> 00:01:02.960]  當時這個都是一個新的構想
[00:01:02.960 --> 00:01:05.640]  希望這樣會不會帶來和平呢
[00:01:05.640 --> 00:01:09.960]  全球化就是當時這樣開始
[00:01:09.960 --> 00:01:14.440]  1991年就是很多新的發展出來
[00:01:14.440 --> 00:01:19.240]  到20世紀結尾 就有一些調查指出
[00:01:19.240 --> 00:01:23.080]  全球化其實都不是帶來了平等
[00:01:23.080 --> 00:01:26.160]  最高三個全世界最有錢的人
[00:01:26.160 --> 00:01:28.240]  就是億萬富豪 就是Bill Gates那一類
[00:01:28.240 --> 00:01:32.880]  他的資產是窮國6億人口的GDP的總和
[00:01:32.880 --> 00:01:38.080]  就是在非洲6億人加起來的錢就是那三個人的錢
[00:01:38.080 --> 00:01:42.160]  到80年代 90年代20世紀
[00:01:42.160 --> 00:01:44.840]  16億人變得更加貧窮
[00:01:44.840 --> 00:01:49.600]  70個國家的收入降低 其實是中斷了的
[00:01:49.600 --> 00:01:55.760]  不過唯一一個成功的就是中國貧窮降低了
[00:01:55.760 --> 00:01:58.560]  所以雖然有些地方是更貧窮
[00:01:58.560 --> 00:02:00.640]  但是中國慢慢就解決了這個問題
[00:02:00.640 --> 00:02:02.960]  接著進入21世紀
[00:02:02.960 --> 00:02:08.600]  其實經濟 就業 健康 文化 環保都不是很安全
[00:02:08.600 --> 00:02:11.320]  根據2004年的報告
[00:02:11.320 --> 00:02:18.360]  就是500萬人口的挪威人的收入是3萬8千美金
[00:02:18.360 --> 00:02:22.520]  而和它一樣這麼大的人口就是塞拉里昂
[00:02:22.520 --> 00:02:26.680]  叫獅子山共和國收入是140元美金
[00:02:26.680 --> 00:02:28.520]  這個世界就是很不公平的
[00:02:28.520 --> 00:02:31.480]  就是窮的地方和有錢的地方
[00:02:31.480 --> 00:02:35.640]  然後2013年聯合國的發展報告
[00:02:35.640 --> 00:02:40.360]  就是大部分區域的收入不平等的現象都是加劇
[00:02:40.360 --> 00:02:44.840]  健康教育方面不平等的現象是稍微緩解了
[00:02:44.840 --> 00:02:48.000]  就是通過救援 世界衛生組織等等
[00:02:48.000 --> 00:02:49.560]  那個就好了一點
[00:02:49.560 --> 00:02:52.240]  但是差不多所有研究結果都認為
[00:02:52.240 --> 00:02:56.320]  全球收入不平等的現象更加嚴重
[00:02:56.320 --> 00:02:58.400]  所以自從蘇聯崩潰以後
[00:02:58.400 --> 00:03:01.520]  以為應該世界會好一點 但其實不是
[00:03:01.520 --> 00:03:06.320]  因為開始社會主義 共產主義那邊下降了
[00:03:06.320 --> 00:03:07.680]  資本主義興起
[00:03:07.680 --> 00:03:09.080]  資本主義興起之後
[00:03:09.080 --> 00:03:12.240]  這個世界通過各種自由貿易的做法
