
[00:00:00.000 --> 00:00:02.000]  弟子們 早安
[00:00:02.000 --> 00:00:05.000]  新年快樂 指恩蒙福
[00:00:05.000 --> 00:00:07.000]  讓我們一起祈禱吧
[00:00:07.000 --> 00:00:09.000]  主我們感謝祢
[00:00:09.000 --> 00:00:12.000]  因為祢在中國人的農曆新年的時候
[00:00:12.000 --> 00:00:15.000]  讓我們仍然能夠回到祢的聖殿當中
[00:00:15.000 --> 00:00:17.000]  我們一同敬拜祢
[00:00:17.000 --> 00:00:18.000]  然而今天
[00:00:18.000 --> 00:00:21.000]  我們無論是直接講道的
[00:00:21.000 --> 00:00:22.000]  聽道的
[00:00:22.000 --> 00:00:26.000]  但都讓我們可以去深思上帝的說話
[00:00:26.000 --> 00:00:28.000]  然而主的靈在我們當中
[00:00:28.000 --> 00:00:29.000]  與我們同在
[00:00:29.000 --> 00:00:32.000]  讓我們能夠思想上帝祢的心意
[00:00:32.000 --> 00:00:35.000]  讓我們能夠去忠心跟隨
[00:00:35.000 --> 00:00:37.000]  求祢保守和帶領我們每一個
[00:00:37.000 --> 00:00:39.000]  奉主耶穌的聖命祈求
[00:00:39.000 --> 00:00:40.000]  阿門
[00:00:40.000 --> 00:00:43.000]  今天是新年的年初二
[00:00:43.000 --> 00:00:46.000]  講一下一個新年的傳說
[00:00:46.000 --> 00:00:48.000]  應該是大家都聽過的
[00:00:48.000 --> 00:00:50.000]  新年的由來
[00:00:50.000 --> 00:00:51.000]  其中一個人
[00:00:51.000 --> 00:00:53.000]  有一個傳說是這樣說的
[00:00:53.000 --> 00:00:55.000]  就是年獸在冬天
[00:00:55.000 --> 00:00:57.000]  即是萬天風雪的時候
[00:00:57.000 --> 00:00:58.000]  找不到東西吃
[00:00:58.000 --> 00:01:01.000]  所以就去到附近的村莊要找東西吃
[00:01:01.000 --> 00:01:03.000]  村民見到年獸就很害怕
[00:01:03.000 --> 00:01:05.000]  因為怕會來襲擊他
[00:01:05.000 --> 00:01:08.000]  所以他們就上了山去躲避他
[00:01:08.000 --> 00:01:11.000]  不過慢慢一年又一年的過去
[00:01:11.000 --> 00:01:14.000]  有人發現原來年獸有些東西害怕
[00:01:14.000 --> 00:01:15.000]  他害怕什麼呢
[00:01:15.000 --> 00:01:17.000]  可能他害怕紅色
[00:01:17.000 --> 00:01:19.000]  他害怕火光和炮仗的聲音
[00:01:19.000 --> 00:01:22.000]  所以年獸闖入村的時候
[00:01:22.000 --> 00:01:25.000]  村民就開了家裡所有的燈
[00:01:25.000 --> 00:01:30.000]  貼了很多紅色的紙
[00:01:30.000 --> 00:01:33.000]  令到年獸覺得很刺眼
[00:01:33.000 --> 00:01:35.000]  又聽到很多炮竹的聲音
[00:01:35.000 --> 00:01:37.000]  就把年獸趕走了
[00:01:37.000 --> 00:01:40.000]  自此之後每年的除夕
[00:01:40.000 --> 00:01:42.000]  就會貼了這些紅色的灰春
[00:01:42.000 --> 00:01:44.000]  好像我這樣穿得紅噹噹
[00:01:44.000 --> 00:01:48.000]  然後又放炮竹放炮仗
[00:01:48.000 --> 00:01:52.000]  家家戶戶都開了所有的燈去守歲
[00:01:52.000 --> 00:01:54.000]  到了大年初一
[00:01:54.000 --> 00:01:57.000]  所有人就出來彼此道賀
[00:01:57.000 --> 00:02:00.000]  因為我們這一年又過渡了
[00:02:00.000 --> 00:02:03.000]  年獸不再能襲擊我們
[00:02:03.000 --> 00:02:04.000]  然後他們就說
[00:02:04.000 --> 00:02:06.000]  這個風俗就是這樣一度傳一度傳
[00:02:06.000 --> 00:02:10.000]  就成為了我們今天的農曆新年
[00:02:10.000 --> 00:02:14.000]  當然我們都不是很相信這個傳統
[00:02:14.000 --> 00:02:18.000]  我們都不會覺得這是一件真人真事
[00:02:18.000 --> 00:02:20.000]  不過以故事來看
[00:02:20.000 --> 00:02:24.000]  這樣聽下去其實都是屬於一個開心的故事
[00:02:24.000 --> 00:02:27.000]  起碼村民有一個好的結局
[00:02:27.000 --> 00:02:32.000]  本身他們每年都很怕年獸會來攻擊他們
[00:02:32.000 --> 00:02:34.000]  但是現在他們不需要再擔心
[00:02:34.000 --> 00:02:36.000]  因為年獸已經走了
[00:02:36.000 --> 00:02:39.000]  不過這個故事的延續是怎樣呢
[00:02:39.000 --> 00:02:46.000]  就是人不斷把很多禮儀規矩禁忌加進去
[00:02:46.000 --> 00:02:52.000]  既然覺得要跟著這樣做 接下來這一年的日子就會慢慢好
[00:02:52.000 --> 00:02:55.000]  說起這些規矩和禁忌
[00:02:55.000 --> 00:02:59.000]  我記得我有一個和我一樣是信二代的朋友
[00:02:59.000 --> 00:03:02.000]  裡面的分享是這樣的
[00:03:02.000 --> 00:03:10.000]  他婆婆信主之前是一個非常迷信於民間信仰的一位長者
[00:03:10.000 --> 00:03:16.000]  所以婆婆每年新年的時候都有很多事情要做
[00:03:16.000 --> 00:03:18.000]  也有很多事情不可以做
[00:03:18.000 --> 00:03:22.000]  而我這個信二代的朋友因為看到婆婆這麼忙
[00:03:22.000 --> 00:03:28.000]  所以他就在大年初一一大早就過去幫忙
[00:03:28.000 --> 00:03:30.000]  其實他都很乖
[00:03:30.000 --> 00:03:36.000]  不過他對這些傳統和禁忌一點概念都沒有
[00:03:36.000 --> 00:03:43.000]  所以他首先一開門叮噹的時候就拿著一碗白粥和油條進去
[00:03:43.000 --> 00:03:45.000]  婆婆已經皺眉了
[00:03:45.000 --> 00:03:47.000]  一大早就吃這些東西
[00:03:47.000 --> 00:03:51.000]  然後他就在想 咦他皺眉是不是我沒有分享給他呢
[00:03:51.000 --> 00:03:53.000]  你吃不吃啊
[00:03:53.000 --> 00:03:55.000]  那婆婆已經是這樣了
[00:03:55.000 --> 00:03:58.000]  之後他見有時間就幫忙
[00:03:58.000 --> 00:04:02.000]  他覺得以他的能力有什麼可以幫忙呢
[00:04:02.000 --> 00:04:06.000]  結果他就幫婆婆死去練三十晚的乩三
[00:04:06.000 --> 00:04:10.000]  還有掃地 抹地
[00:04:10.000 --> 00:04:14.000]  結果這個朋友差點被人家年初一就開戀了
[00:04:14.000 --> 00:04:21.000]  那一年婆婆無論大小不如意的事都會埋怨他這個乖孫
[00:04:21.000 --> 00:04:24.000]  為什麼呢 好事多為
[00:04:24.000 --> 00:04:31.000]  他也會做很多的事希望可以化解這個乖孫惹出來的禍
