
[00:00:00.000 --> 00:00:04.440]  列王紀合一王朝系列的第八章
[00:00:04.440 --> 00:00:08.520]  我們上次已經開始了列王紀上第八章
[00:00:08.520 --> 00:00:10.440]  但因為有66節經文
[00:00:10.440 --> 00:00:11.840]  所以我說不完
[00:00:11.840 --> 00:00:16.520]  我們今天就會結束列王紀上的第八章
[00:00:16.520 --> 00:00:18.040]  我給的題目是
[00:00:18.040 --> 00:00:20.000]  萬國禱告的殿
[00:00:20.000 --> 00:00:23.680]  悔改如復興真正的道路
[00:00:23.680 --> 00:00:27.080]  我們說所羅門建了聖殿
[00:00:27.080 --> 00:00:29.480]  他將聖殿獻給神
[00:00:29.480 --> 00:00:35.440]  他鼓勵以色列人在殿內甚至向著殿禱告
[00:00:35.440 --> 00:00:37.480]  尤其是當他們犯了罪
[00:00:37.480 --> 00:00:38.880]  得罪了神之後
[00:00:38.880 --> 00:00:40.880]  求神來赦免他們
[00:00:40.880 --> 00:00:43.240]  以至神能夠復興他們
[00:00:43.240 --> 00:00:46.920]  這就是我們今天要說的重點
[00:00:46.920 --> 00:00:48.200]  我們也說過
[00:00:48.200 --> 00:00:50.280]  其實列王紀上的第八章
[00:00:50.280 --> 00:00:52.920]  神的名是非常重要
[00:00:52.920 --> 00:00:56.440]  聖殿就是神的名所居住的地方
[00:00:56.440 --> 00:00:59.640]  神是要以色列人在他納祂名的地方
[00:00:59.640 --> 00:01:01.440]  來敬拜自己
[00:01:01.440 --> 00:01:03.920]  向自己祈求
[00:01:03.920 --> 00:01:05.800]  列王紀上的第八章
[00:01:05.800 --> 00:01:07.600]  我們也已經說過
[00:01:07.600 --> 00:01:10.840]  其實整張書都是一個首尾結構
[00:01:10.840 --> 00:01:14.560]  尤其是在經文最中心的地方
[00:01:14.560 --> 00:01:18.720]  所羅門是說出了七個祈求出來
[00:01:18.720 --> 00:01:22.920]  這七個祈求本身都是一個首尾結構
[00:01:22.920 --> 00:01:25.080]  一共有四層
[00:01:25.080 --> 00:01:27.120]  第一層就是所羅門說
[00:01:27.120 --> 00:01:31.200]  無論我們是得罪了我們的鄰居
[00:01:31.200 --> 00:01:33.120]  在列王紀上的八章
[00:01:33.120 --> 00:01:35.480]  31至32節
[00:01:35.480 --> 00:01:38.280]  或者是得罪了神祢自己
[00:01:38.280 --> 00:01:40.000]  46至51節
[00:01:40.000 --> 00:01:42.080]  有沒有看到這個首尾結構
[00:01:42.080 --> 00:01:43.680]  得罪了人 得罪了神
[00:01:43.680 --> 00:01:45.280]  我們得罪了我們的鄰居
[00:01:45.280 --> 00:01:47.080]  我們就得罪了神
[00:01:47.080 --> 00:01:48.880]  第二層
[00:01:48.880 --> 00:01:51.800]  無論當敵人來攻擊以色列人
[00:01:51.800 --> 00:01:53.120]  因為他們犯罪
[00:01:53.120 --> 00:01:57.280]  他們打敗仗在33至34節
[00:01:57.280 --> 00:01:59.680]  或者他們去攻打他們的敵人
[00:01:59.680 --> 00:02:01.960]  又是打敗仗因為他們的罪
[00:02:01.960 --> 00:02:04.440]  44至45節
[00:02:04.440 --> 00:02:07.400]  求神垂聽他們的禱告
[00:02:07.400 --> 00:02:08.920]  第三層
[00:02:08.920 --> 00:02:11.960]  無論是以色列民神的民
[00:02:11.960 --> 00:02:15.320]  或者是外邦人不屬神的子民
[00:02:15.320 --> 00:02:18.560]  向祂禱告 求神垂聽
[00:02:18.560 --> 00:02:21.360]  其實求神在天上垂聽
[00:02:21.360 --> 00:02:23.160]  一共出現七次
[00:02:23.160 --> 00:02:24.400]  我說七個祈求
[00:02:24.400 --> 00:02:25.640]  每一個祈求
[00:02:25.640 --> 00:02:26.880]  所羅門都說
[00:02:26.880 --> 00:02:30.040]  求祢在天上垂聽
[00:02:30.040 --> 00:02:32.600]  而經文最中心的地方
[00:02:32.600 --> 00:02:34.520]  就是在列王紀上的八章
[00:02:34.520 --> 00:02:36.640]  37至40節
[00:02:36.640 --> 00:02:39.120]  是一些一般天然的災難
[00:02:39.120 --> 00:02:41.120]  一些天然的疾病
[00:02:41.120 --> 00:02:42.360]  當他們不聽話
[00:02:42.360 --> 00:02:44.520]  被神管教的時候
[00:02:44.520 --> 00:02:45.680]  所羅門說
[00:02:45.680 --> 00:02:48.080]  當以色列人向你認罪悔改
[00:02:48.080 --> 00:02:50.600]  求祢赦免他們
[00:02:50.600 --> 00:02:53.720]  我上一次已經和大家開始了
[00:02:53.720 --> 00:02:55.280]  其中兩個祈求
[00:02:55.280 --> 00:02:56.800]  如果你記得的話
[00:02:56.800 --> 00:02:57.760]  我已經說了
[00:02:57.760 --> 00:03:00.800]  以色列人如果得罪他們的鄰居
[00:03:00.800 --> 00:03:03.160]  如果又因為他們的罪
[00:03:03.160 --> 00:03:05.440]  被敵人打敗的時候
[00:03:05.440 --> 00:03:06.960]  求神憐憫
[00:03:06.960 --> 00:03:10.560]  今天我就要開始說第三個祈求
[00:03:10.560 --> 00:03:13.800]  就是當以色列人得罪了他們的神
[00:03:13.800 --> 00:03:15.600]  被神懲罰
[00:03:15.600 --> 00:03:16.680]  其實
