
[00:00:00.000 --> 00:00:03.800]  在差不多100年之前
[00:00:03.800 --> 00:00:05.800]  1912年
[00:00:05.800 --> 00:00:10.200]  在英國的報界裏面有一個很大的消息
[00:00:10.200 --> 00:00:15.600]  就是當中英國建了一個相當大的遊船
[00:00:15.600 --> 00:00:18.600]  這個遊船叫做「鐵達尼號」
[00:00:18.600 --> 00:00:23.600]  在1912年4月10日
[00:00:23.600 --> 00:00:28.000]  這個船離開了安普頓港
[00:00:28.000 --> 00:00:32.000]  作首次的處旅航
[00:00:32.000 --> 00:00:39.000]  這個航行的時間應該是短短的幾天
[00:00:39.000 --> 00:00:41.800]  但是大家都記得這個鐵達尼號
[00:00:41.800 --> 00:00:44.600]  最後在4月14日
[00:00:44.600 --> 00:00:47.800]  就是出航之後的第三天
[00:00:47.800 --> 00:00:53.000]  在冰山的底下完全的沉沒
[00:00:53.000 --> 00:00:55.400]  這個世界最大的遊船
[00:00:55.400 --> 00:00:59.000]  就在當中結束了它的處旅航
[00:00:59.000 --> 00:01:03.200]  這個消息震驚了那個時代
[00:01:03.200 --> 00:01:09.000]  原因是因為這個建造的船隻
[00:01:09.000 --> 00:01:12.200]  那時候被稱為永不
[00:01:12.200 --> 00:01:18.200]  或者是幾乎不可能沉沒的船隻
[00:01:18.200 --> 00:01:23.400]  這個船有882呎那麼長
[00:01:23.400 --> 00:01:29.400]  排水量超過46噸
[00:01:29.400 --> 00:01:34.400]  是英國白星航空公司最驕傲的產品
[00:01:34.400 --> 00:01:41.000]  那個時候是世界當中最大的客運的船隻
[00:01:41.000 --> 00:01:43.400]  那個時候沒有一個船隻可以比喻
[00:01:43.400 --> 00:01:49.000]  這個船隻可以給旅客提供的服務
[00:01:49.000 --> 00:01:54.800]  還有那種優良的航運的旅程
[00:01:54.800 --> 00:01:57.000]  所以在那個時代
[00:01:57.000 --> 00:02:02.000]  他們用這個船來說明一個新的旅行時代
[00:02:02.000 --> 00:02:06.000]  這個旅行時代叫做香格里拉美麗的時代
[00:02:06.000 --> 00:02:08.400]  意思就是說從這個船開始
[00:02:08.400 --> 00:02:12.400]  你們會走過另外一種旅行的時代
[00:02:12.400 --> 00:02:14.200]  在4月14日
[00:02:14.200 --> 00:02:21.600]  這個船朝向了在命運當中注定要去沉沒的冰山
[00:02:21.600 --> 00:02:28.600]  在之前這個船收到6次的警告
[00:02:28.600 --> 00:02:32.200]  在這個船未遇難之前的5個小時
[00:02:32.200 --> 00:02:35.200]  有在航行東的船叫做加州號
[00:02:35.200 --> 00:02:42.200]  已經將這個關於冰河的航道的情況
[00:02:42.200 --> 00:02:47.800]  已經發出警告給這個鐵達尼號的船長
[00:02:47.800 --> 00:02:51.000]  在當中竟然發生了以下的事情
[00:02:51.000 --> 00:02:55.200]  他們收了這個消息5個小時之後
[00:02:55.200 --> 00:03:03.200]  他們沒有將這個消息傳去船長辦事處裏面
[00:03:03.200 --> 00:03:04.800]  為甚麼
[00:03:04.800 --> 00:03:08.800]  是因為船長那個時候在吃飯
[00:03:08.800 --> 00:03:13.800]  這些船員說不可以打擾這個船長
[00:03:13.800 --> 00:03:19.800]  接著這個當值的通訊員收到這個斷訊之後
[00:03:19.800 --> 00:03:23.200]  他沒有將這個警告遞給這個船長
[00:03:23.200 --> 00:03:25.800]  是因為當中有一個規矩
[00:03:25.800 --> 00:03:31.800]  沒有人可以擅自離開崗位
[00:03:31.800 --> 00:03:36.600]  最後一次這個訊息再次傳到鐵達尼號的時候
[00:03:36.600 --> 00:03:39.400]  傳到一半就斷了 為甚麼
[00:03:39.400 --> 00:03:44.400]  因為這個通訊員為使用這個通訊的系統
[00:03:44.400 --> 00:03:46.200]  建立他的事業
[00:03:46.200 --> 00:03:52.000]  而阻斷了這個加州號所給他們的這個危機的訊息
[00:03:52.000 --> 00:03:54.200]  所以到最後
[00:03:54.200 --> 00:03:56.800]  當這個船接近了這個冰河的時候
[00:03:56.800 --> 00:04:01.800]  有附近的船隻發出了這個信號彈
[00:04:01.800 --> 00:04:05.800]  但是在當值當中的船員
[00:04:05.800 --> 00:04:11.200]  竟然故意看不到
[00:04:11.200 --> 00:04:13.000]  就因為這個緣故
[00:04:13.000 --> 00:04:17.800]  這個離開安普頓海港的鐵達尼號
[00:04:17.800 --> 00:04:20.000]  就在三天之後
[00:04:20.000 --> 00:04:26.400]  完全沉沒了在這個大西洋海港裏面
[00:04:26.400 --> 00:04:31.800]  死亡的人數超過了二千人
[00:04:31.800 --> 00:04:35.000]  我看到這個時候有一個很重大的反應
[00:04:35.000 --> 00:04:37.000]  很大的反省
[00:04:37.000 --> 00:04:40.400]  一個不能夠沉沒的船隻
[00:04:40.400 --> 00:04:45.400]  一個在一個黑霧的事業當中
[00:04:45.400 --> 00:04:49.200]  值得我們驕傲的一個產品
[00:04:49.200 --> 00:04:54.600]  竟然成為了很多家庭葬身的地方
