
[00:00:00.000 --> 00:00:02.780]  在還未開始講之前
[00:00:02.780 --> 00:00:06.600]  我們先在神面前一起祈禱
[00:00:06.600 --> 00:00:11.220]  親愛的天父 我們也多謝你
[00:00:11.220 --> 00:00:14.120]  讓我們今天能夠在你面前侍奉你
[00:00:14.120 --> 00:00:17.420]  讓我們也是全喜悅的心
[00:00:17.420 --> 00:00:19.900]  感謝的心 感恩的心
[00:00:19.900 --> 00:00:23.600]  來到你的面前侍奉你的時候
[00:00:23.600 --> 00:00:25.600]  來向你親近
[00:00:25.600 --> 00:00:29.640]  求天父幫助我們
[00:00:29.640 --> 00:00:32.440]  上上也有這種愛心
[00:00:32.440 --> 00:00:36.160]  願意去親近你
[00:00:36.160 --> 00:00:41.060]  求聖靈擾貫我們心裡滿有愛心
[00:00:41.060 --> 00:00:43.060]  愛神愛人
[00:00:43.060 --> 00:00:46.060]  下面的時間 恭敬的交託
[00:00:46.060 --> 00:00:48.060]  求你打開我們的心
[00:00:48.060 --> 00:00:50.060]  去聆聽你的話
[00:00:50.060 --> 00:00:52.060]  願你的話充滿我們
[00:00:52.060 --> 00:00:54.060]  保守我們
[00:00:54.060 --> 00:00:56.060]  指引我們前面的道路
[00:00:56.060 --> 00:00:59.020]  祈禱是奉主耶穌的聖名祈求
[00:00:59.020 --> 00:01:02.940]  今天我要講的是
[00:01:02.940 --> 00:01:08.100]  順著我們一連串的系列的講題
[00:01:08.100 --> 00:01:10.500]  這次是第六次講到
[00:01:10.500 --> 00:01:14.580]  約翰福音的「我是」
[00:01:14.580 --> 00:01:18.360]  耶穌說「我是道路、真理、生命」
[00:01:18.360 --> 00:01:20.360]  這是第六個
[00:01:20.360 --> 00:01:24.100]  我補充一下
[00:01:24.100 --> 00:01:33.420]  強調一下「我是」出現了七次在約翰福音裏面
[00:01:33.420 --> 00:01:38.100]  而這個「我是」原文的「Ergo I am me」
[00:01:38.100 --> 00:01:45.180]  是從「出埃及記」那裏新引過來的
[00:01:45.180 --> 00:01:47.180]  是借過來的
[00:01:47.180 --> 00:01:52.660]  「出埃及記」那裏用了「自有永遊」
[00:01:52.660 --> 00:01:58.580]  原來是神自己稱呼自己用的那句話
[00:01:58.580 --> 00:02:00.580]  是這樣借過來的
