
[00:00:00.000 --> 00:00:03.400]  祂一定照顧平安
[00:00:03.400 --> 00:00:06.720]  就趁我們有機會大家一齊回到聖祭家中
[00:00:06.720 --> 00:00:08.600]  可以一齊敬拜
[00:00:08.600 --> 00:00:11.680]  每一次每一次都是恩典
[00:00:11.680 --> 00:00:15.040]  我很感恩我康復了
[00:00:15.040 --> 00:00:19.800]  康復是因為早前有新冠感染
[00:00:19.800 --> 00:00:21.880]  有人問你第幾次
[00:00:21.880 --> 00:00:24.960]  我說第一次
[00:00:24.960 --> 00:00:27.560]  但我都以為很多聚會不能去到
[00:00:27.560 --> 00:00:29.160]  但神比我很快就康復
[00:00:29.160 --> 00:00:31.680]  我可以繼續有不同的福事
[00:00:31.680 --> 00:00:34.400]  回去跟頂尖一起敬拜
[00:00:34.400 --> 00:00:35.640]  今天有健康
[00:00:35.640 --> 00:00:39.520]  我說我們每一個都是感恩
[00:00:39.520 --> 00:00:45.480]  大家一齊再祈禱
[00:00:45.480 --> 00:00:48.360]  天上的主我們感謝你
[00:00:48.360 --> 00:00:50.840]  主你知道這個世上
[00:00:50.840 --> 00:00:54.720]  有很多我們不會預測到的事情
[00:00:54.720 --> 00:00:56.600]  但主我們感謝你
[00:00:56.600 --> 00:00:58.360]  因為你是我們的主
[00:00:58.360 --> 00:01:00.320]  你也是天地的主
[00:01:00.320 --> 00:01:03.560]  一切都在你的掌權當中
[00:01:03.560 --> 00:01:05.480]  你的大能你的慈愛
[00:01:05.480 --> 00:01:07.440]  用一切發生的事情
[00:01:07.440 --> 00:01:10.720]  會轉化成為我們生命的祝福
[00:01:10.720 --> 00:01:13.760]  我們的磨練我們的成長
[00:01:13.760 --> 00:01:15.800]  主我們感謝你
[00:01:15.800 --> 00:01:16.960]  這次我們感謝你
[00:01:16.960 --> 00:01:18.560]  讓我們有頂尖妹
[00:01:18.560 --> 00:01:22.600]  跟我們一齊可以健康的到你跟前敬拜
[00:01:22.600 --> 00:01:24.960]  主要願你月額我們的敬拜
[00:01:24.960 --> 00:01:27.280]  又當我們敬拜你的時候
[00:01:27.280 --> 00:01:31.160]  讓你讓我們心靈領受你自己的勉勵
[00:01:31.160 --> 00:01:34.120]  你的提醒你的激勵
[00:01:34.120 --> 00:01:36.320]  讓我們更加知道在今天
[00:01:36.320 --> 00:01:39.880]  我們愛你我們跟隨你
[00:01:39.880 --> 00:01:42.280]  祝你祝福引導這段時間
[00:01:42.280 --> 00:01:46.240]  讓我們各人在你面前一同蒙印
[00:01:46.240 --> 00:01:47.640]  我們感謝祈禱
[00:01:47.640 --> 00:01:53.440]  奉耶穌基督聖名求 下門
[00:01:53.440 --> 00:01:54.680]  我們今天會繼續思想
[00:01:54.680 --> 00:01:56.720]  聖經路加福音的經文
[00:01:56.720 --> 00:01:58.600]  我們都思想到有很多不同的人
[00:01:58.600 --> 00:02:02.520]  等他們遇見主的經歷
[00:02:02.520 --> 00:02:04.080]  我會想分析一件事情
[00:02:04.080 --> 00:02:05.560]  就是聖經四行傳
[00:02:05.560 --> 00:02:07.200]  在其中的第三章
[00:02:07.200 --> 00:02:08.800]  大家有印象
[00:02:08.800 --> 00:02:12.040]  當時使徒約翰和彼得
[00:02:12.040 --> 00:02:14.960]  他們將要進去聖殿
[00:02:14.960 --> 00:02:16.680]  去到聖殿的門口的時候
[00:02:16.680 --> 00:02:20.320]  就遇到一個聖經說生來渠退的
[00:02:20.320 --> 00:02:24.800]  一出生已經不能夠行的一個乞丐
[00:02:24.800 --> 00:02:28.280]  在當中他望著兩位使徒
[00:02:28.280 --> 00:02:31.920]  期望有一些周祭
[00:02:31.920 --> 00:02:34.320]  當時這兩個使徒
[00:02:34.320 --> 00:02:37.720]  當然他們沒什麼錢可以給他們
[00:02:37.720 --> 00:02:41.760]  其實他們都是所謂窮存的
[00:02:41.760 --> 00:02:43.840]  一般來說人對你有期望
[00:02:43.840 --> 00:02:45.120]  你給不了別人
[00:02:45.120 --> 00:02:48.040]  可能會覺得有一些自卑
[00:02:48.040 --> 00:02:49.560]  或者有些怯懼
[00:02:49.560 --> 00:02:52.200]  不好意思沒有
[00:02:52.200 --> 00:02:54.400]  但聖經講述到這兩位使徒
[00:02:54.400 --> 00:02:56.400]  在當時的處境
[00:02:56.400 --> 00:02:59.880]  仍然充滿著一種自尊
[00:02:59.880 --> 00:03:03.480]  從容自弱地說
[00:03:03.480 --> 00:03:06.840]  說給一個生來渠退的人說
[00:03:06.840 --> 00:03:11.960]  說給他知道金和銀我都沒有
[00:03:11.960 --> 00:03:17.760]  但是我只把我所有的給你
[00:03:17.760 --> 00:03:20.840]  他們所有的在這位的主耶穌
[00:03:20.840 --> 00:03:22.920]  然後跟著他奉主耶穌的名
[00:03:22.920 --> 00:03:27.120]  吩咐他起來行走
[00:03:27.120 --> 00:03:29.520]  當我來到默想這段經文的時候
[00:03:29.520 --> 00:03:31.400]  我就想到
[00:03:31.400 --> 00:03:33.080]  這裡我在人生上面
[00:03:33.080 --> 00:03:36.400]  未必有很多什麼的成就
