
[00:00:00.000 --> 00:00:03.000]  世間有很多寶貴的英許
[00:00:03.000 --> 00:00:06.000]  我相信我們每一天
[00:00:06.000 --> 00:00:08.000]  就是靠著上帝的英許
[00:00:08.000 --> 00:00:10.000]  去導導我們的人生
[00:00:10.000 --> 00:00:12.000]  我知道人生有時可以很簡單
[00:00:12.000 --> 00:00:15.000]  因為我們活在上帝的英許裏
[00:00:15.000 --> 00:00:17.000]  就算環境那一刻
[00:00:17.000 --> 00:00:19.000]  有多麼錯和失
[00:00:19.000 --> 00:00:21.000]  如果活在英許裏
[00:00:21.000 --> 00:00:23.000]  上帝一定會大力保守我們
[00:00:23.000 --> 00:00:25.000]  《詩篇》第十六篇說到
[00:00:25.000 --> 00:00:28.000]  主要我投靠祢,求祢保佑我
[00:00:28.000 --> 00:00:30.000]  當大衛面對艱難時
[00:00:30.000 --> 00:00:32.000]  他就是這樣將自己
[00:00:32.000 --> 00:00:35.000]  整個人,生命裏的交託給上帝
[00:00:35.000 --> 00:00:37.000]  在整篇詩篇裏我們見到
[00:00:37.000 --> 00:00:40.000]  神給他的心意有很多轉變
[00:00:40.000 --> 00:00:42.000]  他說:慢慢去發現
[00:00:42.000 --> 00:00:43.000]  祢是我的主
[00:00:43.000 --> 00:00:45.000]  他突然提醒自己
[00:00:45.000 --> 00:00:46.000]  亦望著上帝說:
[00:00:46.000 --> 00:00:48.000]  「是呀,你是我的主人」
[00:00:48.000 --> 00:00:50.000]  「你負我一切責任」
[00:00:50.000 --> 00:00:52.000]  「我的好處不在你以外」
[00:00:52.000 --> 00:00:53.000]  後來他更加說到
[00:00:53.000 --> 00:00:56.000]  他生命裏一個轉變,一個關鍵
[00:00:56.000 --> 00:00:59.000]  他說:我將耶和華上擺在我面前
[00:00:59.000 --> 00:01:02.000]  因為它在我右邊,我就不自搖動
[00:01:02.000 --> 00:01:03.000]  他說了一個狀況
[00:01:03.000 --> 00:01:05.000]  我相信每一個香港人都很羨慕
[00:01:05.000 --> 00:01:07.000]  他說:我的心就能夠歡喜
[00:01:07.000 --> 00:01:08.000]  我的靈就能夠快樂
[00:01:08.000 --> 00:01:11.000]  我的肉身就能夠安然居住
[00:01:11.000 --> 00:01:13.000]  嘩,羨不羨慕?
[00:01:13.000 --> 00:01:14.000]  我自己很羨慕
[00:01:14.000 --> 00:01:16.000]  我相信大家都會很羨慕
[00:01:16.000 --> 00:01:18.000]  一個能夠身心靈都能夠安息
[00:01:18.000 --> 00:01:20.000]  歡喜的狀況
[00:01:20.000 --> 00:01:22.000]  我相信
[00:01:22.000 --> 00:01:24.000]  不一定要去到寶雞的沙灘
[00:01:24.000 --> 00:01:26.000]  才能經歷到
[00:01:26.000 --> 00:01:28.000]  就算我沒有寶雞的沙灘
[00:01:28.000 --> 00:01:31.000]  只要我將耶和華擺在我面前
[00:01:31.000 --> 00:01:33.000]  原來我的心、身、靈
[00:01:33.000 --> 00:01:35.000]  我都能夠經歷那種輕散和釋放
[00:01:35.000 --> 00:01:37.000]  主人幫助我們,好嗎?
[00:01:37.000 --> 00:01:38.000]  當我們再一次進入敬拜
[00:01:38.000 --> 00:01:41.000]  我們用這首詩歌,用這篇詩篇
[00:01:41.000 --> 00:01:43.000]  活得簡單
[00:01:43.000 --> 00:01:45.000]  雖然上帝我們看不到你
[00:01:45.000 --> 00:01:48.000]  但原來上帝的恩福、祂的慈愛
[00:01:48.000 --> 00:01:50.000]  是常追隨著我們
[00:01:50.000 --> 00:01:51.000]  頂著我們一起站立
[00:01:51.000 --> 00:01:52.000]  再一次經歷上帝
[00:01:52.000 --> 00:01:54.000]  在祂生命裡的好處
[00:01:54.000 --> 00:01:56.000]  因為耶和華是我的神
[00:01:56.000 --> 00:01:58.000]  耶和華是我的神
[00:01:58.000 --> 00:02:00.000]  雖然眼睛看不到祂
[00:02:00.000 --> 00:02:03.000]  但其實上帝有很多恩典、福氣
[00:02:03.000 --> 00:02:05.000]  是很早已經賞賜給我們
[00:02:05.000 --> 00:02:07.000]  上帝與我們同在
[00:02:07.000 --> 00:02:10.000]  有時突然當我們進入救恩裡
[00:02:10.000 --> 00:02:11.000]  祂相信了耶穌
[00:02:11.000 --> 00:02:13.000]  祂很想知道
[00:02:13.000 --> 00:02:14.000]  上帝在祂生命裡
[00:02:14.000 --> 00:02:15.000]  有沒有什麼特別的使命
[00:02:15.000 --> 00:02:17.000]  祂很想祂能夠去做呢?
[00:02:17.000 --> 00:02:20.000]  有時原來不是要拼命去找
[00:02:20.000 --> 00:02:23.000]  有些事情我們有時留意不到
[00:02:23.000 --> 00:02:26.000]  其實原來都已經在我們手上
[00:02:26.000 --> 00:02:28.000]  聖經裡有一個人
[00:02:28.000 --> 00:02:31.000]  他很想去為神的國度
[00:02:31.000 --> 00:02:33.000]  為神的子民做一些事情
[00:02:33.000 --> 00:02:35.000]  但他遇到很大的挫折
[00:02:35.000 --> 00:02:37.000]  他的人生有四十年
[00:02:37.000 --> 00:02:40.000]  是背在山上做牧羊
[00:02:40.000 --> 00:02:42.000]  但上帝的呼召
[00:02:42.000 --> 00:02:44.000]  原來很早
[00:02:44.000 --> 00:02:46.000]  到那一刻他與祂相遇
[00:02:46.000 --> 00:02:48.000]  都沒有離開過
[00:02:48.000 --> 00:02:51.000]  摩西就是這個人
[00:02:51.000 --> 00:02:54.000]  摩西他面對自己
[00:02:54.000 --> 00:02:57.000]  四十年在牧羊的工作裡
[00:02:57.000 --> 00:02:58.000]  有一天他再一次
[00:02:58.000 --> 00:03:00.000]  在他很習慣上去的荷里山裡
[00:03:00.000 --> 00:03:02.000]  他遇到上帝
[00:03:02.000 --> 00:03:03.000]  上帝在驚激的火裡
[00:03:03.000 --> 00:03:05.000]  祂說你要脫下腳上的鞋
[00:03:05.000 --> 00:03:07.000]  進到聖地
[00:03:07.000 --> 00:03:09.000]  神要與他說話
[00:03:09.000 --> 00:03:12.000]  當上帝的呼召臨到他的時候
[00:03:12.000 --> 00:03:13.000]  他一直跟上帝爭辯
[00:03:13.000 --> 00:03:14.000]  我不行的
[00:03:14.000 --> 00:03:16.000]  我這天不行,那天不行
[00:03:16.000 --> 00:03:19.000]  上帝不斷地用很多訊息
[00:03:19.000 --> 00:03:21.000]  告訴他我是誰
