
[00:00:00.000 --> 00:00:03.400]  今日講的是十誡裏面其中一誡
[00:00:03.400 --> 00:00:05.200]  第四誡
[00:00:05.200 --> 00:00:09.240]  是關於安息日的誡命
[00:00:09.240 --> 00:00:13.480]  當神藉著摩西帶以色列民離開了埃及
[00:00:13.480 --> 00:00:16.000]  這個圍爐之地
[00:00:16.000 --> 00:00:19.280]  以色列民來到西奈山的山腳
[00:00:19.280 --> 00:00:22.160]  摩西上了山去領受十誡
[00:00:22.160 --> 00:00:24.000]  他們起行之先
[00:00:24.000 --> 00:00:27.320]  摩西就拿了十誡下來
[00:00:27.320 --> 00:00:32.480]  上帝很想透過十誡告訴這群以色列民
[00:00:32.480 --> 00:00:35.880]  如何跟他們立一個約
[00:00:35.880 --> 00:00:38.760]  所以在他們起行之先
[00:00:38.760 --> 00:00:45.960]  上帝要將安息日的誡命給他們的百姓
[00:00:45.960 --> 00:00:48.000]  很有趣在十誡裏面
[00:00:48.000 --> 00:00:49.600]  不知道大家有沒有留意到
[00:00:49.600 --> 00:00:52.880]  其中八個誡命是叫以色列民
[00:00:52.880 --> 00:00:56.320]  不要做什麼 不要做什麼
[00:00:56.320 --> 00:00:58.320]  全部都不不不不的
[00:00:58.320 --> 00:01:00.320]  不可有別的神 不可雕刻偶像
[00:01:00.320 --> 00:01:02.160]  不可忘稱神的名
[00:01:02.160 --> 00:01:04.040]  不可殺人 不可姦淫
[00:01:04.040 --> 00:01:06.680]  不可作假見證等等
[00:01:06.680 --> 00:01:09.760]  但在這十誡裏面有兩條
[00:01:09.760 --> 00:01:13.440]  不是不不不不開始的
[00:01:13.440 --> 00:01:17.160]  第一條是要孝敬父母
[00:01:17.160 --> 00:01:18.880]  這是第五誡
[00:01:18.880 --> 00:01:22.520]  另外一條是今日所講的安息日
[00:01:22.520 --> 00:01:27.480]  講到當紀念安息日 守衛聖日
[00:01:27.480 --> 00:01:29.480]  是要做的事
[00:01:29.480 --> 00:01:38.200]  所以我很快就想出了今天的題目
[00:01:38.200 --> 00:01:43.600]  叫做「未學行 先學投」
[00:01:43.600 --> 00:01:46.000]  「未學行 先學走」大家都知道是甚麼
[00:01:46.000 --> 00:01:47.720]  今日我跟大家講的題目是
[00:01:47.720 --> 00:01:49.480]  「未學行 先學投」
[00:01:49.480 --> 00:01:52.640]  因為在以色列民起行之先
[00:01:52.640 --> 00:01:56.880]  上帝頒佈了安息日這條誡命
[00:01:56.880 --> 00:01:58.640]  我還記得在七年之前
[00:01:58.640 --> 00:02:04.000]  第一次帶著牧區的組長去馬灣退休
[00:02:04.000 --> 00:02:09.640]  當時的主題我給他們的是安息日
[00:02:09.640 --> 00:02:13.400]  為什麼我認為職場也好 侍奉也好
[00:02:13.400 --> 00:02:18.800]  安息日都是我們首要要學習的真理呢
[00:02:18.800 --> 00:02:20.640]  我曾經聽過一位年長的牧師
[00:02:20.640 --> 00:02:23.000]  他在退休的時候這樣分享過
[00:02:23.000 --> 00:02:25.480]  他說他重複這樣跟師母
[00:02:25.480 --> 00:02:30.880]  即是他的太太不斷地講一個大話
[00:02:30.880 --> 00:02:34.840]  他說「下星期應該會沒那麼忙了」
[00:02:34.840 --> 00:02:39.520]  「我應該可以跟你出去走走了」
[00:02:39.520 --> 00:02:43.760]  他說這個大話一講就講了幾十年
[00:02:43.760 --> 00:02:45.840]  久不久又講一次
[00:02:45.840 --> 00:02:47.800]  你有沒有講過這個大話
[00:02:47.800 --> 00:02:50.920]  你有沒有跟你家人講過這個大話
[00:02:50.920 --> 00:02:56.120]  下星期會好一點了 是不是 你有沒有講過
[00:02:56.120 --> 00:02:58.760]  是的 可能你也許沒有講過
[00:02:58.760 --> 00:03:01.040]  我想教牧童工很多都講過
[00:03:01.040 --> 00:03:03.720]  可能教牧童工是個重在區
