
[00:00:00.000 --> 00:00:01.160]  弟兄姊妹早生
[00:00:01.160 --> 00:00:04.400]  讓我們先一同有個禱告
[00:00:04.400 --> 00:00:10.240]  天父感謝讚美你
[00:00:10.240 --> 00:00:13.520]  你的愛能夠幫助我們
[00:00:13.520 --> 00:00:16.400]  去渡過每一個的難關
[00:00:16.400 --> 00:00:19.280]  讓我們知道你的救贖
[00:00:19.280 --> 00:00:20.280]  你的大能
[00:00:20.280 --> 00:00:22.320]  去洗脫我們的罪
[00:00:22.320 --> 00:00:23.680]  幫助我們
[00:00:23.680 --> 00:00:26.520]  讓我們全人在你面前的時候
[00:00:26.520 --> 00:00:28.640]  我們去敬拜你 去讚美你
[00:00:29.120 --> 00:00:31.720]  願你也看顧今天的時間
[00:00:31.720 --> 00:00:33.000]  我們交賞
[00:00:33.000 --> 00:00:35.600]  禱告奉主耶穌基督 明智祈求
[00:00:35.600 --> 00:00:36.600]  阿們
[00:00:36.600 --> 00:00:38.200]  好
[00:00:38.200 --> 00:00:41.240]  今天跟大家分享一個題目
[00:00:41.240 --> 00:00:45.480]  一個光明的將來重建大衛島塔的帳幕
[00:00:45.480 --> 00:00:49.080]  剛才在裏面我們也唱詩歌
[00:00:49.080 --> 00:00:52.040]  現在因為疫情的緣故
[00:00:52.040 --> 00:00:54.200]  我們沒有再去派
[00:00:54.200 --> 00:00:58.120]  又或者過去也減少了派一些程序表給大家
[00:00:58.440 --> 00:01:02.480]  大家可以透過拍攝一個QR Code
[00:01:02.480 --> 00:01:04.920]  就可以看到我們教會的程序
[00:01:04.920 --> 00:01:08.000]  不知道你有沒有去留意
[00:01:08.000 --> 00:01:10.480]  又或者可能你回來教會這麼久
[00:01:10.480 --> 00:01:13.080]  其實你可能回來就回來
[00:01:13.080 --> 00:01:14.360]  你有沒有留意一下
[00:01:14.360 --> 00:01:17.080]  其實我們教會的程序是怎樣的呢
[00:01:17.080 --> 00:01:20.360]  即是我們教會崇拜的程序是怎樣的
[00:01:20.360 --> 00:01:21.400]  我們回來是怎樣的
[00:01:21.400 --> 00:01:23.000]  知道嗎
[00:01:23.000 --> 00:01:26.280]  真的不留意
[00:01:26.280 --> 00:01:27.760]  原來大家真的不要留意
[00:01:27.760 --> 00:01:28.760]  回來就回來
[00:01:28.760 --> 00:01:31.040]  其實我們教會的程序
[00:01:31.040 --> 00:01:33.400]  可能你去到不同的教會的時候
[00:01:33.400 --> 00:01:35.720]  你也會發現都是差不多的
[00:01:35.720 --> 00:01:39.320]  回來當然你就去安靜自己
[00:01:39.320 --> 00:01:42.000]  在裏面準備好你去敬拜神
[00:01:42.000 --> 00:01:45.920]  然後我們會像剛才那樣唱歌
[00:01:45.920 --> 00:01:50.240]  唱歌就是我們用口去讚美神
[00:01:50.240 --> 00:01:52.360]  現在到這個時間是怎樣
[00:01:52.360 --> 00:01:54.400]  就是聽道
[00:01:54.400 --> 00:01:56.320]  聽道就要用耳朵
[00:01:57.160 --> 00:01:58.240]  用耳朵去聽道
[00:01:58.240 --> 00:02:00.240]  之後我們是做甚麼的
[00:02:00.240 --> 00:02:02.600]  接著做甚麼
[00:02:02.600 --> 00:02:03.280]  聽完道之後
[00:02:03.280 --> 00:02:05.360]  奉獻
[00:02:05.360 --> 00:02:07.680]  奉獻其實是一個手
[00:02:07.680 --> 00:02:11.280]  去將一個禮物呈現在神的面前
[00:02:11.280 --> 00:02:14.600]  接著就是家事分享
[00:02:14.600 --> 00:02:16.680]  不過這個多數可以在這裡的時候
[00:02:16.680 --> 00:02:18.080]  去廁所的時間
[00:02:18.080 --> 00:02:21.680]  大家都想著搞定了
[00:02:21.680 --> 00:02:24.840]  其實在這裏是用心的
[00:02:25.400 --> 00:02:29.080]  就要開始留心你的家發生了甚麼事
[00:02:29.080 --> 00:02:33.160]  到最後的時候我們就會有一個祝福
[00:02:33.160 --> 00:02:38.080]  去讓你的全人得著神的祝福之後
[00:02:38.080 --> 00:02:42.400]  就差遣你們出去繼續發功發業的情形
[00:02:42.400 --> 00:02:44.800]  這個都是我們教會
