
[00:00:00.000 --> 00:00:04.000]  在聖經的舊約和新約裡面
[00:00:04.000 --> 00:00:06.000]  其實這兩個時代
[00:00:06.000 --> 00:00:10.000]  都在一個父系的制度的社會當中
[00:00:10.000 --> 00:00:13.000]  不過當我們信徒閱讀聖經的時候
[00:00:13.000 --> 00:00:14.000]  我們就知道
[00:00:14.000 --> 00:00:19.000]  神從來都是很重視婦女的地位
[00:00:19.000 --> 00:00:21.000]  例如在耶穌的家譜
[00:00:21.000 --> 00:00:24.000]  在耶穌傳道的人生裡面
[00:00:24.000 --> 00:00:28.000]  甚至在耶穌被釘復活的時候
[00:00:28.000 --> 00:00:31.000]  我們都欣賞耶穌的婦女信徒
[00:00:31.000 --> 00:00:34.000]  都扮演一個很重要的角色
[00:00:34.000 --> 00:00:37.000]  透過稱讚他們的生命見證
[00:00:37.000 --> 00:00:40.000]  讓信徒得著教導
[00:00:40.000 --> 00:00:44.000]  其中一對我們很熟悉的兩姐妹
[00:00:44.000 --> 00:00:46.000]  馬大和瑪利亞
[00:00:46.000 --> 00:00:48.000]  透過經文的描述
[00:00:48.000 --> 00:00:50.000]  馬大給人的印象
[00:00:50.000 --> 00:00:52.000]  就是為事而亡亂
[00:00:52.000 --> 00:00:54.000]  重視世務
[00:00:54.000 --> 00:00:56.000]  而妹妹瑪利亞
[00:00:56.000 --> 00:00:58.000]  就是安靜溫文
[00:00:58.000 --> 00:01:01.000]  選擇聆聽神的話語
[00:01:01.000 --> 00:01:06.000]  事實上這段經文並不只是簡單
[00:01:06.000 --> 00:01:09.000]  要講出信徒應該要選擇
[00:01:09.000 --> 00:01:13.000]  重視世務還是主的話
[00:01:13.000 --> 00:01:15.000]  因為如果真的要選擇
[00:01:15.000 --> 00:01:20.000]  相信標準答案一定是神的話
[00:01:20.000 --> 00:01:22.000]  世漢經文
[00:01:22.000 --> 00:01:25.000]  其實耶穌給馬大一個人生
[00:01:25.000 --> 00:01:28.000]  為了建立祂、守護祂的教導
[00:01:28.000 --> 00:01:30.000]  耶穌提醒馬大
[00:01:30.000 --> 00:01:32.000]  在服侍主的路上
[00:01:32.000 --> 00:01:34.000]  我們必須要學習
[00:01:34.000 --> 00:01:36.000]  察覺內在的需要
[00:01:36.000 --> 00:01:38.000]  我們一起去讀
[00:01:38.000 --> 00:01:40.000]  新約聖經路加福音
[00:01:40.000 --> 00:01:43.000]  十章三十八至四十二節
[00:01:43.000 --> 00:01:46.000]  他們走路的時候
[00:01:46.000 --> 00:01:48.000]  耶穌進了一個村莊
[00:01:48.000 --> 00:01:51.000]  有一個女人名叫馬大
[00:01:51.000 --> 00:01:53.000]  接她到自己家裡
[00:01:53.000 --> 00:01:56.000]  她有一個妹子名叫瑪利亞
[00:01:56.000 --> 00:01:59.000]  在耶穌腳前坐著聽她的道
[00:01:59.000 --> 00:02:02.000]  馬大事後的事多
[00:02:02.000 --> 00:02:03.000]  心裡忙亂
[00:02:03.000 --> 00:02:05.000]  就進前來說
[00:02:05.000 --> 00:02:06.000]  主啊
[00:02:06.000 --> 00:02:09.000]  我的妹子留下我一人事後
[00:02:09.000 --> 00:02:11.000]  你不在意嗎
[00:02:11.000 --> 00:02:13.000]  請吩咐她來幫助我
[00:02:13.000 --> 00:02:15.000]  耶穌回答說
[00:02:15.000 --> 00:02:16.000]  馬大、馬大
[00:02:16.000 --> 00:02:19.000]  你為許多的事思慮煩擾
[00:02:19.000 --> 00:02:21.000]  但是不可少的
[00:02:21.000 --> 00:02:23.000]  只有一件
[00:02:23.000 --> 00:02:25.000]  瑪利亞已經選擇
[00:02:25.000 --> 00:02:27.000]  那尚好的福分
[00:02:27.000 --> 00:02:29.000]  是不能奪去的
[00:02:29.000 --> 00:02:31.000]  我們一同低頭祈禱
[00:02:31.000 --> 00:02:33.000]  親愛的天父
[00:02:33.000 --> 00:02:34.000]  你愛我們
[00:02:34.000 --> 00:02:36.000]  你不單只呼召我們
[00:02:36.000 --> 00:02:38.000]  成為你自己的僕人
[00:02:38.000 --> 00:02:40.000]  你其實更加在意我們
[00:02:40.000 --> 00:02:42.000]  作為你兒女身份的角色
[00:02:42.000 --> 00:02:44.000]  你救贖我們
[00:02:44.000 --> 00:02:45.000]  拯救我們
[00:02:45.000 --> 00:02:47.000]  為的就是讓我們生命
[00:02:47.000 --> 00:02:50.000]  經歷你豐盛恩厚的恩典
[00:02:50.000 --> 00:02:52.000]  神下求你真的帶領著我們
[00:02:52.000 --> 00:02:55.000]  讓我們在復仕的裏面
[00:02:55.000 --> 00:02:57.000]  都可以看得到神你自己
[00:02:57.000 --> 00:02:59.000]  豐盛的供應
[00:02:59.000 --> 00:03:01.000]  以致我們重新得力
[00:03:01.000 --> 00:03:05.000]  繼續去向前面去奔跑
[00:03:05.000 --> 00:03:07.000]  為主作好見證
[00:03:07.000 --> 00:03:09.000]  神下求你都帶領以下時間
[00:03:09.000 --> 00:03:12.000]  用你的話語去滋潤我們
[00:03:12.000 --> 00:03:14.000]  去幫助我們
[00:03:14.000 --> 00:03:16.000]  充滿我們的生命
[00:03:16.000 --> 00:03:18.000]  以致我們得著爆竹
[00:03:18.000 --> 00:03:20.000]  我們感謝你奉教主義數基督名求
[00:03:20.000 --> 00:03:22.000]  阿們
[00:03:48.000 --> 00:03:50.000]  有一個女人名叫馬大
[00:03:50.000 --> 00:03:52.000]  這個婦人身上
[00:03:52.000 --> 00:03:56.000]  另外整個故事能夠發展下去
[00:03:56.000 --> 00:03:58.000]  其實都是歸因於
[00:03:58.000 --> 00:04:02.000]  馬大對主耶穌主動接待的開始
[00:04:02.000 --> 00:04:04.000]  第38節
[00:04:04.000 --> 00:04:06.000]  他們走路的時候
[00:04:06.000 --> 00:04:08.000]  耶穌進了一個村莊
[00:04:08.000 --> 00:04:10.000]  有一個女人名叫馬大
[00:04:10.000 --> 00:04:13.000]  接她到自己家裡
[00:04:13.000 --> 00:04:15.000]  所以我們今天是
[00:04:15.000 --> 00:04:18.000]  嘗試集中在馬大
[00:04:18.000 --> 00:04:20.000]  和主耶穌的對話裡
[00:04:20.000 --> 00:04:21.000]  細著一下
[00:04:21.000 --> 00:04:23.000]  神其實怎樣
[00:04:23.000 --> 00:04:27.000]  去讓馬大明白祂的教導
[00:04:27.000 --> 00:04:28.000]  很明顯
[00:04:28.000 --> 00:04:30.000]  聖經沒有形容馬大
[00:04:30.000 --> 00:04:32.000]  迎接耶穌的心情
[00:04:32.000 --> 00:04:33.000]  祂沒有說到
[00:04:33.000 --> 00:04:34.000]  歡天喜地
[00:04:34.000 --> 00:04:36.000]  義不容辭這些字眼
[00:04:36.000 --> 00:04:38.000]  不過
[00:04:38.000 --> 00:04:40.000]  按當時的社會風俗
[00:04:40.000 --> 00:04:44.000]  和舊約記載猶太人接待之道
[00:04:44.000 --> 00:04:46.000]  接待客女
[00:04:46.000 --> 00:04:49.000]  其實是每個家庭裡婦女的責任
[00:04:49.000 --> 00:04:51.000]  而另一方面
[00:04:51.000 --> 00:04:53.000]  很多婦女都認識
[00:04:53.000 --> 00:04:55.000]  認順歸主
[00:04:55.000 --> 00:04:58.000]  在老家福音八章三節
[00:04:58.000 --> 00:05:00.000]  看到很多婦女
[00:05:00.000 --> 00:05:02.000]  她們都是用自己的財物
[00:05:02.000 --> 00:05:05.000]  去供給耶穌和門徒
[00:05:05.000 --> 00:05:09.000]  所以綜合以上兩個背景
[00:05:09.000 --> 00:05:11.000]  其實馬大
[00:05:11.000 --> 00:05:14.000]  是視接待耶穌這件事
[00:05:14.000 --> 00:05:16.000]  成為他個人的責任
[00:05:16.000 --> 00:05:20.000]  他需要去照顧耶穌的需要
[00:05:20.000 --> 00:05:22.000]  而後來有關耶穌
