
[00:00:00.000 --> 00:00:05.440]  每一次 我其實跟香港證券會幾十年好友
[00:00:05.440 --> 00:00:07.440]  所以有很多我的好友
[00:00:07.440 --> 00:00:10.400]  他每一年都請我來講
[00:00:10.400 --> 00:00:12.400]  我一定答應的
[00:00:12.400 --> 00:00:16.400]  因為我發覺人生一些最重要的東西
[00:00:16.400 --> 00:00:18.400]  我們不會處理
[00:00:18.400 --> 00:00:20.400]  上次就講節奏
[00:00:20.400 --> 00:00:23.120]  香港人都沒有節奏的
[00:00:23.120 --> 00:00:26.640]  不斷忙 不斷剷 都不知為甚麼
[00:00:26.640 --> 00:00:30.480]  你沒有節奏 你就不會處理生命最重要的東西
[00:00:30.480 --> 00:00:32.480]  所以就要講節奏
[00:00:32.480 --> 00:00:34.480]  但還有一樣東西我自己發覺
[00:00:34.480 --> 00:00:36.480]  很多人你問他
[00:00:36.480 --> 00:00:38.480]  你人生目標是甚麼
[00:00:38.480 --> 00:00:40.480]  他講不到
[00:00:40.480 --> 00:00:42.480]  目標的意思是你活著是為甚麼
[00:00:42.480 --> 00:00:44.480]  你活著是為誰
[00:00:44.480 --> 00:00:48.480]  你有一日離開世界的時間
[00:00:48.480 --> 00:00:50.480]  你留下些甚麼 是不是
[00:00:50.480 --> 00:00:52.480]  一些很重要的東西
[00:00:52.480 --> 00:00:54.480]  我自己就很出奇
[00:00:54.480 --> 00:00:56.480]  因為我做很多研究
[00:00:56.480 --> 00:00:58.480]  全世界包括香港
[00:00:58.480 --> 00:01:02.480]  百分之九十的人相信有神
[00:01:02.480 --> 00:01:05.280]  你們個個都要拜一下東西
[00:01:05.280 --> 00:01:07.280]  或者攬一些東西
[00:01:07.280 --> 00:01:10.480]  但問題多數都是臨急
[00:01:10.480 --> 00:01:13.280]  就希望求一下神
[00:01:13.280 --> 00:01:15.280]  希望解難消災
[00:01:15.280 --> 00:01:18.480]  但我已經發覺不是這樣的
[00:01:18.480 --> 00:01:22.480]  神不是只是有心解一下難
[00:01:22.480 --> 00:01:24.480]  消一下災
[00:01:24.480 --> 00:01:26.480]  我選了一個題目很重要
[00:01:26.480 --> 00:01:28.480]  生命根生
[00:01:28.480 --> 00:01:32.480]  聖經用的字是transformation
[00:01:32.480 --> 00:01:34.480]  你的生命去到一個點的時候
[00:01:34.480 --> 00:01:36.480]  你可以改變
[00:01:36.480 --> 00:01:38.480]  有些人認命
