
[00:00:00.000 --> 00:00:04.700]  1815年法國有個年輕的水手叫阿德
[00:00:04.700 --> 00:00:09.000]  阿德因為表現出色
[00:00:09.000 --> 00:00:12.900]  於是他很快晉升成為船長
[00:00:12.900 --> 00:00:16.500]  並且他在籌備結婚
[00:00:16.500 --> 00:00:18.600]  因為阿德的一帆風順
[00:00:18.600 --> 00:00:23.400]  招致他一個同事的好心妒忌
[00:00:23.400 --> 00:00:27.600]  於是這個同事就和未婚妻的表哥合謀
[00:00:27.600 --> 00:00:29.700]  誣告他叛國
[00:00:29.700 --> 00:00:32.600]  叛國是一個很嚴重的罪行
[00:00:32.600 --> 00:00:34.300]  處理這宗案件的法官
[00:00:34.300 --> 00:00:38.300]  因為私利、個人利益踩了他的腳
[00:00:38.300 --> 00:00:42.400]  阿德結果被判終身監禁
[00:00:42.400 --> 00:00:45.200]  一夜之間他失去所有東西
[00:00:45.200 --> 00:00:46.900]  包括未婚妻
[00:00:46.900 --> 00:00:50.700]  因為這樣後來改嫁給他的表哥
[00:00:50.700 --> 00:00:53.000]  阿德含冤入獄
[00:00:53.000 --> 00:00:55.300]  心裏有極大的憤恨
[00:00:55.300 --> 00:01:00.100]  每一天他只想一件事 就是怎樣去報仇
[00:01:00.100 --> 00:01:02.600]  在這個時間他竟然有一個奇遇
[00:01:02.600 --> 00:01:05.600]  就是他和他一起坐牢的老人家
[00:01:05.600 --> 00:01:10.200]  竟然將畢生的學問完全交給他
[00:01:10.200 --> 00:01:14.400]  並且告訴他有一個巨大藏寶的藏寶地方
[00:01:14.400 --> 00:01:16.600]  地圖也告訴他
[00:01:16.600 --> 00:01:18.600]  在這個老人家臨過世之前
[00:01:18.600 --> 00:01:22.500]  並且幫阿德成功越獄
[00:01:22.500 --> 00:01:25.700]  十四年之後 阿德搖身一變
[00:01:25.700 --> 00:01:32.400]  成為一個極有學問、極有錢的基督山伯爵
[00:01:32.400 --> 00:01:34.900]  基督山伯爵的出現只有一個目的
[00:01:34.900 --> 00:01:39.800]  就是找這三個陷害他的仇人去報復
[00:01:39.800 --> 00:01:42.800]  以牙還牙、以眼還眼
[00:01:42.800 --> 00:01:47.300]  一定要害到這三個仇人家破人亡
[00:01:47.300 --> 00:01:49.900]  最後阿德以前的未婚妻發現
[00:01:49.900 --> 00:01:53.100]  原來基督山伯爵有一個這樣的報仇計劃
[00:01:53.100 --> 00:01:56.700]  並且知道基督山伯爵原來就是他當年認識的阿德
[00:01:56.700 --> 00:01:58.500]  但是他當年認識的阿德
[00:01:58.500 --> 00:02:02.500]  這個心地善良的阿德已經不存在
[00:02:02.500 --> 00:02:06.000]  他的未婚妻和基督山伯爵這樣說
[00:02:06.000 --> 00:02:09.800]  她說以前善良的阿德已經死了
[00:02:09.800 --> 00:02:14.800]  今日在我眼前的是一個惡魔 是一個魔鬼
[00:02:14.800 --> 00:02:18.000]  仇恨令人與人之間分離
[00:02:18.000 --> 00:02:22.100]  仇恨令人與神之間分離
[00:02:22.100 --> 00:02:25.500]  有一張照片這個人叫金俊坤
[00:02:25.500 --> 00:02:26.900]  金俊坤是誰呢?
[00:02:26.900 --> 00:02:31.100]  金俊坤是韓國學園傳道會的創辦人
[00:02:31.100 --> 00:02:35.100]  但是金俊坤給人印象最深刻的不是這個事實
[00:02:35.100 --> 00:02:39.500]  而是他生命見證所傳遞出來的因典
[00:02:39.500 --> 00:02:42.500]  1950年
[00:02:42.500 --> 00:02:48.000]  北韓共產黨游擊隊襲擊金俊坤所住的村落
[00:02:48.000 --> 00:02:49.300]  見人就殺
[00:02:49.300 --> 00:02:52.700]  結果他全村的人慘遭殺害
[00:02:52.700 --> 00:02:58.600]  金俊坤親眼看著他爸爸和他太太被槍殺
[00:02:58.600 --> 00:03:00.700]  金俊坤自己也被人打到半死
[00:03:00.700 --> 00:03:02.600]  扔在路邊等死
[00:03:02.600 --> 00:03:04.500]  結果他逃過一劫
[00:03:04.500 --> 00:03:10.400]  金俊坤如何面對殺害全家的這一班人呢?
[00:03:10.400 --> 00:03:14.300]  每一天都被憤恨籠罩住
[00:03:14.300 --> 00:03:16.600]  他的心就很想報復
[00:03:16.600 --> 00:03:19.100]  直至有一天他禱告的時間
[00:03:19.100 --> 00:03:20.500]  聖靈跟他說
[00:03:20.500 --> 00:03:25.300]  如果你永遠容許你的生命被這些苦毒控制
[00:03:25.300 --> 00:03:28.200]  你永遠背著這個包袱在你的人生
[00:03:28.200 --> 00:03:30.000]  你就沒辦法服侍神
[00:03:30.000 --> 00:03:32.300]  你也沒辦法服侍人
[00:03:32.300 --> 00:03:33.800]  金俊坤說很困難
[00:03:33.800 --> 00:03:34.600]  我很想原諒
[00:03:34.600 --> 00:03:36.000]  但是我現在還是很生氣
[00:03:36.000 --> 00:03:38.200]  主啊求你幫助我
[00:03:38.200 --> 00:03:40.800]  賜給我一個寬恕的心
[00:03:40.800 --> 00:03:43.000]  賜給我一個好像耶穌基督你
[00:03:43.000 --> 00:03:45.700]  愛仇敵的心給我
[00:03:45.700 --> 00:03:48.900]  結果聖靈一直去幫助他
[00:03:48.900 --> 00:03:51.200]  金俊坤一直改變
[00:03:51.200 --> 00:03:58.000]  直至有一天他找到當年下令屠殺的游擊隊領袖
[00:03:58.000 --> 00:04:00.000]  走到他面前
[00:04:00.000 --> 00:04:02.200]  親口跟他說
[00:04:02.200 --> 00:04:04.600]  我願意寬恕你
[00:04:04.600 --> 00:04:09.200]  這個游擊隊領袖沒想過當年他被他害的人
[00:04:09.200 --> 00:04:10.700]  今天走到他面前
[00:04:10.700 --> 00:04:12.400]  親口跟他說我寬恕你
[00:04:12.400 --> 00:04:13.800]  一時之間不知道怎麼反應
[00:04:13.800 --> 00:04:15.500]  整個輕了機器呆在那裡
[00:04:15.500 --> 00:04:17.900]  但是心裡面有很大的感動
[00:04:17.900 --> 00:04:22.200]  結果金俊坤跟這個游擊隊領袖一起跪下
[00:04:22.200 --> 00:04:23.800]  認罪悔改
[00:04:23.800 --> 00:04:25.200]  接受耶穌
[00:04:25.200 --> 00:04:28.400]  接著他那幫共產黨游擊隊的隊員
[00:04:28.400 --> 00:04:32.200]  就一個一個一個一個信了耶穌
[00:04:32.200 --> 00:04:33.900]  因為人數太多了
[00:04:33.900 --> 00:04:39.400]  所以金俊坤後來幫助這幫人建立一間教會
[00:04:39.400 --> 00:04:42.700]  因典讓人與人之間復和
[00:04:42.700 --> 00:04:47.300]  因典讓人和神不再分離
[00:04:47.300 --> 00:04:48.700]  有人問
[00:04:48.700 --> 00:04:49.700]  我們基督的信仰
[00:04:49.700 --> 00:04:52.400]  究竟跟其他宗教有什麼最大的分別呢?
[00:04:52.400 --> 00:04:54.000]  弟兄姊妹最大的分別是什麼呢?
[00:04:54.000 --> 00:04:55.100]  因典
[00:04:55.100 --> 00:04:56.800]  什麼是因典?
[00:04:56.800 --> 00:04:59.100]  因典是一份免費的禮物
[00:04:59.100 --> 00:05:01.200]  因典是我們每一個信耶穌都得救
[00:05:01.200 --> 00:05:03.700]  但是我們信耶穌的救恩這個得救
[00:05:03.700 --> 00:05:05.600]  不是因為我們積陰德
[00:05:05.600 --> 00:05:06.500]  做善事
[00:05:06.500 --> 00:05:09.100]  做了很多好事賺回來
[00:05:09.100 --> 00:05:11.500]  而是我們只是認罪悔改
[00:05:11.500 --> 00:05:12.200]  接受耶穌
[00:05:12.200 --> 00:05:14.800]  這個因典就在你和我的生命裡面
[00:05:14.800 --> 00:05:16.800]  這個因典就在你的手上
[00:05:16.800 --> 00:05:18.600]  耶穌賜給我們的因典
[00:05:18.600 --> 00:05:20.500]  不是要我們據為己有
[00:05:20.500 --> 00:05:22.200]  這個因典是可以分出去的
[00:05:22.200 --> 00:05:25.600]  耶穌的心是很想將我們所擁有的因典
[00:05:25.600 --> 00:05:26.900]  祂給我們的因典
[00:05:26.900 --> 00:05:28.600]  分到出去
[00:05:28.600 --> 00:05:30.100]  耶穌叫我們愛仇敵
[00:05:30.100 --> 00:05:34.400]  就是你要將祂賜給你的因典分出去
[00:05:34.400 --> 00:05:34.900]  弟兄姊妹
[00:05:34.900 --> 00:05:37.200]  當我們將這個因典分出去的時候
[00:05:37.200 --> 00:05:39.800]  這一份就是漢得見的愛
[00:05:39.800 --> 00:05:41.100]  讓人看到
[00:05:41.100 --> 00:05:42.300]  讓人經歷到
[00:05:42.300 --> 00:05:43.900]  讓人感受到
[00:05:43.900 --> 00:05:45.900]  讓人可以繼續分出去
[00:05:45.900 --> 00:05:48.700]  這一份是漢得見的愛
[00:05:48.700 --> 00:05:49.800]  弟兄姊妹
[00:05:49.800 --> 00:05:52.600]  以下我想和大家看幾段
[00:05:52.600 --> 00:05:54.300]  很難的聖經
[00:05:54.300 --> 00:05:55.900]  未必是一些自然
[00:05:55.900 --> 00:05:58.200]  而是當我們活出去的時候
[00:05:58.200 --> 00:06:00.700]  我們需要不是自己的能力
[00:06:00.700 --> 00:06:02.100]  我們要和聖靈合作
[00:06:02.100 --> 00:06:04.000]  但是要聖靈幫助我們
[00:06:04.000 --> 00:06:05.900]  可以將神的心意
[00:06:05.900 --> 00:06:07.200]  祂的真理活出來
[00:06:07.200 --> 00:06:07.700]  是什麼呢?
[00:06:07.700 --> 00:06:08.300]  我們繼續看
[00:06:08.300 --> 00:06:09.400]  路加福音六章
[00:06:09.400 --> 00:06:11.000]  二十七至二十八節
[00:06:11.000 --> 00:06:11.800]  等一會我們一起讀
[00:06:11.800 --> 00:06:12.900]  一二三
[00:06:12.900 --> 00:06:14.700]  「只是我告訴你們
[00:06:14.700 --> 00:06:16.400]  這聽道的人
[00:06:16.400 --> 00:06:18.800]  你們的仇敵要愛他
[00:06:18.800 --> 00:06:21.500]  恨你們的要待他好
[00:06:21.500 --> 00:06:24.500]  咒咒你們的要為他祝福
[00:06:24.500 --> 00:06:28.000]  凌辱你們的要為他禱告」
[00:06:28.000 --> 00:06:29.400]  耶穌在說什麼呢?
[00:06:29.400 --> 00:06:31.300]  你要愛你的仇敵
[00:06:31.300 --> 00:06:32.200]  仇敵是什麼呢?
[00:06:32.200 --> 00:06:34.400]  仇敵就是傷害你的人
[00:06:34.400 --> 00:06:35.600]  你要愛他
[00:06:35.600 --> 00:06:37.000]  不是吧?
[00:06:37.000 --> 00:06:37.800]  恨你的人
[00:06:37.800 --> 00:06:39.300]  就是仇視你的人
[00:06:39.300 --> 00:06:40.300]  怒瞪你的人
[00:06:40.300 --> 00:06:41.800]  你有沒有試過被人怒瞪
[00:06:41.800 --> 00:06:43.400]  有沒有被人仇視
[00:06:43.400 --> 00:06:44.600]  怒瞪你的人
[00:06:44.600 --> 00:06:45.400]  仇視你的人
[00:06:45.400 --> 00:06:46.600]  要對他好
[00:06:46.600 --> 00:06:47.800]  不是吧?
[00:06:47.800 --> 00:06:49.000]  咒咒你的人
[00:06:49.000 --> 00:06:49.800]  什麼咒咒你
[00:06:49.800 --> 00:06:50.900]  就是這麼多人死不見你死
[00:06:50.900 --> 00:06:51.900]  罵你的人
[00:06:51.900 --> 00:06:53.400]  這樣罵你的人
[00:06:53.400 --> 00:06:55.000]  你還要祝福他
