
[00:00:00.000 --> 00:00:02.000]  各位頂智妹早晨
[00:00:02.000 --> 00:00:06.000]  中國文化總是喜歡報喜不報憂
[00:00:06.000 --> 00:00:11.000]  所以在很多教會當他們講述自身歷史的時候
[00:00:11.000 --> 00:00:16.000]  往往都只是提教會裏面蒙神恩典的那一面
[00:00:16.000 --> 00:00:20.000]  而對於教會裏面那些負面、陰暗面的歷史
[00:00:20.000 --> 00:00:23.000]  通常我們都會避開不講
[00:00:23.000 --> 00:00:27.000]  其實這種做法都是有著善良的動機
[00:00:27.000 --> 00:00:30.000]  因為這樣可以讓頂智妹有更多的鼓勵
[00:00:30.000 --> 00:00:33.000]  讓信徒能夠體現神在教會當中的恩典
[00:00:33.000 --> 00:00:35.000]  得到更多的激勵
[00:00:35.000 --> 00:00:39.000]  亦都能夠提升教會裏面的正面的能量
[00:00:39.000 --> 00:00:43.000]  但很多時候當我們避開了負面和陰暗面的時候
[00:00:43.000 --> 00:00:47.000]  這個負面和陰暗面會繼續留在教會當中
[00:00:47.000 --> 00:00:50.000]  總是不能夠疏解
[00:00:50.000 --> 00:00:52.000]  我們從聖經的記載裏面
[00:00:52.000 --> 00:00:55.000]  我們看見神並不是這樣的
[00:00:55.000 --> 00:01:00.000]  在聖經裏面我們看見聖經記述以色列的歷史的時候
[00:01:00.000 --> 00:01:04.000]  不論善惡聖經都是勇敢地去面對
[00:01:04.000 --> 00:01:07.000]  就好像常常都被神稱讚
[00:01:07.000 --> 00:01:10.000]  神讚賞的一個皇帝大衛王
[00:01:10.000 --> 00:01:13.000]  聖經從來沒有避諱去指出
[00:01:13.000 --> 00:01:17.000]  他曾經殺人、曾經姦淫這個罪行
[00:01:17.000 --> 00:01:20.000]  《小人傳》十三章二十二節裏面
[00:01:20.000 --> 00:01:22.000]  神讚賞大衛王
[00:01:22.000 --> 00:01:25.000]  我尋得耶西的兒子大衛
[00:01:25.000 --> 00:01:27.000]  他是合我心意的人
[00:01:27.000 --> 00:01:30.000]  凡事要遵行我的旨意
[00:01:30.000 --> 00:01:34.000]  這個讚賞是相當之感人的讚賞
[00:01:34.000 --> 00:01:36.000]  如果一天神這樣去說
[00:01:36.000 --> 00:01:38.000]  我尋得向秉國
[00:01:38.000 --> 00:01:40.000]  他是合我心意的人
[00:01:40.000 --> 00:01:42.000]  凡事要遵行我的旨意
[00:01:42.000 --> 00:01:44.000]  你說多開心
[00:01:44.000 --> 00:01:46.000]  相信他已經飛上天了
[00:01:46.000 --> 00:01:48.000]  所以不用乘神舟九號
[00:01:48.000 --> 00:01:50.000]  他都飛上天了
[00:01:50.000 --> 00:01:52.000]  如果神這樣讚賞我們
[00:01:52.000 --> 00:01:54.000]  我們會覺得這是一個屬靈的人
[00:01:54.000 --> 00:01:56.000]  一個偽人
[00:01:56.000 --> 00:01:58.000]  但是在這個這麼受神讚賞的人
[00:01:58.000 --> 00:02:00.000]  大衛身上
[00:02:00.000 --> 00:02:03.000]  他有陰暗面、負面的事
[00:02:03.000 --> 00:02:04.000]  他拒絕承認
[00:02:04.000 --> 00:02:08.000]  神才清楚指出他有這個罪行
[00:02:08.000 --> 00:02:12.000]  神照樣地指出大衛王的惡
[00:02:12.000 --> 00:02:15.000]  聖經不加掩飾地報道真相
[00:02:15.000 --> 00:02:17.000]  因為在神的眼中
[00:02:17.000 --> 00:02:20.000]  沒有一個人是完全的人
[00:02:20.000 --> 00:02:23.000]  由創世紀記述當第一個人犯罪之後
[00:02:23.000 --> 00:02:27.000]  每個人在神面前都帶著罪惡
[00:02:27.000 --> 00:02:28.000]  所以神看我們的
[00:02:28.000 --> 00:02:30.000]  不是看見我們有多少個罪
