
[00:00:00.000 --> 00:00:03.460]  咁我哋繼續去睇呢個肥立比書
[00:00:03.460 --> 00:00:05.460]  我哋睇到第三章
[00:00:05.460 --> 00:00:08.800]  雖然上次同大家嘅分享裏面呢就
[00:00:08.800 --> 00:00:10.800]  有啲都未分享到嘅
[00:00:10.800 --> 00:00:12.140]  有兩個人物
[00:00:12.140 --> 00:00:13.340]  不過我哋都
[00:00:13.340 --> 00:00:14.800]  遲啲再同大家分享
[00:00:14.800 --> 00:00:19.140]  我哋會繼續接著睇咗落去肥立比書第三章第一到第十一節
[00:00:19.140 --> 00:00:22.420]  今日畀個題目佢呢叫做喜樂不在主之愛
[00:00:22.420 --> 00:00:23.940]  咁呀可能
[00:00:23.940 --> 00:00:26.180]  而家同你講喜樂可能你都
[00:00:26.180 --> 00:00:27.620]  未必好容易
[00:00:27.620 --> 00:00:31.580]  因為可能喺呢個社會嘅環境裏面動盪嘅世代裏面
[00:00:31.580 --> 00:00:34.060]  喜樂對你嚟講可能都
[00:00:34.060 --> 00:00:35.180]  好難去
[00:00:35.180 --> 00:00:36.260]  攞得到
[00:00:36.260 --> 00:00:37.300]  但係不過我哋
[00:00:37.300 --> 00:00:40.340]  仍然去持守住啦我哋去睇肥立比書嘅時候
[00:00:40.340 --> 00:00:43.820]  佢嘅主題係講喜樂嘅時候我哋就讓呢種嘅喜樂
[00:00:43.820 --> 00:00:48.460]  究竟可以點樣繼續去喺我哋嘅屬靈生命上面去產生呢
[00:00:48.460 --> 00:00:50.220]  咁你繼續去睇第三章
[00:00:50.220 --> 00:00:52.420]  我每一次呢我都去
[00:00:52.420 --> 00:00:56.620]  講到呢都有兩章嘅slide一定係會講嘅
[00:00:56.620 --> 00:00:58.300]  咁我希望呢
[00:00:58.300 --> 00:01:00.060]  呢個嘅
[00:01:00.060 --> 00:01:02.020]  肥立比書嘅講到嘅當中呢
[00:01:02.020 --> 00:01:06.060]  縱然你最後你都唔記得啲咩你呢兩章影片希望你記得
