
[00:00:00.000 --> 00:00:02.660]  我今次其實揀了兩個英文字,
[00:00:02.660 --> 00:00:05.380]  不過短短節節英文字不見了,
[00:00:05.380 --> 00:00:08.600]  剩下中文,我為何揀英文字呢?
[00:00:08.600 --> 00:00:10.820]  英文字很難翻譯,
[00:00:10.820 --> 00:00:14.080]  因為是全世界關注的兩個題目,
[00:00:14.080 --> 00:00:17.740]  和心理學家都要學心理學,
[00:00:17.740 --> 00:00:24.160]  另一個字叫esteem,esteem很難翻譯,
[00:00:24.160 --> 00:00:33.300]  但esteem是尊貴,你可以有錢不一定活得尊貴,
[00:00:33.300 --> 00:00:38.060]  你可以很窮但可以活得非常尊貴,
[00:00:38.060 --> 00:00:40.680]  是和外在的事物不同,
[00:00:40.680 --> 00:00:44.580]  是一個身份問題,是誰,
[00:00:44.580 --> 00:00:47.840]  不要失身份,是尊貴,
[00:00:47.840 --> 00:00:50.500]  我相信每一個都尊貴,
[00:00:50.500 --> 00:00:52.260]  為何那麼多人失去尊貴,
[00:00:52.260 --> 00:00:56.040]  而且是動詞,活得尊貴,
[00:00:56.040 --> 00:00:59.680]  活得尊貴不止是沒想尊貴,
[00:00:59.680 --> 00:01:05.640]  活得尊不尊貴不是打扮,不是穿甚麼衣服,
[00:01:05.640 --> 00:01:08.720]  但另一個字我下次會講,
[00:01:08.720 --> 00:01:15.640]  intimacy,intimacy是親密,很緊密的關係,
[00:01:15.640 --> 00:01:18.620]  因為香港城市越來越疏,
[00:01:18.620 --> 00:01:23.520]  連最親的人都很疏,是心理學的一個概念,
[00:01:23.520 --> 00:01:27.780]  intimacy相對是isolation,是隔絕,
[00:01:27.780 --> 00:01:34.080]  因為人是一個relationally有關係的物質,
[00:01:34.080 --> 00:01:38.540]  人是一個esteem,是一個尊貴的動物,
[00:01:38.540 --> 00:01:43.440]  我今日,盧博士你知我每次都介紹書,
[00:01:43.440 --> 00:01:47.700]  我今次介紹一個拿獎作品,
[00:01:47.700 --> 00:01:53.540]  在西方心理學近年其中一個最重要的課題,
[00:01:53.540 --> 00:01:57.340]  不絕研究就是self esteem,自尊,
[00:01:57.340 --> 00:02:01.120]  人家看不起你,為何你連自己都看不起自己,
[00:02:01.120 --> 00:02:07.580]  為何被人控制,為何被人定義你有沒有esteem,
[00:02:07.580 --> 00:02:09.680]  所以叫self esteem,
[00:02:09.680 --> 00:02:12.460]  出了一本Psychology of Self Esteem,
[00:02:12.460 --> 00:02:19.300]  我喜歡他後來寫的一本 Nathaniel Brenner
[00:02:19.300 --> 00:02:21.520]  寫了The Six Pillars of Self Esteem,
