
[00:00:00.000 --> 00:00:07.000]  一般宗教一定有自己本身的經典
[00:00:07.000 --> 00:00:10.000]  我們基督教就是聖經
[00:00:10.000 --> 00:00:12.000]  天主教也有聖經
[00:00:12.000 --> 00:00:15.000]  不過會加上一些次經的經卷
[00:00:15.000 --> 00:00:19.000]  摩門教雖然他們說我們也會看聖經
[00:00:19.000 --> 00:00:24.000]  不過摩門經或無價珍珠才是他們重要的經典
[00:00:24.000 --> 00:00:29.000]  任何組織群體甚至政黨的成立
[00:00:29.000 --> 00:00:33.000]  都一定有他們本身立黨立組織的目的
[00:00:33.000 --> 00:00:36.000]  甚至他們的核心價值
[00:00:36.000 --> 00:00:39.000]  如果要入黨入組織入這個群體
[00:00:39.000 --> 00:00:44.000]  必須要表明他們願意效忠或忠心
[00:00:44.000 --> 00:00:46.000]  他們組織的一個核心價值
[00:00:46.000 --> 00:00:48.000]  否則你就自貶了
[00:00:48.000 --> 00:00:50.000]  不需要加入
[00:00:50.000 --> 00:00:53.000]  1997年香港回歸祖國
[00:00:53.000 --> 00:00:57.000]  為了能夠有效執行這個一國兩制
[00:00:57.000 --> 00:01:01.000]  就出現了基本法
[00:01:01.000 --> 00:01:04.000]  這個基本法對於我們的祖國
[00:01:04.000 --> 00:01:08.000]  對於我們特區政府是非常重要
[00:01:08.000 --> 00:01:12.000]  第23條是涉及到國家的安全
[00:01:12.000 --> 00:01:15.000]  不能夠容許分裂
[00:01:15.000 --> 00:01:18.000]  對於我們有宗教人士基督徒來說
[00:01:18.000 --> 00:01:22.000]  141條的宗教自由
[00:01:22.000 --> 00:01:24.000]  也是我們不能夠忽略的
[00:01:24.000 --> 00:01:27.000]  我們都會堅持的
[00:01:27.000 --> 00:01:29.000]  很多人會喜歡
[00:01:29.000 --> 00:01:33.000]  我們是一個無法無天的國家或社會
[00:01:33.000 --> 00:01:35.000]  你不會喜歡的
[00:01:35.000 --> 00:01:38.000]  除非我是一個無法無天的人
[00:01:38.000 --> 00:01:39.000]  我就當然喜歡了
[00:01:39.000 --> 00:01:41.000]  沒有枉管
[00:01:41.000 --> 00:01:45.000]  但我相信我們都希望國家有國法
[00:01:45.000 --> 00:01:47.000]  有秩序
[00:01:47.000 --> 00:01:50.000]  所以基本法是讓我們國家
[00:01:50.000 --> 00:01:52.000]  讓我們特區政府
