
[00:00:00.000 --> 00:00:04.560]  當我拿到這個主題時我很害怕
[00:00:04.560 --> 00:00:07.680]  因為不同的教會都有不同的說法
[00:00:07.680 --> 00:00:12.640]  連不同的牧者都有不同的見解
[00:00:12.640 --> 00:00:16.520]  教會是現在公共的空間
[00:00:16.520 --> 00:00:19.800]  其實很感謝林牧師上次
[00:00:19.800 --> 00:00:21.960]  給了我們一課教會歷史
[00:00:21.960 --> 00:00:23.720]  以及講到馬丁路德的struggle
[00:00:23.720 --> 00:00:26.720]  馬丁路德的一生
[00:00:26.720 --> 00:00:30.720]  以及他所提倡的唯獨
[00:00:30.720 --> 00:00:35.040]  他恢復了聖經和教會之間的正確關係
[00:00:35.040 --> 00:00:38.720]  97條字條貼在門上
[00:00:38.720 --> 00:00:43.560]  是沒有生命危險的
[00:00:43.560 --> 00:00:46.400]  他反對當時羅馬天主教
[00:00:46.400 --> 00:00:50.440]  認為教會高於聖經的神學觀
[00:00:50.440 --> 00:00:54.120]  也指出聖經就是神的道
[00:00:54.120 --> 00:01:00.280]  他唯獨信心、唯獨恩典、唯獨聖經
[00:01:00.280 --> 00:01:03.760]  唯獨基督、唯獨榮耀
[00:01:03.760 --> 00:01:08.800]  今天我的重點會放在唯獨聖經那裏
[00:01:08.800 --> 00:01:10.320]  一提起教會
[00:01:10.320 --> 00:01:14.760]  大家知不知道教會到底是甚麼目的
[00:01:14.760 --> 00:01:21.720]  它的原文這個字叫做egalexia
[00:01:21.720 --> 00:01:24.720]  這條舌頭老了不行
[00:01:24.720 --> 00:01:30.200]  就是神召喚我們一批信奉祂的人一齊出來
[00:01:30.200 --> 00:01:33.160]  被召的人集在一起就叫做教會
[00:01:33.160 --> 00:01:35.960]  神的名字就在他們中間
[00:01:35.960 --> 00:01:37.200]  在他們身上
[00:01:37.200 --> 00:01:38.800]  即是在我們身上
[00:01:38.800 --> 00:01:42.120]  應該看到神的榮耀
[00:01:42.120 --> 00:01:45.320]  在開始之前我先講一個故事
[00:01:45.320 --> 00:01:46.160]  這個故事很簡單
[00:01:46.160 --> 00:01:47.760]  我相信大家都很熟悉
[00:01:47.760 --> 00:01:50.720]  當以色列人第二次建聖殿
[00:01:50.720 --> 00:01:53.720]  當他們被俘虜回去建聖殿的時候
[00:01:53.720 --> 00:01:58.200]  很多敵人出來攔阻他們
[00:01:58.200 --> 00:01:59.560]  這班所謂的敵人
[00:01:59.560 --> 00:02:01.720]  起初以為是普通的外邦人
[00:02:01.720 --> 00:02:03.720]  因為那時候已經被人差不多亡了國
[00:02:03.720 --> 00:02:06.720]  所以很多人就住在那裏
[00:02:06.720 --> 00:02:08.720]  那些敵人主要的攻勢是甚麼?
[00:02:08.720 --> 00:02:09.760]  同化
[00:02:09.760 --> 00:02:11.080]  我們大家都見到很多國家
[00:02:11.080 --> 00:02:12.480]  現在就算是北美也是
[00:02:12.480 --> 00:02:16.880]  到今時今日都很想將別人安然同化
[00:02:16.880 --> 00:02:18.840]  但他們不肯
[00:02:18.840 --> 00:02:20.720]  所以就變成有些叫做reservation
[00:02:20.720 --> 00:02:22.520]  讓他們住在那裏
[00:02:22.520 --> 00:02:26.120]  住在一個特別區裏就很少出來
[00:02:26.120 --> 00:02:27.120]  我們中國也是
[00:02:27.120 --> 00:02:30.120]  你現在去到新疆維吾爾族
[00:02:30.120 --> 00:02:31.920]  中國不知道多想同化他們
[00:02:31.920 --> 00:02:35.640]  因為同化他們覺得這個問題就解決
[00:02:35.640 --> 00:02:36.720]  換句話說
[00:02:36.720 --> 00:02:41.120]  你如果是信基督教的
[00:02:41.120 --> 00:02:43.440]  如果你和一個非基督徒結婚
[00:02:43.440 --> 00:02:46.240]  是很有可能你不會信
[00:02:46.240 --> 00:02:47.720]  你可能會走離
[00:02:47.720 --> 00:02:51.040]  所以他們希望同化這群人
[00:02:51.040 --> 00:02:53.840]  但那時候的猶太人經歷過亡國
[00:02:53.840 --> 00:02:57.440]  深切體會到信仰不忠的結果
[00:02:57.440 --> 00:02:59.320]  所以為了保持信仰的純正
[00:02:59.320 --> 00:03:01.720]  就決定不容許這群人
[00:03:01.720 --> 00:03:04.320]  說要來幫手的這群人來幫手
[00:03:04.320 --> 00:03:07.840]  其實這群人是猶大和變雅敏的敵人
[00:03:07.840 --> 00:03:12.320]  他們說來參與聖殿的工作
[00:03:12.320 --> 00:03:13.920]  我們來看看經文
[00:03:13.920 --> 00:03:16.720]  我們一起讀給大家聽
[00:03:16.720 --> 00:03:19.840]  猶大和變雅敏的敵人聽說
[00:03:19.840 --> 00:03:22.240]  秘魯歸回的人為耶和華
[00:03:22.240 --> 00:03:24.920]  以色列的神建造殿院
[00:03:24.920 --> 00:03:28.120]  就是去見所羅巴伯和以色列的族長
[00:03:28.120 --> 00:03:28.920]  對他們說
[00:03:28.920 --> 00:03:31.320]  請容我們與你們一同建造
[00:03:31.320 --> 00:03:33.640]  因為我們尋求你們的神
[00:03:33.640 --> 00:03:35.720]  與你們一樣
[00:03:35.720 --> 00:03:38.040]  自從亞述王以撒哈頓
[00:03:38.040 --> 00:03:39.840]  帶我們上來這裡之後
[00:03:39.840 --> 00:03:44.520]  我們都祭祀你的神了
[00:03:44.520 --> 00:03:49.520]  但是所羅巴伯和以色列的族長對他們說
[00:03:49.520 --> 00:03:53.520]  我們建造神的殿與你們無關
[00:03:53.520 --> 00:03:57.120]  我們自己為耶和華以色列的神協力建造
[00:03:57.120 --> 00:04:03.320]  是照波斯王古列所吩咐的
[00:04:03.320 --> 00:04:06.320]  那地的民就在猶太人建造的時候
[00:04:06.320 --> 00:04:08.920]  使他們的手法妖戀他們
[00:04:08.920 --> 00:04:14.920]  從波斯王革命年間直到波斯王大利烏登基的時候
[00:04:14.920 --> 00:04:18.720]  賄賂謀士要敗壞他們的謀士
