
[00:00:00.000 --> 00:00:03.900]  上星期我們講到施洗約翰
[00:00:03.900 --> 00:00:06.360]  預備主耶穌的道路
[00:00:06.360 --> 00:00:09.160]  今天我們從另一個角度來看
[00:00:09.160 --> 00:00:15.740]  主耶穌自己如何為自己地上的事供來預備
[00:00:15.740 --> 00:00:18.720]  我們一同學習在這個故事裏面
[00:00:18.720 --> 00:00:21.700]  很有效地去抵擋
[00:00:21.700 --> 00:00:24.700]  撒旦給我們的試探
[00:00:24.700 --> 00:00:26.480]  今天所讀經文的第一、二節
[00:00:26.480 --> 00:00:27.900]  聖經告訴我們
[00:00:27.900 --> 00:00:30.380]  主耶穌被聖靈所充滿
[00:00:30.380 --> 00:00:33.980]  然後聖靈將祂引渡到曠野
[00:00:33.980 --> 00:00:35.680]  在曠野那裏
[00:00:35.680 --> 00:00:39.220]  主耶穌受到撒旦的試探
[00:00:39.220 --> 00:00:41.060]  讓我這樣來問大家
[00:00:41.060 --> 00:00:45.140]  大家覺得主耶穌是專程去到曠野
[00:00:45.140 --> 00:00:48.860]  接受撒旦的試探
[00:00:48.860 --> 00:00:55.340]  抑或是撒旦利用主耶穌在曠野獨處的時候
[00:00:55.340 --> 00:00:58.000]  來去試探耶穌呢?
[00:00:58.000 --> 00:01:01.560]  我記得我看一些電影
[00:01:01.560 --> 00:01:03.560]  少林的電影或者小說
[00:01:03.560 --> 00:01:07.460]  大家都應該有這樣的觀察
[00:01:07.460 --> 00:01:11.080]  少林弟子通常練到一身好武功
[00:01:11.080 --> 00:01:15.320]  但是他們必須要憑著一身的絕技
[00:01:15.320 --> 00:01:18.400]  來打出所謂的木人巷
[00:01:18.400 --> 00:01:20.080]  來證明自己的實力
[00:01:20.080 --> 00:01:21.900]  通過了這個木人巷之後
[00:01:21.900 --> 00:01:25.060]  他就可以下山闖蕩江湖了
[00:01:25.060 --> 00:01:26.840]  大家都有這樣的印象
[00:01:26.840 --> 00:01:29.320]  我想問一問
[00:01:29.320 --> 00:01:35.400]  撒旦被耶穌在曠野的試探
