
[00:00:00.000 --> 00:00:03.080]  聽道之前我們先低頭祈禱
[00:00:03.080 --> 00:00:05.600]  七爺天父上帝,我們感謝你
[00:00:05.600 --> 00:00:07.760]  因為是主你自己的恩典
[00:00:07.760 --> 00:00:11.800]  令我們可以在這裡參加崇拜
[00:00:11.800 --> 00:00:13.680]  我們可以讚美你
[00:00:13.680 --> 00:00:17.760]  我們也可以安心的在這裡聆聽主
[00:00:17.760 --> 00:00:19.560]  你親自對我們說話
[00:00:19.560 --> 00:00:21.840]  求你透過你僕人的口
[00:00:21.840 --> 00:00:23.640]  透過他所準備的訊息
[00:00:23.640 --> 00:00:27.840]  讓你的話語可以進入他們的心
[00:00:28.280 --> 00:00:34.840]  激勵我們,讓我們知道如何合乎你心意的門徒
[00:00:34.840 --> 00:00:37.560]  主感濟你,聽我們禱告
[00:00:37.560 --> 00:00:39.560]  求你帶領我們以下時間
[00:00:39.560 --> 00:00:41.400]  奉主耶穌基督的聖名
[00:00:41.400 --> 00:00:42.160]  阿們
[00:00:42.160 --> 00:00:51.240]  好了,今天就是
[00:00:51.240 --> 00:00:54.840]  如果我沒有領悟錯
[00:00:54.840 --> 00:00:58.200]  我就知道今天是聖餐主日
[00:00:58.200 --> 00:00:59.720]  但我看不到聖餐
[00:00:59.720 --> 00:01:03.360]  我有一點猶疑到底是不是聖餐主日
[00:01:03.360 --> 00:01:07.880]  但梁牧師很肯定地告訴我這是聖餐主日
[00:01:07.880 --> 00:01:10.280]  今天是聖餐主日
[00:01:10.280 --> 00:01:11.920]  說到聖餐
[00:01:11.920 --> 00:01:14.960]  我們應該追溯到
[00:01:14.960 --> 00:01:19.880]  主耶穌和門徒吃最後晚餐的時候
[00:01:19.880 --> 00:01:23.880]  這個最後晚餐,為何叫做最後晚餐呢
[00:01:23.880 --> 00:01:26.440]  當然也是叫做最後一次
[00:01:27.120 --> 00:01:32.880]  耶穌在世上和門徒共用的約御節的宴席
[00:01:32.880 --> 00:01:38.120]  那是不是耶穌最後一次和門徒一起享用宴席呢
[00:01:38.120 --> 00:01:39.600]  也不是
[00:01:39.600 --> 00:01:45.120]  主耶穌復活之後還和門徒吃過晚餐
[00:01:45.120 --> 00:01:47.960]  但這是耶穌以人的身份
[00:01:47.960 --> 00:01:49.960]  即是未復活之前
[00:01:49.960 --> 00:01:51.120]  以人的身份
[00:01:51.120 --> 00:01:54.080]  最後一次和門徒一起在這裡
[00:01:54.080 --> 00:01:56.480]  用約御節的宴席
[00:01:56.960 --> 00:02:00.840]  正如主耶穌當時對門徒所說的
[00:02:00.840 --> 00:02:03.720]  我不再用這個宴席
[00:02:03.720 --> 00:02:06.880]  直到成就在神的國裡
[00:02:06.880 --> 00:02:09.440]  他又說
[00:02:09.440 --> 00:02:12.960]  我不再喝葡萄汁
[00:02:12.960 --> 00:02:16.080]  直到神的國來到
[00:02:16.080 --> 00:02:18.800]  所以那一次的晚宴
[00:02:18.800 --> 00:02:23.160]  也被看為是設立聖餐的日子
[00:02:23.160 --> 00:02:24.800]  因此
[00:02:24.800 --> 00:02:25.720]  我們可以說
[00:02:25.720 --> 00:02:28.800]  那一晚耶穌和門徒所用的餐
[00:02:28.800 --> 00:02:31.600]  雖然是最後的晚餐
[00:02:31.600 --> 00:02:35.000]  但又卻是第一個聖餐
[00:02:35.000 --> 00:02:38.920]  因為那一晚就設立了聖餐
[00:02:38.920 --> 00:02:40.440]  所以那一晚
[00:02:40.440 --> 00:02:43.600]  很多時候會說是哪一夜
[00:02:43.600 --> 00:02:45.560]  即是那一晚
[00:02:45.560 --> 00:02:47.960]  說到那一晚的時候
[00:02:47.960 --> 00:02:49.080]  大家都會想起
[00:02:49.080 --> 00:02:52.160]  主耶穌在這裡設立聖餐
[00:02:52.160 --> 00:02:54.360]  在這裡一起用餐
[00:02:54.360 --> 00:02:58.680]  然後一起跟他們設立聖餐
[00:02:58.680 --> 00:02:59.440]  雖然
[00:02:59.440 --> 00:03:02.720]  約御節的晚餐不代表聖餐
[00:03:02.720 --> 00:03:04.440]  不等於聖餐
[00:03:04.440 --> 00:03:08.200]  因為約御節的晚餐是在前的
[00:03:08.200 --> 00:03:11.120]  設立聖餐是在後的
[00:03:11.120 --> 00:03:12.760]  但卻是同一餐
[00:03:12.760 --> 00:03:14.920]  同一個時間
[00:03:14.920 --> 00:03:16.320]  只不過在意義上
[00:03:16.320 --> 00:03:20.640]  因為主耶穌設立聖餐所說的那幾句說話
[00:03:20.640 --> 00:03:22.640]  而有所分別
[00:03:22.640 --> 00:03:23.760]  主耶穌對門徒說
[00:03:23.760 --> 00:03:25.040]  「我不再吃者
[00:03:25.040 --> 00:03:29.160]  言直直到成就在神的國」
[00:03:29.160 --> 00:03:29.960]  很明顯
[00:03:29.960 --> 00:03:32.680]  耶穌知道這是祂在世上
[00:03:32.680 --> 00:03:34.080]  以人的身份
[00:03:34.080 --> 00:03:35.840]  跟門徒最後一次的
[00:03:35.840 --> 00:03:38.280]  共用約御節的晚餐
[00:03:38.280 --> 00:03:41.600]  但是祂的門徒好像不太察覺
[00:03:41.600 --> 00:03:43.960]  主耶穌說這句說話
[00:03:43.960 --> 00:03:47.120]  好像沒有領悟到重點
[00:03:47.120 --> 00:03:48.560]  這個意義
