
[00:00:00.000 --> 00:00:02.540]  我們剛剛過了一個星期六
[00:00:02.540 --> 00:00:06.160]  就一起看了第三個舊約的講座
[00:00:06.160 --> 00:00:10.900]  從《利美記》裡面看見主耶穌基督的恩惠
[00:00:10.900 --> 00:00:15.960]  其實我們現在的進程一直都是在講摩西五經的
[00:00:15.960 --> 00:00:19.620]  嚴格來說摩西五經是一個整體
[00:00:19.620 --> 00:00:23.580]  我們現在要讀的《約書亞記》或者以後
[00:00:23.580 --> 00:00:26.520]  都是假設了我們已經讀了摩西五經
[00:00:26.520 --> 00:00:28.460]  所以從某個角度來說
[00:00:28.460 --> 00:00:30.520]  你要明白《約書亞記》
[00:00:30.520 --> 00:00:32.560]  你都要看回摩西五經的
[00:00:32.560 --> 00:00:36.680]  很快講一下摩西五經裡面的一些主題
[00:00:36.680 --> 00:00:41.720]  在我們舊約的講座裡面都會講到的
[00:00:41.720 --> 00:00:46.680]  是《墮落救贖》三部曲 是創世記的
[00:00:46.680 --> 00:00:49.960]  《偶像之家》、《逃生記》、《出埃及記》
[00:00:49.960 --> 00:00:52.000]  我們剛剛講完的《利美記》
[00:00:52.000 --> 00:00:54.620]  就是《聖潔君王保衛者》
[00:00:54.620 --> 00:00:59.120]  我接著下個月要講的就是《曠野中的大本營》
[00:00:59.120 --> 00:01:03.300]  是文素記 這個就是講那個四十年
[00:01:03.300 --> 00:01:06.240]  在那個曠野裡面 接著四十年過後
[00:01:06.240 --> 00:01:08.280]  最後還沒有進入迦南之前
[00:01:08.280 --> 00:01:11.900]  就《生命記》《深受葛禮心愛主》
[00:01:11.900 --> 00:01:14.960]  不過當我們看這些經文的時候
[00:01:14.960 --> 00:01:19.180]  我們和其它一些外面的一些言經的方向
[00:01:19.180 --> 00:01:21.520]  有一點不同 就是我們最終
[00:01:21.520 --> 00:01:25.740]  覺得所有的舊約都是一個影子指向主耶穌基督
[00:01:25.740 --> 00:01:27.160]  尤其是祂的十字架
[00:01:27.160 --> 00:01:29.900]  所以其實我們讀《約書亞記》一樣
[00:01:29.900 --> 00:01:31.740]  你會發現很多東西
[00:01:31.740 --> 00:01:32.820]  其實是一個影子
[00:01:32.820 --> 00:01:38.060]  最後是指向最終主耶穌基督的他的救恩
[00:01:38.060 --> 00:01:41.200]  《約書亞記》如果你記得上個禮拜
[00:01:41.200 --> 00:01:43.560]  我都有講過 我給它一個主題
[00:01:43.560 --> 00:01:48.420]  就是「書見恩仇盡迎許」
[00:01:48.420 --> 00:01:51.560]  它講的書 那本書就是Torah
[00:01:51.560 --> 00:01:53.900]  就是前面那個摩西五經
[00:01:53.900 --> 00:01:56.360]  見是因為它講到聖戰
[00:01:56.360 --> 00:02:00.260]  他們最後的目標是要進入上帝的應許
[00:02:00.260 --> 00:02:03.740]  這個應許之地 迦南的地方
[00:02:03.740 --> 00:02:08.080]  上個禮拜我們就講了
[00:02:08.080 --> 00:02:14.740]  這個Rehab這個妓女拉俠的故事
[00:02:14.740 --> 00:02:17.940]  這個禮拜 如果你是星期一的話
[00:02:17.940 --> 00:02:22.220]  你照我們的讀經計劃是應該讀21、22章
[00:02:22.220 --> 00:02:24.740]  明天你就讀完了 23、24章
[00:02:24.740 --> 00:02:31.060]  我想今天和你看一下《約書亞記》的終結
[00:02:31.060 --> 00:02:33.540]  最後第24章 其實大家都很熟的
[00:02:33.540 --> 00:02:37.460]  至於我和我家的那段聖經
[00:02:37.460 --> 00:02:41.160]  如果你看《約書亞記》的那個大綱
[00:02:41.160 --> 00:02:43.340]  其實它分了四部份
