
[00:00:00.000 --> 00:00:03.000]  好,今天是心靜自白和守望
[00:00:03.000 --> 00:00:08.000]  那我就看看一會兒講的內容會是什麼樣子
[00:00:08.000 --> 00:00:10.000]  有時候會講多一點,講少一點
[00:00:10.000 --> 00:00:15.000]  這次是一個非典的講道內容
[00:00:15.000 --> 00:00:16.000]  看看會是什麼樣子
[00:00:16.000 --> 00:00:19.000]  好,正如剛纔所說,這是我最後一篇道
[00:00:19.000 --> 00:00:22.000]  在這裏,作爲主任牧師的道
[00:00:22.000 --> 00:00:24.000]  下個星期的分堂就會講
[00:00:24.000 --> 00:00:31.000]  8月1號就會交棒給一個非常好感動,好感恩
[00:00:31.000 --> 00:00:35.000]  也都大家一起去建立的第二代團隊
[00:00:35.000 --> 00:00:38.000]  梁牧師,Pastor Winnie
[00:00:38.000 --> 00:00:42.000]  梁牧師作爲主任牧師,Pastor Winnie代堂主任
[00:00:42.000 --> 00:00:43.000]  一起帶領我們
[00:00:43.000 --> 00:00:48.000]  並且我們各個同工都是一個非常密切緊密的團隊
[00:00:48.000 --> 00:00:53.000]  對我來說,過去十年的侍奉的確是我人生最開心的日子
[00:00:53.000 --> 00:00:58.000]  有隊工,有同工,有弟弟姐妹,有領袖,開心到不得了
[00:00:58.000 --> 00:01:02.000]  神叫我們的教會叫做雅根堂
[00:01:02.000 --> 00:01:04.000]  原本的意思是什麼?雅根堂
[00:01:04.000 --> 00:01:07.000]  原文是什麼?神建立,可以嗎?
[00:01:07.000 --> 00:01:10.000]  所以跟旁邊的人說,這間教會神建立的
[00:01:10.000 --> 00:01:12.000]  不是人建立的,很重要
[00:01:12.000 --> 00:01:18.000]  上個星期就跟同工去退休
[00:01:18.000 --> 00:01:22.000]  看着一條河,默想聖經,喝咖啡
[00:01:22.000 --> 00:01:29.000]  在回想過去幾十年人生,又在交棒的姿勢
[00:01:29.000 --> 00:01:33.000]  想着下一站的時候,一方面思想過去
[00:01:33.000 --> 00:01:36.000]  感謝主帶令完成了生命很多不同的任務
[00:01:36.000 --> 00:01:40.000]  無論在教會,家庭,工作,教學等等
[00:01:40.000 --> 00:01:43.000]  感謝上帝,家人,同工
[00:01:43.000 --> 00:01:48.000]  同時亦都很感謝一班戰友
[00:01:48.000 --> 00:01:53.000]  無論大家的信號領袖,或者教會的教牧同工
[00:01:53.000 --> 00:01:58.000]  在那一刻,突然幾十分鐘去默想的時候
[00:01:58.000 --> 00:02:00.000]  突然想到一件事很重要
[00:02:00.000 --> 00:02:03.000]  就是雅根堂常常做的,先拍一張照片
[00:02:03.000 --> 00:02:06.000]  拍一張照片,在默想的時候看着一條河
[00:02:06.000 --> 00:02:09.000]  喝杯咖啡,講個經文,然後放上Facebook
[00:02:09.000 --> 00:02:13.000]  Facebook就這麼說,因爲其實在默想,所以寫幾句
[00:02:13.000 --> 00:02:16.000]  同工退休,太愛大家
[00:02:16.000 --> 00:02:20.000]  太靚的地方,太好的尚主
[00:02:20.000 --> 00:02:22.000]  接着就繼續領袖
[00:02:22.000 --> 00:02:26.000]  領袖完之後,Facebook就見到我太太說話
[00:02:26.000 --> 00:02:30.000]  我太太不是一個退休,她在上班
[00:02:30.000 --> 00:02:35.000]  她就說,還有,是什麼?太好的老公
[00:02:35.000 --> 00:02:38.000]  是不是很甜蜜?
[00:02:38.000 --> 00:02:41.000]  下一站究竟人生去哪?
[00:02:41.000 --> 00:02:46.000]  我們的生命,其實我們每一段人生都有一個小段落
[00:02:46.000 --> 00:02:50.000]  我們可能讀書有一個小段落,結婚有一個小段落
[00:02:50.000 --> 00:02:52.000]  搬家有一個小段落,每份工有一個小段落
[00:02:52.000 --> 00:02:56.000]  我們都值得想,我們的人生每一個段落是怎麼走
[00:02:56.000 --> 00:03:00.000]  或者是不是走在應該走的位置上
[00:03:00.000 --> 00:03:04.000]  或者下一個段落,又去到什麼方向
[00:03:04.000 --> 00:03:08.000]  有一個小故事關於愛因斯坦
[00:03:08.000 --> 00:03:12.000]  在普林斯頓搭火車的故事
[00:03:12.000 --> 00:03:15.000]  我相信當時她去不同的地方講
[00:03:15.000 --> 00:03:19.000]  當然是去祕書,買車票等等,去不同的地方
[00:03:19.000 --> 00:03:23.000]  記載有一個小故事,她這麼說
[00:03:23.000 --> 00:03:29.000]  她說,在搭火車的時候,有些驗票員去不同的位置
[00:03:29.000 --> 00:03:33.000]  看你有沒有買票,去哪個站,今天都有
[00:03:33.000 --> 00:03:39.000]  你是不是應該去頭頂,或者去日本拿你的火車票去哪裏
[00:03:39.000 --> 00:03:41.000]  在檢查你,有沒有去錯位
[00:03:41.000 --> 00:03:45.000]  去到愛因斯坦那裏,叫她拿票,愛因斯坦找
[00:03:45.000 --> 00:03:48.000]  衣服也找,手提包也找,地下也找
[00:03:48.000 --> 00:03:50.000]  找不到,有沒有掉了,找不到
[00:03:50.000 --> 00:03:54.000]  接着驗票員一看,認得她,她說
[00:03:54.000 --> 00:03:56.000]  愛因斯坦博士,我知道你是誰
[00:03:56.000 --> 00:04:01.000]  我們都知道你是誰,不用擔心,我肯定你有買票的
[00:04:01.000 --> 00:04:03.000]  據報道文章是這樣寫的
[00:04:03.000 --> 00:04:06.000]  愛因斯坦說,年輕人不能買票,不能買票
[00:04:06.000 --> 00:04:10.000]  所以她就繼續驗票員,去不同的位置驗
[00:04:10.000 --> 00:04:12.000]  驗完這個車家,去另一個車家
[00:04:12.000 --> 00:04:17.000]  回頭看,看見愛因斯坦繼續在找她的票
[00:04:17.000 --> 00:04:19.000]  她就離遠走過去
[00:04:19.000 --> 00:04:23.000]  愛因斯坦博士,不要擔心
[00:04:23.000 --> 00:04:25.000]  正如剛纔說,我知道你是誰
[00:04:25.000 --> 00:04:27.000]  我們都知道你是誰,不用找票了
[00:04:27.000 --> 00:04:29.000]  我肯定你有買票
[00:04:29.000 --> 00:04:31.000]  據報道文章是這樣寫的
[00:04:31.000 --> 00:04:34.000]  愛因斯坦說,年輕人,我多謝你
[00:04:34.000 --> 00:04:36.000]  我都知道我是誰
[00:04:36.000 --> 00:04:43.000]  不過問題是,我不知道我在搭車去哪裏
[00:04:43.000 --> 00:04:47.000]  她不見了票,她都不知道在哪裏下車
[00:04:47.000 --> 00:04:48.000]  究竟去哪裏
[00:04:48.000 --> 00:04:50.000]  有時我們的人生都會這樣
[00:04:50.000 --> 00:04:53.000]  某個時刻,大家問一問
[00:04:53.000 --> 00:04:55.000]  where are we heading
[00:04:55.000 --> 00:04:58.000]  我們去哪裏
