
[00:00:00.000 --> 00:00:03.880]  各位兄弟姐妹,主內平安!
[00:00:03.880 --> 00:00:12.080]  不知不覺,我們原來2017年都過了差不多一半了
[00:00:12.080 --> 00:00:17.480]  回想起當初新年都好像不是很久之前的事
[00:00:17.480 --> 00:00:20.240]  就已經又說暑假即將到來
[00:00:20.240 --> 00:00:25.280]  所以今天這個性惡的主日
[00:00:25.280 --> 00:00:30.560]  都想有個題目定到與我們教會的主題
[00:00:30.560 --> 00:00:33.760]  「活出大誡命,愛神愛人」
[00:00:33.760 --> 00:00:40.240]  在一年中間的裏面都有一個小小的總結
[00:00:40.240 --> 00:00:43.280]  所以你見到我都會用了第一段的經文
[00:00:43.280 --> 00:00:48.880]  都會是在第一季的港島經捲《馬太福音》
[00:00:48.880 --> 00:00:52.760]  亦都是《馬太福音》最後那章28章裏面
[00:00:52.760 --> 00:00:55.160]  有關大使命的經文
[00:00:55.160 --> 00:00:59.480]  再配合今日生命記的經文
[00:00:59.480 --> 00:01:02.960]  開始之前都要問下大家
[00:01:02.960 --> 00:01:05.880]  既然說到一個小小的總結
[00:01:05.880 --> 00:01:08.560]  不知你還記不記得上一季
[00:01:08.560 --> 00:01:12.240]  可能差點原來是上一季講《馬太福音》都忘記了
[00:01:12.240 --> 00:01:16.560]  問下你《馬太福音》在上一季那麼多堂的裏面
[00:01:16.560 --> 00:01:20.960]  你最深刻領受得最有記得的
[00:01:20.960 --> 00:01:24.600]  會是哪一段的經文呢?
[00:01:24.600 --> 00:01:26.760]  不知大家還記不記得呢?
[00:01:26.760 --> 00:01:31.080]  或者近一點,這一季講生命記
[00:01:31.080 --> 00:01:34.240]  都講了,雖然未完,直到為止
[00:01:34.240 --> 00:01:35.680]  我們講完六月的
[00:01:35.680 --> 00:01:39.600]  但到這一刻,你不要說今日這一段
[00:01:39.600 --> 00:01:43.880]  覺得最深刻會是哪一段
[00:01:43.880 --> 00:01:47.800]  你覺得最大的領受提醒等等
[00:01:47.800 --> 00:01:50.960]  總之甚麼原因都令你最深刻,有沒有呢?
[00:01:50.960 --> 00:01:52.600]  有沒有即時,剛才我這個問題
[00:01:52.600 --> 00:01:57.520]  《馬太福音》是否很深刻,你腦裏可以即時想到呢?
[00:01:57.520 --> 00:02:00.920]  可能都是,糟了,我沒有印象
[00:02:00.920 --> 00:02:08.280]  可能都忘記了上個星期的那段
[00:02:08.280 --> 00:02:11.440]  是不出奇的,真的不出奇
[00:02:11.440 --> 00:02:14.040]  這個實在太普遍的情況
[00:02:14.040 --> 00:02:18.400]  但都想說普遍不是代表對的
[00:02:18.400 --> 00:02:21.960]  因為聖經告訴我們,我們真的要竭力追求
[00:02:21.960 --> 00:02:26.400]  我們要將神的話要好好記住,晝夜思想
[00:02:26.400 --> 00:02:29.600]  為甚麼?思想完之後,不是就算了
[00:02:29.600 --> 00:02:34.560]  真的要努力,竭力去遵循主的教訓
[00:02:34.560 --> 00:02:37.920]  神的話語所吩咐的
[00:02:37.920 --> 00:02:40.800]  就像剛才大四明所說
[00:02:40.800 --> 00:02:43.640]  重點是傳福音,但重點是還有一樣
[00:02:43.640 --> 00:02:48.320]  是吩咐所有的門徒,教訓他們去遵守
[00:02:48.320 --> 00:02:51.960]  主的吩咐要我們繼續教下去,承傳下去
[00:02:51.960 --> 00:02:56.600]  要人去遵守,所以真的很重要
[00:02:56.600 --> 00:03:02.360]  所以,我們為了祈禱,為了我們可以有智慧
[00:03:02.360 --> 00:03:06.440]  更加有記性,將神的話語緊緊記住
[00:03:06.440 --> 00:03:09.720]  我們先有一個祈禱
[00:03:09.720 --> 00:03:12.960]  親愛的天上的父親,感謝祢
[00:03:12.960 --> 00:03:16.160]  祢賜下祢寶貴的話語給我們
[00:03:16.160 --> 00:03:22.920]  以致我們在生命裡,知道我們的方向,我們的路是怎樣走
[00:03:22.920 --> 00:03:25.880]  但是人都是比較軟弱
[00:03:25.880 --> 00:03:29.840]  記性又比較差,有時也缺乏屬靈的智慧
[00:03:29.840 --> 00:03:34.440]  所以,受求神的聖靈在當中引領我們
[00:03:34.440 --> 00:03:38.360]  叫我們真的要好好記住祢的教導
[00:03:38.360 --> 00:03:41.240]  更加要去晝夜思想
[00:03:41.240 --> 00:03:48.520]  以致在我們生活上,在我們每一刻中都將祢的話實踐出來
[00:03:48.520 --> 00:03:52.520]  多謝祢,聽我們的祈禱,奉靠著耶穌德性的名而祈求
[00:03:52.520 --> 00:03:53.520]  阿們
[00:03:53.520 --> 00:03:59.800]  剛才已經有兩段經文
[00:03:59.800 --> 00:04:06.560]  一段很熟悉的大使命,另外有生命記的一段有關節期
[00:04:06.560 --> 00:04:09.960]  我相信很多信徒對於耶穌基督
[00:04:09.960 --> 00:04:14.880]  親自所頒下的大使命一點也不陌生
[00:04:14.880 --> 00:04:17.720]  更加不會反對,或者不敢反對
[00:04:17.720 --> 00:04:21.440]  這就是我們信徒一生終極的使命
[00:04:21.440 --> 00:04:25.280]  有些可能已經背了
[00:04:25.280 --> 00:04:28.360]  如果你背了,可以一起背出來
[00:04:28.360 --> 00:04:35.280]  就是天上、地下所有的權柄都賜給我了
[00:04:35.280 --> 00:04:39.080]  所以你們要去使萬民作我的門徒
[00:04:39.080 --> 00:04:42.720]  奉父子聖靈的名給他們施浸
[00:04:42.720 --> 00:04:46.920]  凡我所吩咐你們的,都教訓他們遵守
[00:04:46.920 --> 00:04:52.800]  我就尚與你們同在,直到世界的末了
[00:04:52.800 --> 00:04:58.280]  人的遺言或者臨別的祝福必定是非常重要
[00:04:58.280 --> 00:05:01.920]  所以耶穌離開門徒的時候,留下這個指示
[00:05:01.920 --> 00:05:05.160]  要告訴我們,在祂的權命之下
[00:05:05.160 --> 00:05:09.640]  我們所有人要將更多更多的人
[00:05:09.640 --> 00:05:13.040]  帶領到神的面前,成為門徒
[00:05:13.040 --> 00:05:17.600]  要替他們施浸,要教導他們服從主
[00:05:17.600 --> 00:05:23.520]  這樣的話,他們的英雄永遠跟隨著他們
[00:05:23.520 --> 00:05:26.240]  永遠同在
[00:05:26.240 --> 00:05:29.560]  如果我們看回這段之前的耶穌
[00:05:29.560 --> 00:05:33.720]  在世上都有差派門徒出去傳福音
[00:05:33.720 --> 00:05:39.040]  但你看到,當時主要都是集中在猶太人的福音
[00:05:39.040 --> 00:05:42.800]  但是當耶穌頒下這個使命的時候
[00:05:42.800 --> 00:05:45.920]  祂的使命已經是普世性
[00:05:45.920 --> 00:05:49.320]  耶穌不是單為以色列人、猶太人
[00:05:49.320 --> 00:05:52.040]  而是為全人類而死
[00:05:52.040 --> 00:05:54.520]  祂是地上的主
[00:05:54.520 --> 00:05:56.280]  所以我們要出去
[00:05:56.280 --> 00:05:58.040]  我們要去到輪舍
[00:05:58.040 --> 00:06:00.640]  去自己所住的區域裡
[00:06:00.640 --> 00:06:02.640]  在我們的工作裡
[00:06:02.640 --> 00:06:04.640]  甚至乎有感動的
[00:06:04.640 --> 00:06:07.720]  可能要去到別的國家裡
[00:06:07.720 --> 00:06:11.000]  去使萬民作主的門徒
[00:06:11.000 --> 00:06:13.880]  這個就是耶穌希望我們去做
[00:06:13.880 --> 00:06:16.200]  所有稱祂為主的人
[00:06:16.200 --> 00:06:18.280]  都有這個使命
[00:06:18.280 --> 00:06:20.960]  都要領受主的命令
[00:06:20.960 --> 00:06:23.520]  無必去執行
[00:06:23.520 --> 00:06:27.720]  或者我們真的不是全都是報道家
[00:06:27.720 --> 00:06:32.640]  但肯定的是我們全都領受了神的恩賜
[00:06:32.640 --> 00:06:34.720]  我們運用神的恩賜
[00:06:34.720 --> 00:06:37.440]  去實踐這個大使命
[00:06:37.440 --> 00:06:39.520]  我們服從主耶穌
[00:06:39.520 --> 00:06:42.600]  心裡感到安慰
[00:06:42.600 --> 00:06:44.440]  因為主耶穌說
[00:06:44.440 --> 00:06:46.040]  我們遵守的命令的時候
[00:06:46.040 --> 00:06:49.440]  祂會上與我們同在
[00:06:49.440 --> 00:06:51.000]  當你看大使命的時候
[00:06:51.000 --> 00:06:53.120]  你會發現有幾部曲
[00:06:53.120 --> 00:06:57.080]  第一就是使人作主的門徒
[00:06:57.080 --> 00:06:59.600]  第二奉父子聖靈的名
[00:06:59.600 --> 00:07:01.240]  讓他們施浸
[00:07:01.240 --> 00:07:03.640]  第三凡主吩咐我們的
[00:07:03.640 --> 00:07:06.520]  都要教訓他們遵守
[00:07:06.520 --> 00:07:08.360]  最後主的應許
[00:07:08.360 --> 00:07:10.360]  就是說每一個跟隨的人
[00:07:10.360 --> 00:07:14.600]  永遠同在直到世界的末了
[00:07:14.600 --> 00:07:16.720]  當我們在教會裡
[00:07:16.720 --> 00:07:18.280]  自然不同的人
[00:07:18.280 --> 00:07:20.440]  都在不同的步伐裡
[00:07:20.440 --> 00:07:23.680]  當中相信有可能沒有的
[00:07:23.680 --> 00:07:26.520]  可能未正式相信的
[00:07:26.520 --> 00:07:30.960]  但又被我們的主所吸引來到當中
[00:07:30.960 --> 00:07:32.360]  所以我們見到這些人
[00:07:32.360 --> 00:07:33.800]  他是誤導的
[00:07:33.800 --> 00:07:34.520]  他未信的
[00:07:34.520 --> 00:07:36.200]  有機會就捉住他
[00:07:36.200 --> 00:07:38.280]  要為他去傳福音
[00:07:38.280 --> 00:07:41.160]  要讓他成為主的門徒
[00:07:41.160 --> 00:07:42.440]  可能在當中
[00:07:42.440 --> 00:07:44.040]  有些已經信了
[00:07:44.040 --> 00:07:46.600]  可能他都預備自己
[00:07:46.600 --> 00:07:48.000]  想正式加入教會
[00:07:48.000 --> 00:07:49.280]  預備浸禮
[00:07:49.280 --> 00:07:50.480]  所以有一天
[00:07:50.480 --> 00:07:55.080]  我們都要為他奉主的命施浸
