
[00:00:00.000 --> 00:00:02.720]  好,讓我們一起聽神的禱餘心同聲禱告
[00:00:02.720 --> 00:00:04.960]  讓我們一起聽神道之前先禱告
[00:00:04.960 --> 00:00:08.200]  聖愛天父感謝禰給我們
[00:00:08.200 --> 00:00:10.760]  能夠今天再次來到禰的說話的跟前
[00:00:10.760 --> 00:00:13.120]  我們打開新一卷的修卷
[00:00:13.120 --> 00:00:14.880]  是在舊約裏面的
[00:00:14.880 --> 00:00:17.000]  和西亞書
[00:00:17.000 --> 00:00:18.760]  如果求禰
[00:00:18.760 --> 00:00:19.960]  幫助我們
[00:00:19.960 --> 00:00:23.200]  讓我們在這一本《聖經》裏面
[00:00:23.200 --> 00:00:26.200]  特別是這一卷的《聖經》記載
[00:00:26.200 --> 00:00:27.880]  幫助我們
[00:00:28.120 --> 00:00:30.920]  能夠跟前者一事怎樣的依偎着
[00:00:30.920 --> 00:00:33.120]  也讓我們
[00:00:33.120 --> 00:00:35.280]  跟尊者一事怎樣的依偎着
[00:00:35.280 --> 00:00:37.080]  禰的幫助
[00:00:37.080 --> 00:00:38.360]  聖愛主多謝禰給我們
[00:00:38.360 --> 00:00:41.400]  今天一起去打開《聖經》
[00:00:41.400 --> 00:00:43.680]  並且打開一本新的修卷
[00:00:43.680 --> 00:00:44.440]  和西亞書
[00:00:44.440 --> 00:00:46.920]  讓我們去更細心掌握
[00:00:46.920 --> 00:00:48.360]  禰是怎樣的一位神
[00:00:48.360 --> 00:00:52.880]  亦都是怎樣教導我們跟尊禰爲主
[00:00:52.880 --> 00:00:54.280]  求禰的幫助
[00:00:54.280 --> 00:00:56.080]  求聖靈與我們同在
[00:00:57.120 --> 00:00:59.120]  我們同深受禱奉耶穌基督名禱
[00:00:59.120 --> 00:01:00.160]  阿們
[00:01:28.120 --> 00:01:29.560]  如果我告訴大家
[00:01:29.560 --> 00:01:33.040]  如果在信主之後
[00:01:33.040 --> 00:01:36.480]  在上帝的旨意之下
[00:01:36.480 --> 00:01:40.960]  要我們去面對一些無理的對待
[00:01:40.960 --> 00:01:46.200]  甚至是要委屈我們的一些經驗
[00:01:46.200 --> 00:01:50.480]  上帝要加在你和我的身上
[00:01:50.480 --> 00:01:56.760]  你會不會繼續遵從相信主耶穌基督呢
[00:01:57.160 --> 00:01:59.400]  我講這番話不是危言聳聽
[00:01:59.400 --> 00:02:04.120]  而是聖經實實在在的記錄
