
[00:00:00.000 --> 00:00:03.580]  明白主的心是一個關係
[00:00:03.580 --> 00:00:07.640]  我們基督的信仰不是一種宗教
[00:00:07.640 --> 00:00:11.340]  我不喜歡叫基督教是宗教
[00:00:11.340 --> 00:00:13.340]  因為宗教是一種系統
[00:00:13.340 --> 00:00:14.680]  是一種規矩
[00:00:14.680 --> 00:00:16.680]  是一種做得不做得
[00:00:16.680 --> 00:00:18.680]  是一種冷冰冰的制度
[00:00:18.680 --> 00:00:20.680]  信仰很不同
[00:00:20.680 --> 00:00:22.680]  信仰是一種關係
[00:00:22.680 --> 00:00:27.420]  我們明白主的心不是文字去明白
[00:00:27.420 --> 00:00:29.420]  不是打開本聖經看那些字
[00:00:29.420 --> 00:00:31.420]  而是我們具體的
[00:00:31.420 --> 00:00:33.420]  每一天和神的關係
[00:00:33.420 --> 00:00:35.420]  我們每一天與神同行
[00:00:35.420 --> 00:00:37.420]  我們聽祂的聲音向祂禱告
[00:00:37.420 --> 00:00:39.420]  一路敬拜祂
[00:00:39.420 --> 00:00:42.420]  我們慢慢與神的關係建立
[00:00:42.420 --> 00:00:44.420]  我們知道神是真實的
[00:00:44.420 --> 00:00:45.420]  介入我們的生命
[00:00:45.420 --> 00:00:47.420]  真實的與我們同行
[00:00:47.420 --> 00:00:51.420]  這個關係慢慢變為情感
[00:00:51.420 --> 00:00:54.420]  我們與神的關係永遠不離不棄
[00:00:54.420 --> 00:00:57.420]  所以頂主我們的信仰是一種關係
[00:00:57.420 --> 00:00:59.420]  是與神的關係
[00:00:59.420 --> 00:01:02.420]  明白主的心是這種關係裏
[00:01:02.420 --> 00:01:04.420]  更加明白神對我們的心腸
[00:01:04.420 --> 00:01:06.420]  對我們美好的心意
[00:01:06.420 --> 00:01:09.420]  我們這個神是怎樣的神
[00:01:09.420 --> 00:01:10.420]  所以頂姐妹
[00:01:10.420 --> 00:01:13.420]  敬拜是一個塑造的過程
[00:01:13.420 --> 00:01:15.420]  當我們與神建立關係
[00:01:15.420 --> 00:01:17.420]  敬拜是不可少
[00:01:17.420 --> 00:01:19.420]  因為敬拜是一個塑造的過程
[00:01:19.420 --> 00:01:20.420]  聖經裏面說
[00:01:20.420 --> 00:01:22.420]  你敬拜甚麼就像甚麼
[00:01:22.420 --> 00:01:23.420]  所以如果你敬拜多啦A夢
[00:01:23.420 --> 00:01:25.420]  你就完全多啦A夢
[00:01:25.420 --> 00:01:27.420]  如果你敬拜Hello Kitty
[00:01:27.420 --> 00:01:28.420]  你全身都是Hello Kitty
[00:01:28.420 --> 00:01:29.420]  你敬拜那個明星
[00:01:29.420 --> 00:01:32.420]  你慢慢都扮得很像他
[00:01:32.420 --> 00:01:34.420]  但我們敬拜我們的上帝
[00:01:34.420 --> 00:01:35.420]  敬拜我們的耶穌
[00:01:35.420 --> 00:01:38.420]  就會越來越像耶穌
[00:01:38.420 --> 00:01:40.420]  所以頂姐妹當我們去敬拜的時候
[00:01:40.420 --> 00:01:41.420]  我們都為自己祈禱
[00:01:41.420 --> 00:01:43.420]  主啊當我敬拜你
[00:01:43.420 --> 00:01:44.420]  一路與主同行
[00:01:44.420 --> 00:01:46.420]  我就會越來越像耶穌
[00:01:46.420 --> 00:01:49.420]  這是神對你和我的應許
[00:01:49.420 --> 00:01:50.420]  我一起敬拜主
[00:01:50.420 --> 00:01:52.420]  在三個時代
[00:01:52.420 --> 00:01:54.420]  一代梟雄曹操
[00:01:54.420 --> 00:01:57.420]  他的軍隊向前線去進發
[00:01:57.420 --> 00:01:59.420]  但這段路非常難行
[00:01:59.420 --> 00:02:01.420]  因為天氣炎熱
[00:02:01.420 --> 00:02:05.420]  這班軍人已經曝曬了幾日
[00:02:05.420 --> 00:02:07.420]  所謂蒙古佬打仔
[00:02:07.420 --> 00:02:09.420]  大汗突勢汗
[00:02:09.420 --> 00:02:11.420]  大家非常疲倦
[00:02:11.420 --> 00:02:12.420]  就這個時間
[00:02:12.420 --> 00:02:16.420]  所有帶來的食水已經完全喝光了
[00:02:16.420 --> 00:02:18.420]  他們環顧四周
[00:02:18.420 --> 00:02:22.420]  一片都是乾旱龜裂的土地
[00:02:22.420 --> 00:02:23.420]  找不到水源
[00:02:23.420 --> 00:02:25.420]  每走一個地方
[00:02:25.420 --> 00:02:27.420]  因為士兵口乾到不得了
[00:02:27.420 --> 00:02:29.420]  每走幾里路
[00:02:29.420 --> 00:02:31.420]  就有人中暑
[00:02:31.420 --> 00:02:34.420]  曹操見到這樣的情況之下
[00:02:34.420 --> 00:02:37.420]  心裡面非常焦急
[00:02:37.420 --> 00:02:38.420]  他心想
[00:02:38.420 --> 00:02:43.420]  如果不盡快竭力去找到水源
[00:02:43.420 --> 00:02:45.420]  或者還沒開始打仗
[00:02:45.420 --> 00:02:48.420]  整班軍隊就完蛋了
[00:02:48.420 --> 00:02:49.420]  在這個時間
[00:02:49.420 --> 00:02:52.420]  他心裡面產生一個念頭
[00:02:52.420 --> 00:02:54.420]  於是就走上小山崗
[00:02:54.420 --> 00:02:57.420]  拿著領旗向前面指
[00:02:57.420 --> 00:02:59.420]  並且大聲對軍隊說
[00:02:59.420 --> 00:03:00.420]  各位
[00:03:00.420 --> 00:03:02.420]  我在前面沒多遠
[00:03:02.420 --> 00:03:04.420]  看到一大片森林
[00:03:04.420 --> 00:03:08.420]  生滿了又甜又酸的莓
[00:03:08.420 --> 00:03:11.420]  所以大家鼓起勇氣向前行
[00:03:11.420 --> 00:03:12.420]  我們去到這個森林
[00:03:12.420 --> 00:03:15.420]  就可以吃莓解渴了
[00:03:15.420 --> 00:03:16.420]  士兵一聽見
[00:03:16.420 --> 00:03:19.420]  前面的森林有酸莓
[00:03:19.420 --> 00:03:23.420]  他腦裡面浮現酸莓的酸味
[00:03:23.420 --> 00:03:26.420]  於是大家口水分泌出來
[00:03:26.420 --> 00:03:28.420]  所有軍隊精神一振
[00:03:28.420 --> 00:03:30.420]  於是大家鼓起勇氣
[00:03:30.420 --> 00:03:31.420]  繼續向前行
[00:03:31.420 --> 00:03:34.420]  沒多久他們就找到水源
[00:03:34.420 --> 00:03:35.420]  曹操的聰明
[00:03:35.420 --> 00:03:39.420]  是利用人對酸莓的反射條件
[00:03:39.420 --> 00:03:40.420]  解決了問題
[00:03:40.420 --> 00:03:42.420]  拯救了整隊軍隊
[00:03:42.420 --> 00:03:44.420]  所以從那個時間開始
[00:03:44.420 --> 00:03:47.420]  有句成語叫做望梅止渴
[00:03:47.420 --> 00:03:49.420]  但是曹操的聰明
[00:03:49.420 --> 00:03:53.420]  比不上今天我們說到的主角大衛
[00:03:53.420 --> 00:03:55.420]  大衛的智慧
[00:03:55.420 --> 00:03:57.420]  在聖經裡面的智慧
[00:03:57.420 --> 00:03:59.420]  不是我們世間所說的聰明
[00:03:59.420 --> 00:04:00.420]  世間所說的聰明
[00:04:00.420 --> 00:04:01.420]  就是智商高
[00:04:01.420 --> 00:04:02.420]  轉數快
[00:04:02.420 --> 00:04:03.420]  反應好
[00:04:03.420 --> 00:04:05.420]  想了很多東西出來
[00:04:05.420 --> 00:04:07.420]  但是大衛的智慧
[00:04:07.420 --> 00:04:10.420]  不只是這些智商高轉數快
[00:04:10.420 --> 00:04:12.420]  而是他深深明白
[00:04:12.420 --> 00:04:14.420]  神對我們的帶領
