
[00:00:00.000 --> 00:00:05.720]  我們粵語報新增才講完撒姆爾記
[00:00:05.720 --> 00:00:10.320]  撒姆爾上第一章至第十五章
[00:00:10.320 --> 00:00:12.480]  去到第十五章的時候
[00:00:12.480 --> 00:00:17.340]  神居然說 我後悔立掃羅為王
[00:00:17.340 --> 00:00:21.460]  你說 慢著 神也會後悔嗎?
[00:00:21.460 --> 00:00:24.480]  喂 神不是能知過去未來嗎?
[00:00:24.480 --> 00:00:26.680]  為何神會後悔?
[00:00:26.680 --> 00:00:30.400]  也是很相似的事
[00:00:30.400 --> 00:00:32.680]  就是有很多人都會說
[00:00:32.680 --> 00:00:35.200]  喂 神也不能夠祝福
[00:00:35.200 --> 00:00:37.120]  為甚麼?
[00:00:37.120 --> 00:00:39.120]  甲骨文的「祝」字
[00:00:39.120 --> 00:00:42.100]  是一個人跪在地上求神
[00:00:42.100 --> 00:00:43.780]  你說神祝福
[00:00:43.780 --> 00:00:46.580]  你不是說神跪在地上求神?
[00:00:46.580 --> 00:00:49.100]  他們說絕對不合理的
[00:00:49.100 --> 00:00:54.240]  咦?詛咒和詛咒都是一樣的
[00:00:54.240 --> 00:00:56.180]  詛咒人是怎樣詛咒的?
[00:00:56.180 --> 00:00:57.440]  是求神靈
[00:00:57.440 --> 00:00:59.740]  是求神來詛咒人的
[00:00:59.740 --> 00:01:01.960]  如果神詛咒的時候
[00:01:01.960 --> 00:01:04.600]  你是否說神求邪靈?
[00:01:04.600 --> 00:01:06.880]  你說這個不合理
[00:01:06.880 --> 00:01:11.560]  正如說神後悔 神詛咒 神祝福
[00:01:11.560 --> 00:01:14.400]  都是同一個例子
[00:01:14.400 --> 00:01:16.160]  我們今天就要來看看
[00:01:16.160 --> 00:01:20.100]  究竟用這些字眼來形容神
[00:01:20.100 --> 00:01:22.480]  是否大大對神的不敬
[00:01:22.480 --> 00:01:25.760]  是否將神貶低降格
[00:01:25.760 --> 00:01:28.120]  這個就是我們今天要說的
[00:01:28.120 --> 00:01:30.840]  首先我說神後悔
[00:01:30.840 --> 00:01:33.440]  在聖經裡面的確有兩次
[00:01:33.440 --> 00:01:37.760]  是神對已經發生的事後悔
[00:01:37.760 --> 00:01:40.520]  第一次是在創世紀的第六章
[00:01:40.520 --> 00:01:42.020]  六至七節
[00:01:42.020 --> 00:01:44.320]  是說到挪亞時候
[00:01:44.320 --> 00:01:47.080]  神後悔造人
[00:01:47.080 --> 00:01:49.400]  神造人本來是好的
[00:01:49.400 --> 00:01:52.680]  但是挪亞的時候人犯了很大的罪
[00:01:52.680 --> 00:01:54.360]  所以神要將他們毀滅
[00:01:54.360 --> 00:01:56.760]  神說我後悔造人
[00:01:56.760 --> 00:01:57.920]  另外一個例子
