
[00:00:00.000 --> 00:00:07.000]  各位姐妹平安,我們今天會開始一個全新的系列,就是我們的Bible Month
[00:00:07.000 --> 00:00:14.000]  希望藉著這個Bible Month,我們請了曾思勇博士幫我們kick-off這個Bible Month的開始
[00:00:14.000 --> 00:00:17.000]  但經過這個系列,我希望不只是一個conference
[00:00:17.000 --> 00:00:26.000]  是透過我們這次講道的系列,透過我們的小組,透過我們星期日的聖經精言班
[00:00:26.000 --> 00:00:33.000]  希望能夠幫助大家在這個月裏,我們真的重新對神的話語有那種passion
[00:00:33.000 --> 00:00:37.000]  我們藉著讀神的話語也成為一個好的門徒
[00:00:37.000 --> 00:00:43.000]  在這個系列當中,我們會特別來看一本書,就是提摩塔後書
[00:00:43.000 --> 00:00:47.000]  今天我們也開始提摩塔後書的系列
[00:00:47.000 --> 00:00:51.000]  今天想跟大家首先介紹提摩塔後書的一些背景
[00:00:51.000 --> 00:00:58.000]  我相信曾博士也介紹了很多,我只是稍為很快地做一些複雜
[00:00:58.000 --> 00:01:03.000]  提摩塔後書其實是保羅最後一卷的書信
[00:01:03.000 --> 00:01:13.000]  大概在主後的67年,當時羅馬帝國時期的基督教就迎來他們第一次的逼迫
[00:01:13.000 --> 00:01:19.000]  就是在尼祿王,據說當年有一場大火
[00:01:19.000 --> 00:01:24.000]  據說是他自己下令去燒羅馬城
[00:01:24.000 --> 00:01:26.000]  不過燒完之後發現有很多人罵
[00:01:26.000 --> 00:01:31.000]  於是他就將燒羅馬城的罪名推在基督徒身上
[00:01:31.000 --> 00:01:34.000]  接下來就帶來第一波的逼迫
[00:01:34.000 --> 00:01:39.000]  在這個逼迫當中,在教會有兩大支柱
[00:01:39.000 --> 00:01:43.000]  第一個就是彼得,第二個就是保羅
[00:01:43.000 --> 00:01:48.000]  你知道彼得就是十二門徒的大弟子
[00:01:48.000 --> 00:01:52.000]  他負責猶太人的工作,猶太人的福音工作
[00:01:52.000 --> 00:02:00.000]  保羅就特別被神所呼召,是負責非猶太人,我們稱之為愛邦人的福音工作
[00:02:00.000 --> 00:02:05.000]  這兩大支柱也是在尼祿的逼迫之下
[00:02:05.000 --> 00:02:10.000]  在同一個時期相繼的殉道
[00:02:10.000 --> 00:02:16.000]  相繼殉道之後,你就知道教會突然間沒有了兩大支柱
[00:02:16.000 --> 00:02:21.000]  又迎來了教會第一次的羅馬帝國的逼迫
[00:02:21.000 --> 00:02:25.000]  同時也有很多異端攻擊教會
[00:02:25.000 --> 00:02:31.000]  教會本身也有很多紛爭各樣的事情
[00:02:31.000 --> 00:02:37.000]  所以有很多聖經學家說當時保羅寫這本書的時候
[00:02:37.000 --> 00:02:41.000]  當時的基督教和今天我們想到的很不同
[00:02:41.000 --> 00:02:45.000]  你今天想到基督教,你會覺得十幾億的信徒
[00:02:45.000 --> 00:02:51.000]  影響對整個西方世界,整個世界的歷史文化,影響這麼大
[00:02:51.000 --> 00:02:55.000]  我們現在是三大宗教之一
[00:02:55.000 --> 00:03:01.000]  但當時保羅寫這本書的時候,那幅圖畫是很灰暗的
[00:03:01.000 --> 00:03:06.000]  那幅圖畫是很多聖經學家說當時基督教面臨第一個最大的危機
[00:03:06.000 --> 00:03:10.000]  有可能藉著保羅或者彼得的殉道
[00:03:10.000 --> 00:03:15.000]  可能這個基督教就從此被歪包,完全被歪包
[00:03:15.000 --> 00:03:19.000]  今天我們也不會看到基督教這樣傳承下來
[00:03:19.000 --> 00:03:22.000]  在這個這麼重要的時刻
[00:03:22.000 --> 00:03:26.000]  也是保羅在羅馬監獄準備等候判刑
[00:03:26.000 --> 00:03:28.000]  接著就會執行刑期的時候
[00:03:28.000 --> 00:03:31.000]  就在這個時候,他寫了他人生
[00:03:31.000 --> 00:03:33.000]  結束了他人生所有的侍奉
[00:03:33.000 --> 00:03:36.000]  在這個時刻他已經侍奉了三十年
[00:03:36.000 --> 00:03:38.000]  建了很多教會,傳了很多福音
[00:03:38.000 --> 00:03:42.000]  在這一刻,他知道他人生來到最後的時刻
[00:03:42.000 --> 00:03:46.000]  他就寫了羅馬保羅書信的最後一卷
[00:03:46.000 --> 00:03:48.000]  也是提摩大學書
[00:03:48.000 --> 00:03:51.000]  所以所有聖經裏面,保羅所寫的書卷裏面
[00:03:51.000 --> 00:03:53.000]  這卷是最後一卷
[00:03:53.000 --> 00:03:56.000]  就是他臨死前知道他要開始交棒
[00:03:56.000 --> 00:03:58.000]  神要接走他
[00:03:58.000 --> 00:04:02.000]  他要將這個福音的使命,廣傳福音的使命
[00:04:02.000 --> 00:04:05.000]  繼續去做侍奉的使命
[00:04:05.000 --> 00:04:07.000]  需要交給下一位年輕人
[00:04:07.000 --> 00:04:10.000]  所以提摩大學就是他要交棒的那一位
[00:04:10.000 --> 00:04:13.000]  所以這是一個福音的傳承
[00:04:13.000 --> 00:04:17.000]  在這個背景之下,他寫了提摩大學後書
[00:04:17.000 --> 00:04:19.000]  他交給一個年輕人
[00:04:19.000 --> 00:04:22.000]  當時提摩大學接受這本書的時候
[00:04:22.000 --> 00:04:24.000]  當然我們不知道他幾歲
[00:04:24.000 --> 00:04:26.000]  大概猜測而已
[00:04:26.000 --> 00:04:29.000]  如果他開始跟著保羅
[00:04:29.000 --> 00:04:32.000]  開始認識保羅,保羅帶他去信主
[00:04:32.000 --> 00:04:35.000]  然後帶著他一起去宣教,去建立教會
[00:04:35.000 --> 00:04:37.000]  如果當時他是二十歲的話
[00:04:37.000 --> 00:04:40.000]  今天他接受保羅這封書信的時候
[00:04:40.000 --> 00:04:41.000]  大概是三十五歲
[00:04:41.000 --> 00:04:43.000]  因為他跟了保羅大概十五年
[00:04:43.000 --> 00:04:45.000]  如果是三十五歲的話
[00:04:45.000 --> 00:04:47.000]  根據當時希臘文化
[00:04:47.000 --> 00:04:50.000]  當時希臘文化分兩個年齡層
[00:04:50.000 --> 00:04:53.000]  一是做哥哥,一是做大叔
[00:04:53.000 --> 00:04:55.000]  一是做大哥,一是做大叔
[00:04:55.000 --> 00:04:57.000]  沒有其他分法的
[00:04:57.000 --> 00:05:00.000]  四十歲以前,你就做哥哥
[00:05:00.000 --> 00:05:03.000]  稱為youth,juvenile
[00:05:03.000 --> 00:05:05.000]  你是一個年輕人
[00:05:05.000 --> 00:05:07.000]  四十歲以上就是大叔
[00:05:07.000 --> 00:05:09.000]  大概是分這兩種
