
[00:00:00.000 --> 00:00:02.000]  各位大兄姊妹,早安!
[00:00:02.000 --> 00:00:04.400]  今天其實面對香港的情況
[00:00:04.400 --> 00:00:07.880]  其實我相信很多人都是一種不安
[00:00:07.880 --> 00:00:12.600]  或者擔心、憂慮或者不開心的情況
[00:00:12.600 --> 00:00:13.800]  所以作為一個基督徒
[00:00:13.800 --> 00:00:15.800]  很多人都會問一個問題
[00:00:15.800 --> 00:00:19.200]  究竟今天我們基督徒可以做些什麼?
[00:00:19.200 --> 00:00:21.200]  我經常被人問這個問題
[00:00:21.200 --> 00:00:23.800]  陳牧師,我們可以做些什麼呢?
[00:00:23.800 --> 00:00:25.800]  我通常都會回答一句
[00:00:25.800 --> 00:00:27.800]  就是我們堅持我們的信仰
[00:00:27.800 --> 00:00:29.200]  做回你以前在做的事情
[00:00:29.200 --> 00:00:31.000]  做一個基督徒的本份
[00:00:31.000 --> 00:00:34.600]  將福音一代一代地承傳下去
[00:00:34.600 --> 00:00:35.800]  作為一個信徒
[00:00:35.800 --> 00:00:38.400]  我們都是被上帝所揀選的
[00:00:38.400 --> 00:00:41.200]  在神學上叫做神聖受命的意識
[00:00:41.200 --> 00:00:44.400]  就要我們作為一個尊貴的被揀選的人
[00:00:44.400 --> 00:00:47.200]  我們要將福音傳遞開去
[00:00:47.200 --> 00:00:49.800]  在理論上我們真的會明白這件事情
[00:00:49.800 --> 00:00:53.000]  但實際上又好像很困難
[00:00:53.000 --> 00:00:55.800]  因為我們真的是一個有血有肉的人
[00:00:55.800 --> 00:00:59.000]  的確面對這個社會的問題
[00:00:59.000 --> 00:01:01.000]  又或者周圍所發生的事情
[00:01:01.000 --> 00:01:05.400]  總是令到我們大傷元氣
[00:01:05.400 --> 00:01:08.200]  我記得在兩年前我去到一間教會
[00:01:08.200 --> 00:01:09.800]  不知道大家有沒有去過一間教會
[00:01:09.800 --> 00:01:12.200]  新加坡神之心的教會
[00:01:12.200 --> 00:01:13.800]  十九年的時間
[00:01:13.800 --> 00:01:15.000]  由零開始
[00:01:15.000 --> 00:01:18.000]  現在已經四千人了
[00:01:18.000 --> 00:01:21.000]  其中一幅圖畫我印
[00:01:21.000 --> 00:01:23.000]  就是打了出來的一張相片
[00:01:23.000 --> 00:01:25.800]  你會看到有一個音響控制員
[00:01:25.800 --> 00:01:28.000]  看到嗎?大家都可能看到了
[00:01:28.000 --> 00:01:30.200]  站在一個梯級上面
[00:01:30.200 --> 00:01:33.800]  就控制那個過百萬的音響
[00:01:33.800 --> 00:01:36.000]  他只有九歲而已
[00:01:36.000 --> 00:01:37.000]  我當天去到的時候
[00:01:37.000 --> 00:01:38.400]  看到這個情況
[00:01:38.400 --> 00:01:40.400]  我印下來
[00:01:40.400 --> 00:01:42.400]  很多小朋友
[00:01:42.400 --> 00:01:45.600]  或者年輕人在那間教會侍奉
[00:01:45.600 --> 00:01:48.000]  他們說信仰就是一種犧牲
[00:01:48.000 --> 00:01:50.600]  不是你多餘的時間就能夠回教會的
[00:01:50.600 --> 00:01:52.400]  又說你沒有時間你都要回教會
[00:01:52.400 --> 00:01:54.200]  沒有時間都要侍奉上帝
[00:01:54.200 --> 00:01:56.200]  甚至在多困難的過程裏面
[00:01:56.200 --> 00:01:59.000]  你都要侍奉上帝或者信靠上帝
[00:01:59.000 --> 00:02:01.400]  這個是在神之心裏面我看見的
