
[00:00:00.000 --> 00:00:02.600]  我想說,信仰裏面
[00:00:02.600 --> 00:00:05.920]  教會不是一個政治組織
[00:00:05.920 --> 00:00:08.360]  我們不會說什麼立場對,什麼立場不對
[00:00:08.360 --> 00:00:09.720]  什麼都很難絕對的
[00:00:09.720 --> 00:00:12.760]  每個人都有他那個取向
[00:00:12.760 --> 00:00:17.400]  不過在這種心境裏面
[00:00:17.400 --> 00:00:20.000]  其實聖經有沒有什麼出路
[00:00:20.000 --> 00:00:23.800]  有沒有什麼資源
[00:00:23.800 --> 00:00:26.160]  給我們面對這些事情的時候
[00:00:26.160 --> 00:00:28.480]  我們可以有一個出路
[00:00:28.480 --> 00:00:30.600]  對起碼我們的情感的世界
[00:00:30.600 --> 00:00:31.840]  起碼我們的信仰裏面
[00:00:31.840 --> 00:00:35.200]  我們對神、對公義有什麼出路呢
[00:00:35.200 --> 00:00:38.480]  今天預備的經文
[00:00:38.480 --> 00:00:41.000]  其實是一年前的時候已經想了
[00:00:41.000 --> 00:00:42.600]  覺得又很適合
[00:00:42.600 --> 00:00:43.960]  好像這個時間
[00:00:43.960 --> 00:00:48.280]  我們去看這段經文是相當有意思的
[00:00:48.280 --> 00:00:55.200]  就是詩篇137篇
[00:00:55.200 --> 00:00:58.440]  這是一首相當不容易去處理的詩篇
[00:00:58.440 --> 00:01:03.440]  因為這是一首很出名很典型的奏助詩
[00:01:03.440 --> 00:01:06.280]  因為它是用一個奏助的語味
[00:01:06.280 --> 00:01:10.040]  去講述詩人的心境
[00:01:10.040 --> 00:01:12.800]  好了,我們一起去看一次好嗎
[00:01:12.800 --> 00:01:15.920]  有九節的聖經
[00:01:15.920 --> 00:01:19.640]  這九節的聖經分了三段
[00:01:19.640 --> 00:01:20.880]  我們就這樣看下去
[00:01:20.880 --> 00:01:22.120]  其實都不難分的
[00:01:22.120 --> 00:01:25.160]  因為它有很清楚的指標在那裏
[00:01:25.160 --> 00:01:27.240]  第一節到第四節
[00:01:27.240 --> 00:01:29.360]  那個主題是我們
[00:01:29.360 --> 00:01:31.360]  即是那個主角是我們
[00:01:31.360 --> 00:01:33.960]  第五和第六節是我單數的
[00:01:33.960 --> 00:01:35.160]  關於我自己
[00:01:35.160 --> 00:01:36.840]  第七至第九節是你
[00:01:36.840 --> 00:01:38.120]  即是和神說的
[00:01:38.120 --> 00:01:39.720]  好了,我們看看它是怎麼說的好嗎
[00:01:39.720 --> 00:01:42.360]  我們一起讀一至四節,請
[00:01:57.240 --> 00:02:07.200]  主要是講述一個回憶
[00:02:07.200 --> 00:02:09.440]  因為大家留意第一節
[00:02:09.440 --> 00:02:12.120]  那是講述曾經
[00:02:12.120 --> 00:02:15.320]  我們曾在巴比倫的河邊坐下
[00:02:15.320 --> 00:02:17.560]  一追上石安就哭了
[00:02:17.560 --> 00:02:19.760]  這是講述詩人
[00:02:19.760 --> 00:02:21.600]  其實他沒有說是誰寫的
[00:02:21.600 --> 00:02:26.080]  但那個時間的背景應該都相當清楚
[00:02:26.080 --> 00:02:29.600]  就是他經歷過一個被擄的生活
[00:02:29.600 --> 00:02:33.080]  巴比倫滅了猶大國
[00:02:33.080 --> 00:02:34.480]  在歷史裏面
[00:02:34.480 --> 00:02:36.680]  以色列國和猶大國分裂了之後
[00:02:36.680 --> 00:02:40.760]  後來北角以色列被亞述滅亡了
[00:02:40.760 --> 00:02:42.480]  後來巴比倫就滅了南國
[00:02:42.480 --> 00:02:44.040]  整個國破家亡
[00:02:44.040 --> 00:02:46.000]  然後在那個年代裏面
[00:02:46.000 --> 00:02:48.440]  有一班精英、有一班人
[00:02:48.440 --> 00:02:52.520]  猶太人就被擄了去巴比倫的地方居住
[00:02:52.520 --> 00:02:57.040]  他就回憶這個居住時發生過的一些情景
[00:02:57.040 --> 00:02:59.600]  他應該是回歸了
[00:02:59.600 --> 00:03:00.760]  應該是他寫的時候
[00:03:00.760 --> 00:03:05.840]  是他回歸到猶大的地方等待重建
[00:03:05.840 --> 00:03:09.480]  類似是以色列、尼西米那些年代
[00:03:09.480 --> 00:03:12.080]  不過他應該是回去之後
[00:03:12.080 --> 00:03:13.440]  面對自己的國家
[00:03:13.440 --> 00:03:16.200]  面對猶太城一片頹垣敗瓦
[00:03:16.200 --> 00:03:18.160]  那時候應該還沒有重建
[00:03:18.160 --> 00:03:21.720]  那個城仍然是廢墟
[00:03:21.720 --> 00:03:23.560]  聖殿仍然是荒蕪
[00:03:23.560 --> 00:03:25.120]  仍然是破爛不堪
[00:03:25.120 --> 00:03:26.000]  即是他回去了
[00:03:26.000 --> 00:03:27.480]  面對這個處境之下
[00:03:27.480 --> 00:03:29.640]  他就寫下這首詩歌
[00:03:29.640 --> 00:03:33.520]  他回想當日他們在巴比倫居住的情景
[00:03:33.520 --> 00:03:34.840]  那些的哀情
[00:03:34.840 --> 00:03:35.960]  所以這個是哀歌來的
[00:03:35.960 --> 00:03:37.000]  這一部份
[00:03:37.000 --> 00:03:37.520]  好了
[00:03:37.520 --> 00:03:39.760]  那接著第五節和第六節
[00:03:39.760 --> 00:03:40.560]  我們再讀一次
[00:03:40.560 --> 00:03:41.600]  我們請大家讀一下
