
[00:00:00.000 --> 00:00:02.920]  現場在線上的弟兄姊妹晚安
[00:00:02.920 --> 00:00:06.160]  多謝主給我有機會和大家一齊
[00:00:06.160 --> 00:00:07.920]  思想聖經的說話
[00:00:07.920 --> 00:00:13.040]  我想《彈爾里書》第二章是我們很熟悉的一個故事
[00:00:13.040 --> 00:00:16.380]  這個故事很長,四十九節
[00:00:16.380 --> 00:00:19.200]  如果讀完我不用說了
[00:00:19.200 --> 00:00:23.040]  所以我們只讀了十三節
[00:00:23.040 --> 00:00:26.880]  要掌握一個這麼長的故事
[00:00:27.140 --> 00:00:30.200]  我想最基本的入門都是
[00:00:30.200 --> 00:00:32.760]  掌握經文的段落
[00:00:32.760 --> 00:00:36.860]  四十九節經文,如果你把它分段
[00:00:36.860 --> 00:00:40.440]  大概第一節我們先把它分出來
[00:00:40.440 --> 00:00:46.340]  因為第一節經文就說利布甲尼撒王發了一個夢
[00:00:46.340 --> 00:00:51.200]  正常的時間發夢應該是在晚上
[00:00:51.200 --> 00:00:56.080]  正常發夢的地點就應該是在床上
[00:00:56.580 --> 00:00:57.860]  和第二節
[00:00:57.860 --> 00:01:02.720]  那些術士來到他面前應該不是同一個時間
[00:01:02.720 --> 00:01:05.540]  也不是同一個地點
[00:01:05.540 --> 00:01:08.880]  所以第一節要先把它分出來
[00:01:08.880 --> 00:01:13.480]  第一節經文就說他發了夢
[00:01:13.480 --> 00:01:15.520]  希伯來文的
[00:01:15.520 --> 00:01:18.600]  直譯就是他夢了夢
[00:01:18.600 --> 00:01:22.440]  他夢了夢,第一個夢就是動詞
[00:01:22.440 --> 00:01:24.740]  第二個夢就是名詞
[00:01:25.000 --> 00:01:27.300]  而那個名詞是複數的
[00:01:27.300 --> 00:01:30.640]  所以你看到剛才讀聖經的時間
[00:01:30.640 --> 00:01:32.160]  那個
[00:01:32.160 --> 00:01:33.960]  power point出現
[00:01:33.960 --> 00:01:38.560]  和修本的翻譯說他做了很多個夢
[00:01:38.560 --> 00:01:43.940]  不過這個翻譯你看完第三節馬上發現不符合
[00:01:43.940 --> 00:01:48.040]  因為第三節皇帝就說我做了一個夢
[00:01:48.040 --> 00:01:53.420]  所以如果第一節他翻譯說我做了很多夢
[00:01:53.680 --> 00:01:57.520]  就一定不是做了很多個不同的夢
[00:01:57.520 --> 00:01:59.820]  其實最簡單的解釋
[00:01:59.820 --> 00:02:03.920]  就是他同一個夢他做了很多次
[00:02:03.920 --> 00:02:07.000]  這個就是害怕的原因
[00:02:07.000 --> 00:02:11.340]  我們都會有發夢給夢驚醒的時間
[00:02:11.340 --> 00:02:14.940]  不過給夢驚醒我們很快都會忘記
[00:02:14.940 --> 00:02:20.560]  但是如果你同一個夢你不斷發來發去都是同一個夢
[00:02:20.560 --> 00:02:22.100]  你真的會害怕
[00:02:22.620 --> 00:02:28.000]  尼布甲尼撒的反應就是他心裡煩亂就不能睡覺
[00:02:28.000 --> 00:02:30.560]  心裡煩亂就是因
[00:02:30.560 --> 00:02:33.120]  不能睡覺就是果
[00:02:33.120 --> 00:02:36.180]  有時候反過來也可以
[00:02:36.180 --> 00:02:39.260]  不能睡覺我們就心裡煩亂
[00:02:39.260 --> 00:02:40.280]  都可以的
[00:02:40.280 --> 00:02:45.140]  在丹尼里書裡面所描述的尼布甲尼撒王
[00:02:45.140 --> 00:02:47.700]  你知道他的權勢是很厲害的
[00:02:47.700 --> 00:02:50.520]  稍為讀一下你都知道這個人很厲害
[00:02:50.780 --> 00:02:54.360]  在當世沒有誰能夠和他相提並論
[00:02:54.360 --> 00:02:57.700]  在第一章裡面的尼布甲尼撒王
[00:02:57.700 --> 00:03:02.300]  就是他王中的王他打敗了猶大王約亞敬
[00:03:02.300 --> 00:03:07.160]  所以就是在一個這樣的背景下丹尼里被擄到外邦
[00:03:07.160 --> 00:03:12.280]  在第二章第27節
[00:03:12.280 --> 00:03:15.100]  對不起第37節
[00:03:15.100 --> 00:03:19.700]  就有一句說話是丹尼里解夢的時候
[00:03:19.960 --> 00:03:22.520]  用來形容尼布甲尼撒的
[00:03:22.520 --> 00:03:25.340]  我讀給大家聽第37節
[00:03:25.340 --> 00:03:27.380]  我用的是和合本下
[00:03:27.380 --> 00:03:30.200]  王啊你是珠王之王
[00:03:30.200 --> 00:03:36.600]  天上的神已經將國度權並能力尊榮都賜給你
[00:03:36.600 --> 00:03:43.260]  凡世人所住之地的走獸並天空的飛鳥他都交付你手
[00:03:43.260 --> 00:03:45.300]  使你掌管者一切
[00:03:45.300 --> 00:03:49.140]  所以他的權勢其實真的很大很厲害
[00:03:49.920 --> 00:03:56.060]  其中一句說話就是世人所住之地的走獸並天空的飛鳥
[00:03:56.060 --> 00:03:58.380]  上帝都交付你手
[00:03:58.380 --> 00:04:01.200]  就不是說他是動物園的管理員
[00:04:01.200 --> 00:04:04.520]  其實他是借用了創世紀第一章
[00:04:04.520 --> 00:04:07.320]  上帝創天造地之後
[00:04:07.320 --> 00:04:09.640]  就將萬物都放在人
[00:04:09.640 --> 00:04:11.160]  下面被管理
[00:04:11.160 --> 00:04:13.220]  就用了這個典故
[00:04:13.220 --> 00:04:16.300]  來描述尼布甲尼撒王的權勢
[00:04:16.300 --> 00:04:18.340]  他就是一個這麼大的權勢
[00:04:19.120 --> 00:04:22.460]  或者是托達爾里書一定記得第三章
[00:04:22.460 --> 00:04:24.240]  烈火堯的故事
[00:04:24.240 --> 00:04:27.560]  你知道他做了一個金像
[00:04:27.560 --> 00:04:30.380]  然後就一個命令
[00:04:30.380 --> 00:04:34.480]  巴比倫帝國裏面所有各省的官員
[00:04:34.480 --> 00:04:36.020]  全部都要出席
[00:04:36.020 --> 00:04:39.100]  那個偶像的啟用禮
[00:04:39.100 --> 00:04:42.160]  那些是甚麼來的官來的
[00:04:42.160 --> 00:04:43.960]  不是普通百姓
[00:04:44.460 --> 00:04:49.320]  總督、音差、巡撫、業司、凡司、法官、謀士
[00:04:49.320 --> 00:04:50.860]  各等的官員
[00:04:50.860 --> 00:04:52.400]  全部都要出席
[00:04:52.400 --> 00:04:58.020]  然後在出席的奉獻禮上面一個命令
[00:04:58.020 --> 00:05:00.840]  聽到樂器的聲音就響
[00:05:00.840 --> 00:05:02.380]  全部都要跪
[00:05:02.380 --> 00:05:03.920]  全部都要拜
[00:05:03.920 --> 00:05:05.460]  不拜的結果
[00:05:05.460 --> 00:05:07.760]  就立刻丟到烈火堯中
[00:05:07.760 --> 00:05:08.780]  即是死
[00:05:08.780 --> 00:05:12.100]  有沒有人權有沒有法治
[00:05:12.100 --> 00:05:12.880]  沒有
[00:05:13.380 --> 00:05:15.160]  他就是人權他就是法治
[00:05:15.160 --> 00:05:17.740]  他說要你生就生要你死就死
[00:05:17.740 --> 00:05:19.520]  這個就是當日
[00:05:19.520 --> 00:05:20.540]  尼布甲利薩
[00:05:20.540 --> 00:05:22.600]  那個大系的權柄
[00:05:22.600 --> 00:05:25.160]  我經常想想如果
[00:05:25.160 --> 00:05:27.200]  當日都有
[00:05:27.200 --> 00:05:30.780]  福布斯權力排行榜的話
[00:05:30.780 --> 00:05:32.320]  他一定是榜首
[00:05:32.320 --> 00:05:34.120]  這個人很厲害
[00:05:34.120 --> 00:05:38.460]  有時候你想想其實人生
[00:05:38.460 --> 00:05:40.260]  都有些很奇妙的事
[00:05:41.020 --> 00:05:43.840]  其實每一個人來到這個世界
[00:05:43.840 --> 00:05:46.140]  都是很軟弱無力的
[00:05:46.140 --> 00:05:50.760]  沒有人照顧這個小生命就很快就完結
[00:05:50.760 --> 00:05:53.300]  但你想不到這塊肉團
[00:05:53.300 --> 00:05:56.120]  當他長大成人的時候
[00:05:56.120 --> 00:05:58.180]  竟然可以有這麼大的權力
[00:05:58.180 --> 00:06:00.480]  就是說他一個意念
[00:06:00.480 --> 00:06:03.540]  就可以影響千千萬萬人的生命
[00:06:03.540 --> 00:06:05.340]  很厲害
[00:06:05.340 --> 00:06:09.960]  不過讀第二章第一節我發現了一件事
[00:06:10.720 --> 00:06:14.060]  原來在這本書裏面一個這麼大權勢的人
[00:06:14.060 --> 00:06:16.860]  他是沒有辦法吩咐自己睡覺的
[00:06:16.860 --> 00:06:20.960]  這個提醒真的很有意思
[00:06:20.960 --> 00:06:22.500]  這麼大權勢
[00:06:22.500 --> 00:06:25.060]  但他沒有辦法吩咐自己睡覺
[00:06:25.060 --> 00:06:30.940]  睡眠其實是一件很神秘的事有一個很奧妙的事
[00:06:30.940 --> 00:06:35.300]  是我們每一個人與生俱來的本能
[00:06:35.300 --> 00:06:40.420]  就是不需要經過長時間的嚴格訓練我們才可以
[00:06:40.680 --> 00:06:41.180]  不用的
[00:06:41.180 --> 00:06:42.980]  一來到世界就學會了
[00:06:42.980 --> 00:06:45.800]  而且每個人都需要的
[00:06:45.800 --> 00:06:47.600]  沒有人說我不用睡覺
[00:06:47.600 --> 00:06:51.440]  好像最近有個比賽說鬥不睡覺
[00:06:51.440 --> 00:06:55.020]  鬥贏就有獎的
[00:06:55.020 --> 00:06:56.560]  但其實
[00:06:56.560 --> 00:06:59.620]  就算你鬥贏了你都是要睡覺的
[00:06:59.620 --> 00:07:01.420]  沒有人是不用睡覺的
[00:07:01.420 --> 00:07:07.560]  但睡眠也是很神秘的我小朋友的時候就已經很想知道一件事
[00:07:07.560 --> 00:07:10.120]  就是到底我由清醒
[00:07:11.660 --> 00:07:12.180]  到入睡
[00:07:12.180 --> 00:07:13.460]  那一下是怎樣發生的
[00:07:13.460 --> 00:07:15.760]  我很想知道
[00:07:15.760 --> 00:07:20.100]  當然當我越是很想知道的時候我就睡不著
[00:07:20.100 --> 00:07:23.680]  但我不知不覺就睡著了
[00:07:23.680 --> 00:07:28.300]  這個操作就是說由清醒到入睡
[00:07:28.300 --> 00:07:31.620]  這個操作每天都發生
[00:07:31.620 --> 00:07:33.920]  有時候每天有兩次三次
[00:07:33.920 --> 00:07:37.000]  我已經登錄了
[00:07:37.520 --> 00:07:41.100]  但我仍然不知道到底這一刻是怎樣發生的
[00:07:41.100 --> 00:07:45.200]  所以這個如果有科學家能夠解釋到就真是最好了
