
[00:00:00.000 --> 00:00:05.720]  我們一起看《路加福音》第十九章
[00:00:05.720 --> 00:00:09.800]  十一節到二十七節
[00:00:09.800 --> 00:00:12.800]  我們看一個比喻
[00:00:12.800 --> 00:00:15.000]  藉着這個比喻
[00:00:15.000 --> 00:00:17.880]  天父向我們的心意是如何呢
[00:00:17.880 --> 00:00:22.240]  《路加福音》十九章
[00:00:22.240 --> 00:00:25.520]  十一到二十七節
[00:00:27.480 --> 00:00:30.160]  好,找到我們一起慢一點
[00:00:30.160 --> 00:00:32.320]  大聲讀下,預備,請
[00:00:32.320 --> 00:00:36.800]  衆人正在聽見這些話的時候
[00:00:36.800 --> 00:00:40.480]  耶穌因爲將近耶路撒冷
[00:00:40.480 --> 00:00:45.400]  又因他們以爲神的國快要顯出來
[00:00:45.400 --> 00:00:48.480]  就另設一個比喻說
[00:00:48.480 --> 00:00:52.080]  有一個貴族往遠方去
[00:00:52.080 --> 00:00:54.080]  要德國回來
[00:00:54.280 --> 00:00:57.680]  便叫了他的十個僕人來
[00:00:57.680 --> 00:01:00.880]  交給他們十定銀子
[00:01:00.880 --> 00:01:04.080]  說你們去做生意
[00:01:04.080 --> 00:01:06.080]  只等我回來
[00:01:06.080 --> 00:01:09.280]  他本國的人卻恨他
[00:01:09.280 --> 00:01:12.880]  打發使者隨後去說
[00:01:12.880 --> 00:01:17.480]  我們不願意這個人作我們的王
[00:01:17.480 --> 00:01:19.880]  他既得國回來
[00:01:20.080 --> 00:01:24.280]  就吩咐那叫領銀子的僕人來
[00:01:24.280 --> 00:01:29.080]  要知道他們做生意賺了多少
[00:01:29.080 --> 00:01:31.880]  頭一個上來說
[00:01:31.880 --> 00:01:37.080]  主啊,你的一定銀子已經賺了十定
[00:01:37.080 --> 00:01:38.280]  主人說
[00:01:38.280 --> 00:01:40.880]  好,良善的僕人
[00:01:40.880 --> 00:01:44.880]  你既在最小的事上有忠心
[00:01:44.880 --> 00:01:48.680]  可以有權並管十座城
[00:01:48.880 --> 00:01:51.080]  第二個來說
