
[00:00:00.000 --> 00:00:01.360]  請祭會平安
[00:00:01.360 --> 00:00:03.120]  我們先一起祈禱
[00:00:03.120 --> 00:00:06.440]  我們感謝您自己的恩典
[00:00:06.440 --> 00:00:08.640]  在一個美好的主日清晨
[00:00:08.640 --> 00:00:10.080]  以後朝聖我們
[00:00:10.080 --> 00:00:12.480]  讓我們可以一同來到這裡敬拜您
[00:00:12.480 --> 00:00:16.080]  我們求您在這個時間
[00:00:16.080 --> 00:00:16.880]  幫助我們
[00:00:16.880 --> 00:00:18.560]  用聖靈帶領我們
[00:00:18.560 --> 00:00:22.840]  讓我們從您的話語裡面得到激勵
[00:00:22.840 --> 00:00:24.400]  也都明白
[00:00:24.400 --> 00:00:26.560]  耶穌基督的福音更多
[00:00:26.560 --> 00:00:28.560]  奉耶穌基督的名氣好
[00:00:31.000 --> 00:00:35.000]  我們繼續講羅馬書的時候
[00:00:35.000 --> 00:00:40.000]  大家會記得羅馬書最重要的中心信息
[00:00:40.000 --> 00:00:42.000]  就是在一章16節至17節
[00:00:42.000 --> 00:00:44.000]  「我不以福音為止」
[00:00:44.000 --> 00:00:46.000]  「這福音本是上帝的大能」
[00:00:46.000 --> 00:00:49.000]  「要救一切尚純的」
[00:00:49.000 --> 00:00:51.000]  「先是猶太人後是希臘人」
[00:00:51.000 --> 00:00:55.000]  「因為上帝的義正在這福音上顯明出來」
[00:00:55.000 --> 00:00:58.000]  「這義是本於信以至於信」
[00:00:58.000 --> 00:01:03.000]  「如經上所記,義人必因信得分」
[00:01:03.000 --> 00:01:08.000]  我曾經講過羅馬教會是有兩類信徒
[00:01:08.000 --> 00:01:10.000]  有猶太人的信徒
[00:01:10.000 --> 00:01:13.000]  也都有非猶太人的信徒
[00:01:13.000 --> 00:01:15.000]  或者這封信裡面
[00:01:15.000 --> 00:01:19.000]  保羅時時都顧念這兩類人的感受
[00:01:19.000 --> 00:01:23.000]  和他們所面對的問題
[00:01:23.000 --> 00:01:26.000]  例如他幾次都提到
[00:01:26.000 --> 00:01:29.000]  「先是猶太人,後是希臘人」
[00:01:29.000 --> 00:01:34.000]  羅馬書幾乎可以說用了一半的篇幅
[00:01:34.000 --> 00:01:37.000]  向教會裡面的猶太人
[00:01:37.000 --> 00:01:41.000]  來講連蘇基督的福音
[00:01:41.000 --> 00:01:46.000]  很可能由於他們還未能夠弄清楚
[00:01:46.000 --> 00:01:51.000]  猶太人的割禮、律法和福音的關係
