
[00:00:00.000 --> 00:00:02.760]  一起學習功課 堅持不懈地禱告
[00:00:02.760 --> 00:00:05.240]  我想我們每個信徒都會禱告
[00:00:05.240 --> 00:00:08.800]  但是禱告對我們有什麼意義呢?
[00:00:08.800 --> 00:00:12.080]  當我們面對很多逆境的時候
[00:00:12.080 --> 00:00:13.800]  我們是否還有信心?
[00:00:13.800 --> 00:00:16.120]  這個很值得我們一起學習
[00:00:16.120 --> 00:00:18.760]  我們一起禱告吧
[00:00:18.760 --> 00:00:21.160]  天父 多謝你給我們今天晚上
[00:00:21.160 --> 00:00:23.840]  有崇拜 一同的學習
[00:00:23.840 --> 00:00:27.120]  藉著主耶穌基督的教導幫助我們
[00:00:27.120 --> 00:00:29.280]  求主祢引領保守
[00:00:29.280 --> 00:00:31.440]  祈禱奉主耶穌基督的名
[00:00:31.440 --> 00:00:34.240]  阿們
[00:00:34.240 --> 00:00:39.200]  有一位美國的作家叫楊菲力
[00:00:39.200 --> 00:00:41.840]  楊菲力 或者菲利普·楊氏
[00:00:41.840 --> 00:00:45.160]  他寫了很多關於苦難的書
[00:00:45.160 --> 00:00:46.920]  禱告的書
[00:00:46.920 --> 00:00:48.800]  有一本是專門講禱告的
[00:00:48.800 --> 00:00:53.120]  他講到他自己都經歷了很多的掙扎
[00:00:53.120 --> 00:00:57.720]  有很多禱告似乎神沒有回應
[00:00:57.720 --> 00:01:04.880]  他提到有一位親戚患了愛滋病
[00:01:04.880 --> 00:01:06.920]  掙扎了十年
[00:01:06.920 --> 00:01:09.080]  然後還是離開的
[00:01:09.080 --> 00:01:11.400]  有一位親人患了糖尿病
[00:01:11.400 --> 00:01:16.360]  他又是這樣截肢
[00:01:16.360 --> 00:01:18.120]  很不幸的
[00:01:18.120 --> 00:01:24.840]  還有有一位表哥患了毒癮
[00:01:24.840 --> 00:01:30.200]  又是很難的掙扎、很難擺脫
[00:01:30.200 --> 00:01:31.600]  還提到一件事
[00:01:31.600 --> 00:01:35.400]  有一位他很熟悉宣教士的朋友
[00:01:35.400 --> 00:01:37.400]  去了海外宣教
[00:01:37.400 --> 00:01:41.480]  他的女兒也在當中被性侵
[00:01:41.480 --> 00:01:49.000]  以致女兒很想擺脫被性侵的恐懼
[00:01:49.000 --> 00:01:51.880]  但擺脫不了
[00:01:51.880 --> 00:01:53.000]  楊菲力就說
[00:01:53.000 --> 00:01:58.840]  我經常為我的親人、我的鄰舍、我的朋友去禱告
