
[00:00:00.000 --> 00:00:04.600]  今天大家會繼續一齊思想關於重建聖殿的信息
[00:00:04.600 --> 00:00:06.200]  我們大家再次同心再祈禱
[00:00:06.200 --> 00:00:07.400]  我們仰望主
[00:00:07.400 --> 00:00:14.600]  天父 我們感謝祢
[00:00:14.600 --> 00:00:18.800]  祢永永遠遠是我們的倚靠
[00:00:18.800 --> 00:00:21.400]  是我們生命的主
[00:00:21.400 --> 00:00:23.400]  主啊 離開祢
[00:00:23.400 --> 00:00:26.200]  我們就何等的可憐
[00:00:26.200 --> 00:00:29.400]  但主 祢自己賜下祢的聖靈
[00:00:29.400 --> 00:00:31.200]  永遠與我們同在
[00:00:31.200 --> 00:00:33.800]  讓我們可以在祢的裡面
[00:00:33.800 --> 00:00:37.200]  我們領受祢給我們今天的力量
[00:00:37.200 --> 00:00:39.000]  和明天的盼望
[00:00:39.000 --> 00:00:42.800]  我們今天再次在祢面前敬拜祢
[00:00:42.800 --> 00:00:45.800]  也深知 主啊 我們很需要祢
[00:00:45.800 --> 00:00:48.200]  常常激勵我們的心
[00:00:48.200 --> 00:00:50.600]  叫我們在跟隨祢的路上
[00:00:50.600 --> 00:00:52.400]  我們不會退後
[00:00:52.400 --> 00:00:54.600]  我們不會呆滯
[00:00:54.600 --> 00:00:57.200]  主啊 因為祢有永生之道
[00:00:57.200 --> 00:01:00.000]  我們很願意來繼續跟隨祢
[00:01:00.000 --> 00:01:02.600]  只是祈求主保守我們
[00:01:02.600 --> 00:01:04.800]  不被這個世界所吸引
[00:01:04.800 --> 00:01:07.000]  以致我們被很多短暫
[00:01:07.000 --> 00:01:08.800]  即逝的事情
[00:01:08.800 --> 00:01:11.400]  來奪取了我們的心
[00:01:11.400 --> 00:01:13.200]  主啊 幫助我們
[00:01:13.200 --> 00:01:15.200]  真的顧念祢的事情
[00:01:15.200 --> 00:01:17.400]  想到祢自己的國度
[00:01:17.400 --> 00:01:20.400]  想到我們自己永恆的盼望
[00:01:20.400 --> 00:01:22.400]  我們就知道上上的
[00:01:22.400 --> 00:01:24.400]  來快跑跟隨祢
