
[00:00:00.000 --> 00:00:03.300]  耶穌真是很寶貴的,耶穌真是我們的避難所
[00:00:03.300 --> 00:00:04.800]  你知不知道我聽過一個故事
[00:00:04.800 --> 00:00:08.000]  就是說有一個人去過地獄
[00:00:08.000 --> 00:00:10.000]  當然我們一定不在這裏
[00:00:10.000 --> 00:00:12.000]  這裏有哪個人是未信主的?
[00:00:12.000 --> 00:00:15.000]  如果未信你現在信,就保證你不會去
[00:00:15.000 --> 00:00:18.000]  他去了地獄,地獄他就在想
[00:00:18.000 --> 00:00:20.000]  哎呀,有一個名字
[00:00:20.000 --> 00:00:23.000]  我未死之前,那些人經常說
[00:00:23.000 --> 00:00:26.500]  叫我去為那個名字祈禱,去呼求
[00:00:26.500 --> 00:00:28.500]  但是現在我忘記了
[00:00:28.500 --> 00:00:30.500]  他在地獄裏面,就不斷找那些人問
[00:00:30.500 --> 00:00:32.500]  你記不記得那個名字?是什麼名字?
[00:00:32.500 --> 00:00:34.000]  那個人說忘記了
[00:00:34.000 --> 00:00:36.000]  哎呀,我們聽過很多次了
[00:00:36.000 --> 00:00:37.500]  原來每一個去地獄的人
[00:00:37.500 --> 00:00:40.500]  他已經不記得耶穌的名字
[00:00:40.500 --> 00:00:43.500]  因為凡求告主明的就必得救
[00:00:43.500 --> 00:00:46.000]  他在那裏根本就沒有第二次機會了
[00:00:46.000 --> 00:00:48.500]  但是今天我們有這個機會
[00:00:48.500 --> 00:00:51.500]  我們呼求誰可以得救?
[00:00:51.500 --> 00:00:54.000]  呼求誰?
[00:00:54.000 --> 00:00:56.500]  可不可以大聲一點?呼求誰?
[00:00:56.500 --> 00:00:58.500]  是耶穌,對不對?
[00:00:58.500 --> 00:01:01.500]  祂是我們的避難所,是耶穌
[00:01:01.500 --> 00:01:03.500]  祂是我們教會的中心
[00:01:03.500 --> 00:01:06.500]  我們為什麼在這裏?是因為耶穌
[00:01:06.500 --> 00:01:08.500]  是因為耶穌的緣故
[00:01:08.500 --> 00:01:12.000]  耶穌渴望我們建立一個安息之所
[00:01:12.000 --> 00:01:15.000]  讓天父跟我們一起
[00:01:15.000 --> 00:01:17.500]  所以祂拯救我們
[00:01:17.500 --> 00:01:19.000]  叫我們一群罪人
[00:01:19.000 --> 00:01:21.000]  教會當然有問題,因為我們是罪人
[00:01:21.000 --> 00:01:23.000]  教會如果沒有問題
[00:01:23.000 --> 00:01:25.500]  你去了教會就是一個問題
[00:01:25.500 --> 00:01:27.500]  因為你和我都是罪人
[00:01:27.500 --> 00:01:31.000]  我們是一個逐漸盛盛的罪人
[00:01:31.000 --> 00:01:34.500]  你不要以為自己完全沒有問題
[00:01:34.500 --> 00:01:36.000]  我們就是一個罪人
[00:01:36.000 --> 00:01:39.000]  所以一群罪人被耶穌拯救
[00:01:39.000 --> 00:01:40.500]  我們呼求耶穌的名字
[00:01:40.500 --> 00:01:42.500]  耶穌在這裏拯救了我們
[00:01:42.500 --> 00:01:44.500]  帶領我們回到一個家庭
[00:01:44.500 --> 00:01:45.500]  一個屬靈的家庭
[00:01:45.500 --> 00:01:46.500]  耶穌想怎樣?
[00:01:46.500 --> 00:01:49.000]  想我們建立一個家
[00:01:49.000 --> 00:01:53.000]  那個家天父可以永遠跟我們在一起
[00:01:53.000 --> 00:01:56.000]  就是我們死之前,我們上天堂之前
[00:01:56.000 --> 00:02:00.500]  我們可以在地上經歷天堂一切的美善
[00:02:00.500 --> 00:02:02.500]  你明白嗎?
[00:02:02.500 --> 00:02:05.500]  你想不想你教會是這樣?
[00:02:05.500 --> 00:02:07.000]  當人一進來你的教會
[00:02:07.000 --> 00:02:10.500]  一進來這個經拜的地方
[00:02:10.500 --> 00:02:12.000]  這個的殿堂
[00:02:12.000 --> 00:02:14.000]  這個神童在的殿堂
[00:02:14.000 --> 00:02:17.000]  他呼吸第一口的空氣
[00:02:17.000 --> 00:02:18.500]  他真的覺得不同了
[00:02:18.500 --> 00:02:20.000]  是什麼氣氛?
[00:02:20.000 --> 00:02:21.500]  是天堂的氣氛
[00:02:21.500 --> 00:02:23.000]  天堂是什麼氣氛?
[00:02:23.000 --> 00:02:25.000]  是榮耀的所在
