
[00:00:00.000 --> 00:00:01.400]  大英之妹,平安!
[00:00:01.400 --> 00:00:03.400]  平安!
[00:00:03.400 --> 00:00:06.680]  應該是各位公子、王子
[00:00:06.680 --> 00:00:09.360]  王子、公主,平安!
[00:00:09.360 --> 00:00:10.880]  記不記得?
[00:00:10.880 --> 00:00:12.920]  你記不記得你的身份?
[00:00:12.920 --> 00:00:15.200]  我上次說的時候,你有沒有在那裡?
[00:00:15.200 --> 00:00:17.360]  沒有在那裡,就舉手吧
[00:00:17.360 --> 00:00:20.200]  因為你不知道我在說什麼
[00:00:20.200 --> 00:00:21.560]  感謝神的恩典
[00:00:21.560 --> 00:00:23.560]  給我們剛才的詩歌裡面
[00:00:23.560 --> 00:00:25.280]  我很喜歡最後這一句
[00:00:25.280 --> 00:00:26.800]  這是什麼?
[00:00:26.800 --> 00:00:31.120]  你說吧,最後一句
[00:00:31.120 --> 00:00:34.480]  「眾生為主,努力干」
[00:00:34.480 --> 00:00:36.720]  張一生
[00:00:36.720 --> 00:00:39.920]  交卡主,努力什麼?
[00:00:39.920 --> 00:00:41.560]  努力什麼?
[00:00:41.560 --> 00:00:45.560]  你應該沒有努力了
[00:00:45.560 --> 00:00:48.080]  張一生交給主,努力干
[00:00:48.080 --> 00:00:51.360]  我們要努力為主去做
[00:00:51.360 --> 00:00:53.280]  上一次我說過我媽媽
[00:00:53.280 --> 00:00:56.400]  因為她已經忘記了自己的身份
[00:00:56.400 --> 00:00:57.400]  而模糊
[00:00:57.400 --> 00:00:58.800]  所以我們上次說到
[00:00:58.800 --> 00:01:02.000]  我們應該有一個王儲的身份
[00:01:02.000 --> 00:01:03.920]  王儲裡面
[00:01:03.920 --> 00:01:06.560]  你是屬於神的兒女
[00:01:06.560 --> 00:01:08.160]  所以你是王儲的身份
[00:01:08.160 --> 00:01:10.240]  我說我媽媽已經
[00:01:10.240 --> 00:01:13.640]  對她自己的身份很模糊了
[00:01:13.640 --> 00:01:16.040]  不過現在她很清楚
[00:01:16.040 --> 00:01:19.280]  因為她已經回到這個皇宮
[00:01:19.280 --> 00:01:20.720]  和天上的父
[00:01:20.720 --> 00:01:22.840]  和地上的父同在一起
[00:01:22.840 --> 00:01:26.160]  她的一生已經終成完成了
[00:01:26.160 --> 00:01:29.040]  剛剛好,今天是幾號?
[00:01:29.040 --> 00:01:31.520]  十一月十二號
[00:01:31.520 --> 00:01:34.600]  十一月十二號她離開了我們
[00:01:34.600 --> 00:01:36.200]  所以我們感謝神
[00:01:36.200 --> 00:01:38.480]  讓她這一生裡面可以看到
[00:01:38.480 --> 00:01:41.480]  她有屬神的那個生命
[00:01:41.480 --> 00:01:44.920]  和她很努力地盡她的一生
[00:01:44.920 --> 00:01:47.880]  努力
[00:01:47.880 --> 00:01:51.560]  她很努力地活下去
[00:01:51.560 --> 00:01:54.200]  所以我回來之後
[00:01:54.200 --> 00:01:57.880]  我很努力地重新調整
[00:01:57.880 --> 00:02:02.000]  重新思考我自己一生的生命
[00:02:02.000 --> 00:02:05.040]  我努力地調整我每一天的生活
[00:02:05.040 --> 00:02:07.520]  我的坐式時間表
[00:02:07.520 --> 00:02:11.440]  因為我求神讓我擴張我自己
[00:02:11.440 --> 00:02:13.360]  我求神擴張我的眼界
[00:02:13.360 --> 00:02:14.960]  擴張我的能力
[00:02:14.960 --> 00:02:17.600]  可以看到更加不同的東西
[00:02:17.600 --> 00:02:21.760]  或者更加地經歷神給我的年歲
[00:02:21.760 --> 00:02:26.240]  我希望我六十歲活著好像十六歲
[00:02:26.240 --> 00:02:27.720]  好不好?
[00:02:27.720 --> 00:02:29.120]  好
[00:02:29.120 --> 00:02:30.760]  如果你六十歲
[00:02:30.760 --> 00:02:33.520]  你要活著好像十六歲
[00:02:33.520 --> 00:02:35.200]  不過你是不是十六歲
[00:02:35.200 --> 00:02:40.960]  活著好像六十歲?
[00:02:40.960 --> 00:02:45.640]  求神讓我們繼續去
