
[00:00:00.000 --> 00:00:03.000]  各位第一線姐妹朋友們早安
[00:00:03.000 --> 00:00:07.000]  過去我應該說各位新年快樂
[00:00:07.000 --> 00:00:15.000]  今天我們的荒漠干勤一月一號
[00:00:15.000 --> 00:00:21.000]  他說今天我們站在一個新的境界上面
[00:00:21.000 --> 00:00:25.000]  這一個境界是在我們前面新的一年
[00:00:25.000 --> 00:00:28.000]  正等著我們要走過去
[00:00:28.000 --> 00:00:31.000]  沒有人能夠預測在這個路上
[00:00:31.000 --> 00:00:33.000]  我們會有什麼遭遇
[00:00:33.000 --> 00:00:34.000]  會有什麼變遷
[00:00:34.000 --> 00:00:36.000]  會有什麼需要
[00:00:36.000 --> 00:00:39.000]  但是我們的神允許我們
[00:00:39.000 --> 00:00:41.000]  在祂有不甘的禍泉
[00:00:41.000 --> 00:00:43.000]  在祂有永留的江河
[00:00:43.000 --> 00:00:47.000]  在祂有恩典的誓約
[00:00:47.000 --> 00:00:52.000]  即使我們有山谷般的困苦的環境
[00:00:52.000 --> 00:00:55.000]  但是我們的新的一年是快樂
[00:00:55.000 --> 00:00:56.000]  是有福的
[00:00:56.000 --> 00:00:58.000]  我們有新的意向
[00:00:58.000 --> 00:01:00.000]  有新的方向
[00:01:00.000 --> 00:01:03.000]  New Mission and New Mission
[00:01:03.000 --> 00:01:05.000]  感謝贊美神
[00:01:05.000 --> 00:01:07.000]  荒漠干勤一月一號他說
[00:01:07.000 --> 00:01:11.000]  今天我們站在一個新年的開始
[00:01:11.000 --> 00:01:15.000]  我們不能夠預知未來的境遇
[00:01:15.000 --> 00:01:18.000]  但是上帝告訴我們說
[00:01:18.000 --> 00:01:20.000]  從歲首到年終
[00:01:20.000 --> 00:01:25.000]  耶和華女神的眼目時常看顧那地
[00:01:25.000 --> 00:01:27.000]  看顧那地就是說
[00:01:27.000 --> 00:01:28.000]  我們這裡所在的地
[00:01:28.000 --> 00:01:30.000]  就是你的家
[00:01:30.000 --> 00:01:32.000]  就是你所要走過的路
[00:01:32.000 --> 00:01:34.000]  就是你的宣教的工廠
[00:01:34.000 --> 00:01:39.000]  就是你的神應許的那個地
[00:01:39.000 --> 00:01:41.000]  神要看顧那地
[00:01:41.000 --> 00:01:44.000]  所以我們應當要信靠仰望神
[00:01:44.000 --> 00:01:47.000]  是的,感謝神,贊美神
[00:01:47.000 --> 00:01:49.000]  從歲首到年終
[00:01:49.000 --> 00:01:52.000]  這句話到底有什麼意思呢
[00:01:52.000 --> 00:01:57.000]  其實這句話就是過年的意思
[00:01:57.000 --> 00:02:00.000]  中國人過年是怎麼過啊
[00:02:00.000 --> 00:02:03.000]  是歡慶,是快樂
[00:02:03.000 --> 00:02:07.000]  而且是除舊復新的日子
