
[00:00:00.000 --> 00:00:03.600]  知道平安對大家的意義是怎樣
[00:00:03.600 --> 00:00:08.400]  你害怕的時候會怎樣叫自己不要那麼害怕
[00:00:08.400 --> 00:00:10.800]  用甚麼方法
[00:00:10.800 --> 00:00:13.900]  晚上一個人在街上走路
[00:00:13.900 --> 00:00:15.900]  沒有人你會怎樣
[00:00:15.900 --> 00:00:20.400]  許先生就會吹口哨
[00:00:20.400 --> 00:00:24.400]  夜行人就會吹口哨和自己壯膽
[00:00:26.000 --> 00:00:30.400]  如果在我們的生活裡面你面對一些害怕的事情
[00:00:30.400 --> 00:00:32.400]  你怎樣去處理呢
[00:00:32.400 --> 00:00:35.400]  主耶穌基督復活是令人很害怕的
[00:00:35.400 --> 00:00:37.400]  你明白嗎
[00:00:37.400 --> 00:00:40.900]  雖然他行神跡叫死人復活過
[00:00:40.900 --> 00:00:43.400]  但是自己死了然後復活呢
[00:00:43.400 --> 00:00:45.400]  歷史上未發生過
[00:00:45.400 --> 00:00:48.900]  主耶穌復活
[00:00:48.900 --> 00:00:50.900]  在聖經這一段在第十九節
[00:00:50.900 --> 00:00:55.900]  哪日括弦七日的第一日即是今日
[00:00:55.900 --> 00:00:57.900]  即是今日
[00:00:57.900 --> 00:00:59.900]  今日是七日的第一日
[00:00:59.900 --> 00:01:02.900]  等於你記得一個禮拜的第一日不是星期一
[00:01:02.900 --> 00:01:04.900]  不是禮拜一
[00:01:04.900 --> 00:01:06.900]  是禮拜日
[00:01:06.900 --> 00:01:09.900]  所以我專選的日曆是由禮拜日開始的
[00:01:09.900 --> 00:01:10.900]  不是禮拜一開始的
[00:01:10.900 --> 00:01:12.900]  明白那個分別嗎
[00:01:12.900 --> 00:01:14.900]  七日第一日
[00:01:14.900 --> 00:01:20.900]  晚上門徒就在他們經常聚集的地方
[00:01:20.900 --> 00:01:22.900]  因為怕猶太人
[00:01:22.900 --> 00:01:26.900]  早上他們收到消息
[00:01:26.900 --> 00:01:29.900]  那個墳墓空了
[00:01:29.900 --> 00:01:37.900]  即是沒有了原本埋葬耶穌基督的屍體的那個墳墓
[00:01:37.900 --> 00:01:39.900]  等於姊妹
[00:01:39.900 --> 00:01:41.900]  猶太人的墳墓不同中國人的墳墓
[00:01:41.900 --> 00:01:43.900]  明白嗎
[00:01:43.900 --> 00:01:46.900]  如果你一年一兩次教會的
[00:01:46.900 --> 00:01:48.900]  可能你不是很清楚
[00:01:48.900 --> 00:01:51.900]  猶太人的墳墓就在地面的
[00:01:51.900 --> 00:01:54.900]  我們中國人的墳墓就掘地的
[00:01:54.900 --> 00:01:57.900]  現在就很多方式
[00:01:57.900 --> 00:02:02.900]  有花葬、有海葬、有土葬、有各樣葬都有
[00:02:02.900 --> 00:02:07.900]  但是猶太人的墳墓就在山洞裏面
[00:02:07.900 --> 00:02:10.900]  在地面然後是挖開
[00:02:10.900 --> 00:02:14.900]  將屍體用布包住
[00:02:14.900 --> 00:02:18.900]  包完之後就用石頭封住墳墓
[00:02:18.900 --> 00:02:20.900]  是在地面的
[00:02:20.900 --> 00:02:22.900]  他們收到消息
[00:02:22.900 --> 00:02:25.900]  有一班婦女告訴門徒
[00:02:25.900 --> 00:02:27.900]  耶穌基督的屍首
[00:02:27.900 --> 00:02:30.900]  他的遺體不見了
[00:02:30.900 --> 00:02:35.900]  不見了
[00:02:36.900 --> 00:02:40.900]  約翰跑得很快跑去
[00:02:40.900 --> 00:02:42.900]  彼得也跑得很快去看到
[00:02:42.900 --> 00:02:45.900]  不同的人有不同的反應
[00:02:45.900 --> 00:02:48.900]  在晚上的時候
[00:02:48.900 --> 00:02:51.900]  他們收到這個消息聚集在一起
[00:02:51.900 --> 00:02:54.900]  因為怕猶太人
[00:02:54.900 --> 00:02:56.900]  怕猶太人什麼
[00:02:56.900 --> 00:02:59.900]  怕猶太人什麼
[00:02:59.900 --> 00:03:01.900]  有時候我們說笑
[00:03:01.900 --> 00:03:03.900]  怕了你那層錘
[00:03:03.900 --> 00:03:05.900]  不是怕了那層錘
[00:03:05.900 --> 00:03:07.900]  而是怕猶太人他們要捉拿
