
[00:00:00.000 --> 00:00:01.900]  領事館平安
[00:00:01.900 --> 00:00:05.500]  很開心今天可以在這裡跟大家分享神的訊息
[00:00:05.500 --> 00:00:09.100]  那麼在我開始進入我的訊息之前
[00:00:09.100 --> 00:00:12.300]  我想跟大家說一個小故事
[00:00:12.300 --> 00:00:14.300]  在之前我讀神學的時候
[00:00:14.300 --> 00:00:16.200]  其中有一天上課
[00:00:16.200 --> 00:00:19.500]  那麼我旁邊的同學就突然間問我
[00:00:19.500 --> 00:00:25.000]  他說「喂 Karen 你可不可以借一塊眼鏡布給我抹一下眼鏡」
[00:00:25.000 --> 00:00:28.400]  那麼我剛剛在不知哪裡拿了一個贈品眼鏡布
[00:00:28.400 --> 00:00:30.700]  我就給他說「這個給你了」
[00:00:30.700 --> 00:00:33.200]  他抹完之後他就說
[00:00:33.200 --> 00:00:36.300]  「哇! 世界突然變得這麼清晰」
[00:00:36.300 --> 00:00:40.000]  他就說「哇! 我的世界突然間清楚了很多」
[00:00:40.000 --> 00:00:41.700]  那時候我心想
[00:00:41.700 --> 00:00:44.700]  「你平時怎麼看東西的?」
[00:00:44.700 --> 00:00:46.600]  但是這樣想之後
[00:00:46.600 --> 00:00:48.800]  我就有一個更深的想法
[00:00:48.800 --> 00:00:51.800]  就是其實有很多時候
[00:00:51.800 --> 00:00:54.300]  我們眼睛看到的東西
[00:00:54.300 --> 00:00:58.800]  以為是很真實也是事實的全部
[00:00:58.800 --> 00:01:00.300]  不過是不是呢?
[00:01:00.300 --> 00:01:02.600]  原來一個很簡單地蒙了的眼鏡
[00:01:02.600 --> 00:01:06.900]  已經可以扭曲我們的視覺了
[00:01:06.900 --> 00:01:09.300]  所以我想藉著這樣
[00:01:09.300 --> 00:01:13.100]  跟大家今天有一個開眼睛使我看見的分享
[00:01:13.100 --> 00:01:14.600]  看看我們今天所看到
[00:01:14.600 --> 00:01:16.000]  以為是事實
[00:01:16.000 --> 00:01:19.200]  是不是一定是全部的事實呢?
[00:01:19.200 --> 00:01:21.700]  在我們今天所看的經文裡面
[00:01:21.700 --> 00:01:22.500]  啟示錄吧
[00:01:22.500 --> 00:01:24.800]  約翰見到一個異象
[00:01:24.800 --> 00:01:26.400]  那一刻的約翰
[00:01:26.400 --> 00:01:30.200]  就好像被帶離開這個世界一樣升到天上
[00:01:30.200 --> 00:01:31.600]  而約翰的讀者
[00:01:31.600 --> 00:01:33.300]  當代的讀者和我們
[00:01:33.300 --> 00:01:37.000]  也同時這樣跟著他一起升到天上
[00:01:37.000 --> 00:01:40.800]  從天空上看回到現在這個世界那裡
[00:01:40.800 --> 00:01:42.000]  約翰說
[00:01:42.000 --> 00:01:46.000]  他在異象裡面見到一個好像人子那樣的人
[00:01:46.000 --> 00:01:47.500]  揭示給他看
[00:01:47.500 --> 00:01:51.400]  在當時羅馬統治的逼迫之下
[00:01:51.400 --> 00:01:55.200]  如果從神的視覺上看下來
[00:01:55.200 --> 00:01:59.200]  究竟是真正發生了什麼事情呢?
[00:01:59.200 --> 00:02:02.200]  而約翰所看到的東西
[00:02:02.200 --> 00:02:05.900]  今天又怎樣幫到我們呢?
[00:02:05.900 --> 00:02:08.300]  今天我們看的經文
[00:02:08.300 --> 00:02:10.000]  分了三個段落
[00:02:10.000 --> 00:02:11.900]  是三個不同的看見
[00:02:11.900 --> 00:02:13.600]  不同的向道的看見
[00:02:13.600 --> 00:02:17.800]  第一個就是約翰在異象當中見到榮耀的主
[00:02:17.800 --> 00:02:20.000]  在不同的空間裡面
[00:02:20.000 --> 00:02:20.900]  第二個就是
[00:02:20.900 --> 00:02:22.300]  在宗教的角度
[00:02:22.300 --> 00:02:24.400]  看回當時的處境
[00:02:24.400 --> 00:02:27.200]  在一個時間性不同的角度
[00:02:27.200 --> 00:02:29.200]  第三就是從爾忽所教會
[00:02:29.200 --> 00:02:31.100]  重新去看起初的愛
[00:02:31.100 --> 00:02:34.800]  在其他教會側面的角度去看
[00:02:34.800 --> 00:02:38.100]  好了 我們來看第一個段落
[00:02:38.100 --> 00:02:41.800]  就是約翰在異象當中見到榮耀的主
[00:02:41.800 --> 00:02:46.800]  我們一起讀出啟示一章9至11節 好嗎?
[00:02:46.800 --> 00:02:49.100]  好 預備 起
[00:02:49.100 --> 00:02:51.900]  約翰就是你們的弟兄
[00:02:51.900 --> 00:02:54.600]  和你們在耶穌的患難
[00:02:54.600 --> 00:02:57.600]  國道 忍耐裡一同有份
[00:02:57.600 --> 00:02:59.100]  為神的道
[00:02:59.100 --> 00:03:01.800]  並為給耶穌作的見證
[00:03:01.800 --> 00:03:05.400]  曾在那名叫拔摩的海島上
