
[00:00:00.000 --> 00:00:02.000]  鄧家彪:請自我平安
[00:00:02.000 --> 00:00:07.500]  我今日的題目是尋正的正義
[00:00:07.500 --> 00:00:12.500]  正義一般都是要發聲的
[00:00:12.500 --> 00:00:14.500]  為公義發聲
[00:00:14.500 --> 00:00:18.500]  怎樣去表達呢
[00:00:18.500 --> 00:00:22.500]  這是一個我們要思想的
[00:00:22.500 --> 00:00:24.500]  尋正是否可以表達呢
[00:00:24.500 --> 00:00:32.500]  第二就是正義是一個社會性的題目
[00:00:32.500 --> 00:00:38.500]  在教會裏面多數我們關心的是福音性的題目
[00:00:38.500 --> 00:00:41.500]  是靈性的題目
[00:00:41.500 --> 00:00:43.500]  是造就性的題目
[00:00:43.500 --> 00:00:46.500]  是生命成長的題目
[00:00:46.500 --> 00:00:49.500]  是屬靈操練的題目
[00:00:49.500 --> 00:00:53.500]  我們比較少講社會性的題目
[00:00:53.500 --> 00:00:57.500]  不知我這樣講貼不貼近現實
[00:00:57.500 --> 00:01:02.500]  所以當我今日要準備跟大家講一個比較社會性的題目的時候
[00:01:02.500 --> 00:01:05.500]  其實我是有點擔心
[00:01:05.500 --> 00:01:08.500]  一般人都是這樣的
[00:01:08.500 --> 00:01:12.500]  習慣了那些東西突然間你要適應另一樣東西
[00:01:12.500 --> 00:01:17.500]  是會很難去突然間適應過來
[00:01:17.500 --> 00:01:20.500]  第二就是這些是政治的東西
[00:01:20.500 --> 00:01:22.500]  不是在教會講的
[00:01:22.500 --> 00:01:27.500]  這句話可能聽的時候會有些猶豫
[00:01:27.500 --> 00:01:30.500]  但我肯定是跟大家講聖經的
[00:01:30.500 --> 00:01:33.500]  因為我有一個很大的堅持就是
[00:01:33.500 --> 00:01:35.500]  教會的講壇是講聖經的
[00:01:35.500 --> 00:01:38.500]  不是講一些奇葩的東西
[00:01:38.500 --> 00:01:41.500]  當然我們在講道裏面會有引伸的討論
[00:01:41.500 --> 00:01:45.500]  但是核心的主調在聖經裏面
[00:01:45.500 --> 00:01:47.500]  我們先做一個祈禱好嗎
[00:01:47.500 --> 00:01:50.500]  天父求你幫助我們
[00:01:50.500 --> 00:01:55.500]  因為在我們現實的社會和生活當中
[00:01:55.500 --> 00:02:01.500]  正義是我們一個不可以迴避的題目
[00:02:01.500 --> 00:02:06.500]  特別求主你幫助我們在一個紛紛擾擾的社會
[00:02:06.500 --> 00:02:09.500]  很多很多的聲音
[00:02:09.500 --> 00:02:12.500]  在當中你教導我們
[00:02:12.500 --> 00:02:14.500]  作為一個基督徒作為教會
[00:02:14.500 --> 00:02:17.500]  怎樣去思考怎樣去回應
