
[00:00:00.000 --> 00:00:03.380]  我講了大時代、大使命
[00:00:03.380 --> 00:00:09.280]  在後現代講求自我、自我中心
[00:00:09.280 --> 00:00:13.080]  不講真理、不講權柄的時代
[00:00:13.080 --> 00:00:16.000]  我們更加需要去建立門徒
[00:00:16.000 --> 00:00:18.340]  建立一班會跟從耶穌
[00:00:18.340 --> 00:00:21.580]  我們絕對主宰的門徒
[00:00:21.580 --> 00:00:22.640]  但跟從耶穌
[00:00:22.640 --> 00:00:25.440]  我們不是一腔熱誠地去跟從耶穌
[00:00:25.440 --> 00:00:26.680]  我常常都講
[00:00:26.680 --> 00:00:28.940]  跟耶穌不是一時的衝動
[00:00:28.940 --> 00:00:30.600]  是一生的跟從
[00:00:30.600 --> 00:00:34.600]  所以今早我講計代價作門徒
[00:00:34.600 --> 00:00:37.360]  我們要計清計錯的代價
[00:00:37.360 --> 00:00:39.760]  跟從耶穌要付出什麼代價呢?
[00:00:39.760 --> 00:00:42.760]  願不願意跳出自己的安書區
[00:00:42.760 --> 00:00:44.940]  放下安書的生活
[00:00:44.940 --> 00:00:47.900]  願不願意放下沒那麼重要的事情
[00:00:47.900 --> 00:00:50.140]  以耶穌的事情為優先
[00:00:50.140 --> 00:00:52.060]  我們願不願意
[00:00:52.060 --> 00:00:54.640]  我們不會再深懷疑
[00:00:54.640 --> 00:00:56.740]  以我們一生去跟從
[00:00:56.740 --> 00:00:58.740]  所以當我們計清代價的時候
[00:00:58.740 --> 00:01:00.400]  我們願意跟從耶穌
[00:01:00.400 --> 00:01:02.460]  成為祂的門徒
[00:01:02.460 --> 00:01:05.340]  我相信我們的生命會改變
[00:01:05.340 --> 00:01:07.060]  我們有一個新的生命
[00:01:07.060 --> 00:01:09.040]  一個新的生活
[00:01:09.040 --> 00:01:10.900]  如果我們信了耶穌很久
[00:01:10.900 --> 00:01:14.400]  我們想著我們是跟從耶穌的門徒
[00:01:14.400 --> 00:01:17.800]  你的生命、你的生活沒什麼改變
[00:01:17.800 --> 00:01:20.740]  跟你以往未信主沒什麼大的分別
[00:01:20.740 --> 00:01:22.040]  我們要想一想
[00:01:22.040 --> 00:01:24.600]  我們在跟從耶穌做門徒
[00:01:24.600 --> 00:01:26.200]  是不是跟得好呢?
[00:01:26.200 --> 00:01:28.200]  所以今天去到第三講
[00:01:28.200 --> 00:01:31.600]  我就想說新生命和新生活
[00:01:31.600 --> 00:01:34.800]  一個門徒是必然有的經歷
[00:01:34.800 --> 00:01:37.600]  我們同心討告
[00:01:37.600 --> 00:01:39.600]  天父我們感謝祢
[00:01:39.600 --> 00:01:41.800]  我們能夠做主的門徒
[00:01:41.800 --> 00:01:43.600]  是我們的福氣
[00:01:43.600 --> 00:01:45.600]  是我們的榮幸
[00:01:45.600 --> 00:01:47.600]  主幫助我們
[00:01:47.600 --> 00:01:51.400]  幫助我們在裡面能夠經歷這個轉化
[00:01:51.400 --> 00:01:54.000]  以致我們的生命不再一樣
[00:01:54.000 --> 00:01:56.900]  不再眷戀在老我的生命
[00:01:56.900 --> 00:02:02.700]  不再被世俗的價值觀影響和誘惑
[00:02:02.700 --> 00:02:05.600]  願主你幫助我們分別為聖
[00:02:05.600 --> 00:02:08.800]  你用羅馬史這段經文提醒我們
[00:02:08.800 --> 00:02:10.500]  也幫助我們
[00:02:10.500 --> 00:02:12.300]  讓我們的生命不再一樣
[00:02:12.300 --> 00:02:13.800]  合你的心意
[00:02:13.800 --> 00:02:17.000]  討告仰望奉耶穌基督的聖名
[00:02:17.000 --> 00:02:18.900]  阿們
[00:02:18.900 --> 00:02:24.000]  很多年前在台灣的《中央日報》刊登了一篇文章
[00:02:24.000 --> 00:02:26.700]  這篇文章的作者是一位醫生
[00:02:26.700 --> 00:02:28.700]  一位年輕的醫生
[00:02:28.700 --> 00:02:30.900]  這位醫生在文章中提到
[00:02:30.900 --> 00:02:34.300]  他人生的座右銘就是這一句話
[00:02:34.300 --> 00:02:37.300]  人生跌倒是常事
[00:02:37.300 --> 00:02:40.400]  每次跌倒要爬起
[00:02:40.400 --> 00:02:43.100]  為什麼他會用這句作為人生的座右銘呢?
[00:02:43.100 --> 00:02:45.300]  原來這位醫生小時候
[00:02:45.300 --> 00:02:47.100]  他的家境不錯
[00:02:47.100 --> 00:02:48.900]  他哥哥讀台大
[00:02:48.900 --> 00:02:50.900]  他的姐姐讀師大
[00:02:50.900 --> 00:02:52.100]  家境不錯
[00:02:52.100 --> 00:02:55.300]  他哥哥姐姐讀書讀得好
[00:02:55.300 --> 00:02:57.300]  但他自己就很差勁
[00:02:57.300 --> 00:02:58.500]  讀不了書
[00:02:58.500 --> 00:03:01.900]  到了高中已經很糟糕了
[00:03:01.900 --> 00:03:04.300]  讀大學基本上也沒什麼可能
[00:03:04.300 --> 00:03:06.500]  所以這個年輕人就很自卑
[00:03:06.500 --> 00:03:08.300]  一比較他哥哥姐姐那麼厲害
[00:03:08.300 --> 00:03:09.700]  他很自卑
[00:03:09.700 --> 00:03:11.300]  還有他有鼻竇炎
[00:03:11.300 --> 00:03:14.500]  所以常常用身體毛病作為藉口
