
[00:00:00.000 --> 00:00:05.000]  大家好,今天跟大家看的經文是
[00:00:05.000 --> 00:00:08.000]  他必興旺,我必衰微
[00:00:08.000 --> 00:00:11.000]  仍然是施洗約翰的故事
[00:00:11.000 --> 00:00:14.000]  他如何見證耶穌
[00:00:14.000 --> 00:00:16.000]  他必興旺,我必衰微
[00:00:16.000 --> 00:00:19.000]  看到施洗約翰真是很偉大
[00:00:19.000 --> 00:00:22.000]  聖經人,聖經事,講聖經的人物,聖經事
[00:00:22.000 --> 00:00:24.000]  和背後見到的上帝
[00:00:24.000 --> 00:00:27.000]  生命樹書的網絡為你提供
[00:00:27.000 --> 00:00:29.000]  希望你多讀聖經
[00:00:29.000 --> 00:00:32.000]  他必興旺,我必衰微
[00:00:32.000 --> 00:00:35.000]  約翰福音第一章三十五節
[00:00:35.000 --> 00:00:38.000]  再次日,又過多日了
[00:00:38.000 --> 00:00:42.000]  約翰是指施洗約翰和兩個門徒
[00:00:42.000 --> 00:00:46.000]  這兩個門徒是施洗約翰的門徒
[00:00:46.000 --> 00:00:48.000]  和兩個門徒站在那裡
[00:00:48.000 --> 00:00:51.000]  剛剛走過的時候站在那裡
[00:00:51.000 --> 00:00:55.000]  看見耶穌行走
[00:00:55.000 --> 00:00:57.000]  看見耶穌走過
[00:00:57.000 --> 00:00:59.000]  就和兩個門徒說
[00:00:59.000 --> 00:01:04.000]  看呀,看呀,這是神的羔羊
[00:01:04.000 --> 00:01:07.000]  昨天講到施洗約翰的見證
[00:01:07.000 --> 00:01:11.000]  漢堅說這是神的兒子
[00:01:11.000 --> 00:01:15.000]  今次他說看呀,看呀,別走
[00:01:15.000 --> 00:01:18.000]  這是神的羔羊
[00:01:18.000 --> 00:01:21.000]  這就是神的羔羊
[00:01:21.000 --> 00:01:24.000]  兩個門徒聽見他的話
[00:01:24.000 --> 00:01:27.000]  就跟從了耶穌
[00:01:27.000 --> 00:01:30.000]  這是要第一點跟大家講的
[00:01:30.000 --> 00:01:33.000]  「這時以後」
[00:01:33.000 --> 00:01:37.000]  「彌哥德姆夜裡來見耶穌」
[00:01:37.000 --> 00:01:40.000]  這一句是我加的
[00:01:40.000 --> 00:01:41.000]  括著而已
[00:01:41.000 --> 00:01:43.000]  「這時以後」
[00:01:43.000 --> 00:01:45.000]  「耶穌和門徒到了猶太地」
[00:01:45.000 --> 00:01:49.000]  「在那裡居住和施洗」
[00:01:49.000 --> 00:01:55.000]  「約翰在靠近撒冷的埃倫也施洗」
[00:01:55.000 --> 00:01:57.000]  因為那裡水多
[00:01:57.000 --> 00:01:59.000]  埃倫這個地方水多
[00:01:59.000 --> 00:02:00.000]  施洗最好
[00:02:00.000 --> 00:02:02.000]  不然怎麼施浸呢
[00:02:02.000 --> 00:02:03.000]  施浸嘛
[00:02:03.000 --> 00:02:06.000]  「眾人都去受浸」
[00:02:06.000 --> 00:02:07.000]  受洗
[00:02:07.000 --> 00:02:09.000]  「那個時候」第24節
[00:02:09.000 --> 00:02:11.000]  「聖經有賄賂的和合本」
[00:02:11.000 --> 00:02:14.000]  「那時約翰還活有下載奸類」
[00:02:14.000 --> 00:02:16.000]  即是說他還是活動自由
[00:02:16.000 --> 00:02:19.000]  未被希臘王捉
[00:02:19.000 --> 00:02:22.000]  「約翰的門徒和一個猶太人」
[00:02:22.000 --> 00:02:24.000]  約翰的門徒不是約翰
[00:02:24.000 --> 00:02:27.000]  「約翰的門徒和一個猶太人辯論」
[00:02:27.000 --> 00:02:31.000]  「辯論關於潔淨的禮」
[00:02:31.000 --> 00:02:34.000]  「行什麼禮才能令人潔淨」
[00:02:34.000 --> 00:02:36.000]  可能你知道施洗約翰
[00:02:36.000 --> 00:02:37.000]  只行一種禮
[00:02:37.000 --> 00:02:40.000]  就是「悔改的洗禮」
[00:02:40.000 --> 00:02:42.000]  可能這個猶太人覺得
[00:02:42.000 --> 00:02:46.000]  「悔改的洗禮不夠潔淨」
[00:02:46.000 --> 00:02:49.000]  「要多做些什麼」
[00:02:49.000 --> 00:02:52.000]  「我們有這麼多條的律例規定」
[00:02:52.000 --> 00:02:54.000]  「這樣才能潔淨」
[00:02:54.000 --> 00:02:56.000]  「你要多做些什麼才行」
[00:02:56.000 --> 00:02:58.000]  「如果你要表達悔改與潔淨」
[00:02:58.000 --> 00:03:00.000]  「要多做些什麼」
[00:03:00.000 --> 00:03:02.000]  可能這個猶太人
[00:03:02.000 --> 00:03:07.000]  「一個猶太人和約翰的門徒辯論」
[00:03:07.000 --> 00:03:12.000]  那個門徒來見約翰
[00:03:12.000 --> 00:03:13.000]  「拉比」
[00:03:13.000 --> 00:03:16.000]  「從前跟你在約旦河外」
[00:03:16.000 --> 00:03:18.000]  「你所見證的那位」
[00:03:18.000 --> 00:03:20.000]  「現在都開始施洗」
[00:03:20.000 --> 00:03:24.000]  「眾人都往他那裡去了」
[00:03:24.000 --> 00:03:26.000]  「約翰說」
[00:03:26.000 --> 00:03:29.000]  「若不是從天上賜的」
[00:03:29.000 --> 00:03:32.000]  「人就不能得神」
[00:03:32.000 --> 00:03:34.000]  「我曾說我不是基督」
[00:03:34.000 --> 00:03:38.000]  「是奉差遣在他前面的」
[00:03:38.000 --> 00:03:41.000]  「你們可以給我作見證」
[00:03:41.000 --> 00:03:42.000]  「我一直都這樣說」
[00:03:42.000 --> 00:03:43.000]  「我不是基督」
[00:03:43.000 --> 00:03:47.000]  「我是奉差遣在他前面做事」
[00:03:47.000 --> 00:03:49.000]  「你們都知道我經常這樣說」
[00:03:49.000 --> 00:03:50.000]  「你們可以為我作見證」
[00:03:50.000 --> 00:03:51.000]  「支持我」
[00:03:51.000 --> 00:03:53.000]  「我沒有說我是基督」
[00:03:53.000 --> 00:03:57.000]  「眾人都往他那裡去了」
[00:03:57.000 --> 00:03:58.000]  「不要緊」
[00:03:58.000 --> 00:04:00.000]  「若不是從天上賜的」
[00:04:00.000 --> 00:04:02.000]  「人就不能得神」
[00:04:02.000 --> 00:04:04.000]  「若不是從天上賜的」
[00:04:04.000 --> 00:04:06.000]  「人就會往他那裡去了」
[00:04:06.000 --> 00:04:07.000]  第29次
[00:04:07.000 --> 00:04:10.000]  「娶新婦的是新郎」
[00:04:10.000 --> 00:04:12.000]  「新郎的朋友只不過在旁邊」
[00:04:12.000 --> 00:04:13.000]  「站著贈慶」
[00:04:13.000 --> 00:04:15.000]  「好嘢好嘢好嘢」
[00:04:15.000 --> 00:04:19.000]  「聽見新郎的聲音就甚喜樂」
[00:04:19.000 --> 00:04:20.000]  「站在他旁邊」
[00:04:20.000 --> 00:04:22.000]  「他說話說得對」
[00:04:22.000 --> 00:04:23.000]  「好嘢好嘢」
[00:04:23.000 --> 00:04:24.000]  「今日好開心」
[00:04:24.000 --> 00:04:25.000]  「好叻」
[00:04:25.000 --> 00:04:28.000]  「故此我的喜樂滿足了」
[00:04:28.000 --> 00:04:30.000]  「因為我見到新郎哥在」
[00:04:30.000 --> 00:04:33.000]  「我只不過是伴郎而已」
[00:04:33.000 --> 00:04:35.000]  「聽到新郎哥的聲音」
[00:04:35.000 --> 00:04:37.000]  「我就好開心了」
