
[00:00:00.000 --> 00:00:02.000]  (主席)各位弟兄姊妹
[00:00:02.000 --> 00:00:05.080]  今天下午我們在這個地方
[00:00:05.080 --> 00:00:08.080]  是獻上我們的感恩
[00:00:08.080 --> 00:00:10.080]  送我們很多頌讚
[00:00:10.080 --> 00:00:12.980]  感謝神也讓私下的生命堂
[00:00:12.980 --> 00:00:16.080]  有不少弟兄姊妹願意藉著詩歌
[00:00:16.080 --> 00:00:18.080]  去歌頌讚美神
[00:00:18.080 --> 00:00:20.080]  傳承恩典
[00:00:20.080 --> 00:00:22.080]  興起發光
[00:00:22.080 --> 00:00:27.080]  在八十年前
[00:00:27.080 --> 00:00:31.080]  我相信當那班先賢
[00:00:31.080 --> 00:00:34.080]  他們開始一起聚會的時候
[00:00:34.080 --> 00:00:36.080]  不知道他們會不會想到
[00:00:36.080 --> 00:00:38.080]  今天這個光景
[00:00:38.080 --> 00:00:41.080]  如果我們今天在這裡一同聚集
[00:00:41.080 --> 00:00:43.080]  也很難想像
[00:00:43.080 --> 00:00:46.080]  我想應該再沒有八十年了吧
[00:00:46.080 --> 00:00:49.080]  我們希望早點回來
[00:00:49.080 --> 00:00:51.080]  但若然有的時候
[00:00:51.080 --> 00:00:53.080]  到時又怎樣呢
[00:00:53.080 --> 00:00:56.080]  昔日他們創業
[00:00:56.080 --> 00:00:58.080]  或者叫建堂
[00:00:58.080 --> 00:01:00.080]  那件大事
[00:01:00.080 --> 00:01:04.080]  是不是傳到今天
[00:01:04.080 --> 00:01:07.080]  昔日他們
[00:01:07.080 --> 00:01:10.080]  無論是在事工上的發展
[00:01:10.080 --> 00:01:12.080]  是不是也傳到今天呢
[00:01:12.080 --> 00:01:14.080]  我很相信那個核心
[00:01:14.080 --> 00:01:16.080]  不是在於那個建築物
[00:01:16.080 --> 00:01:18.080]  不是在於事工
[00:01:18.080 --> 00:01:20.080]  是在於昔日的先賢
[00:01:20.080 --> 00:01:22.080]  他領受了神的恩典
[00:01:22.080 --> 00:01:24.080]  或者說得更加切實一點
[00:01:24.080 --> 00:01:27.080]  就是他們領受了福音
[00:01:27.080 --> 00:01:30.080]  他們就這個福音傳下去
[00:01:30.080 --> 00:01:32.080]  他們領受了恩典
[00:01:32.080 --> 00:01:34.080]  就將這個恩典傳下去
[00:01:34.080 --> 00:01:37.080]  所以今天我們一同在這裡承受了
[00:01:37.080 --> 00:01:41.080]  昔日他們所領受從神而來的恩典
[00:01:41.080 --> 00:01:43.080]  今天我們有這個責任
[00:01:43.080 --> 00:01:45.080]  要將它傳下去
[00:01:45.080 --> 00:01:49.080]  如果我們沒有福音拿到
[00:01:49.080 --> 00:01:52.080]  我們沒有福音可以傳給人
[00:01:52.080 --> 00:01:54.080]  我們沒有恩典拿到
[00:01:54.080 --> 00:01:56.080]  我們也沒有恩典可以傳給人
[00:01:56.080 --> 00:01:59.080]  這一切都是從神而來的
[00:01:59.080 --> 00:02:01.080]  所以八十年了
[00:02:01.080 --> 00:02:05.080]  今天對尖沙咀生命堂的頂尖姐妹來說
[00:02:05.080 --> 00:02:08.080]  其實不是一個轉捩點
[00:02:08.080 --> 00:02:12.080]  而是一個承傳的過程
[00:02:12.080 --> 00:02:16.080]  過程是不斷要將神給我們的
[00:02:16.080 --> 00:02:18.080]  能夠傳出去
[00:02:21.080 --> 00:02:25.080]  剛好在過去這麼多的日子中間
[00:02:25.080 --> 00:02:28.080]  無論是我們安排這個程序
[00:02:28.080 --> 00:02:30.080]  我相信我們籌委會他們在安排的時候
[00:02:30.080 --> 00:02:32.080]  是很有心思
[00:02:32.080 --> 00:02:37.080]  是將幾年裡面教會所得到的
[00:02:37.080 --> 00:02:40.080]  一路一路這樣就發放出去
[00:02:40.080 --> 00:02:45.080]  這個月我們一班十幾歲
[00:02:45.080 --> 00:02:47.080]  三個青年人的見證
[00:02:47.080 --> 00:02:51.080]  上個月是二十歲的
[00:02:51.080 --> 00:02:53.080]  再上個月是三十歲的
[00:02:53.080 --> 00:02:55.080]  所以在四月份開始
[00:02:55.080 --> 00:02:57.080]  八十歲那三位老人家的見證
[00:02:57.080 --> 00:02:59.080]  一路看見證的時候
[00:02:59.080 --> 00:03:01.080]  都不期然發覺一件事情
[00:03:01.080 --> 00:03:05.080]  是神在他們每個人身上的工作
[00:03:05.080 --> 00:03:08.080]  他們成為一個活的見證人
[00:03:08.080 --> 00:03:12.080]  將神的恩典一路一路傳下去
[00:03:12.080 --> 00:03:14.080]  希望求主繼續賜福
[00:03:14.080 --> 00:03:18.080]  使家屬生命能夠繼續為主發光
[00:03:18.080 --> 00:03:20.080]  一講到為主發光的時候
[00:03:20.080 --> 00:03:22.080]  今天所讀兩段經文
[00:03:22.080 --> 00:03:23.080]  耶穌對眾人說
[00:03:23.080 --> 00:03:25.080]  我就是世界的光
[00:03:25.080 --> 00:03:27.080]  跟從我的必不在黑暗裡走
[00:03:27.080 --> 00:03:29.080]  要得著生命的光
[00:03:29.080 --> 00:03:31.080]  我們知道耶穌在這裡說的光
[00:03:31.080 --> 00:03:34.080]  不是指我們生活中間
[00:03:34.080 --> 00:03:38.080]  所要透過我們的視網膜
[00:03:38.080 --> 00:03:40.080]  我們的眼睛看到的光
[00:03:40.080 --> 00:03:43.080]  那是生命的光
[00:03:43.080 --> 00:03:46.080]  今天我們說要為神發光
[00:03:46.080 --> 00:03:47.080]  發什麼光?
[00:03:47.080 --> 00:03:50.080]  是從哪裡發出來的?
[00:03:50.080 --> 00:03:52.080]  我為了這個題目想了一輪的時候
[00:03:52.080 --> 00:03:55.080]  或者我比較在知識
[00:03:55.080 --> 00:03:58.080]  或者在靈力上是弱一點
[00:03:58.080 --> 00:04:00.080]  我想來想去想不到
[00:04:00.080 --> 00:04:02.080]  我怎麼可以發光?
[00:04:02.080 --> 00:04:04.080]  我真的想不到
[00:04:04.080 --> 00:04:05.080]  我不知道你想不想到
[00:04:05.080 --> 00:04:07.080]  你怎麼可以發光?
[00:04:07.080 --> 00:04:09.080]  有一天早上五點多
[00:04:09.080 --> 00:04:11.080]  我起來看聖經的時候
[00:04:11.080 --> 00:04:13.080]  我看到東邊
[00:04:13.080 --> 00:04:15.080]  太陽就出來了
[00:04:15.080 --> 00:04:17.080]  當時我起來的時候
[00:04:17.080 --> 00:04:19.080]  天還是黑的
