
[00:00:00.000 --> 00:00:04.280]  今天也嘗試跟大家分享一個題目
[00:00:04.280 --> 00:00:06.600]  題目叫「你有幾醒」
[00:00:06.600 --> 00:00:10.000]  所以你可以看看你旁邊的人
[00:00:10.000 --> 00:00:13.540]  看看他醒不醒
[00:00:13.540 --> 00:00:17.620]  又或者你想想你自己醒不醒
[00:00:17.620 --> 00:00:19.700]  我想其實你們一定會醒的
[00:00:19.700 --> 00:00:23.440]  因為你們星期天回來教會
[00:00:23.440 --> 00:00:26.520]  回來敬拜神一定會醒的
[00:00:26.520 --> 00:00:29.720]  不過醒得來你去到什麼程度呢
[00:00:29.720 --> 00:00:32.480]  今天值得去思考一下
[00:00:32.480 --> 00:00:35.680]  好了 今天既然要看看你有幾醒
[00:00:35.680 --> 00:00:39.760]  所以首先真的要考考大家醒不醒
[00:00:39.760 --> 00:00:41.520]  給大家一條題目
[00:00:41.520 --> 00:00:44.420]  儘管試試大家是否能夠答得到
[00:00:44.420 --> 00:00:46.920]  有一次要去過關
[00:00:46.920 --> 00:00:52.000]  過關裡面那個人帶了1.1米的魚竿去過關
[00:00:52.000 --> 00:00:54.360]  但是入關的要求就是
[00:00:54.360 --> 00:00:58.080]  物件只可以一米長
[00:00:58.080 --> 00:01:00.360]  如果是這樣的情況下你怎麼能夠
[00:01:00.360 --> 00:01:02.200]  將你的魚竿帶上關呢
[00:01:02.200 --> 00:01:03.400]  因為我也面對了這個問題
[00:01:03.400 --> 00:01:06.240]  因為我們大魚毛球拍要搭飛機來
[00:01:06.240 --> 00:01:07.840]  都是有這個問題
[00:01:07.840 --> 00:01:11.280]  不過考考大家可以怎麼解決這個問題呢
[00:01:11.280 --> 00:01:12.720]  它只可以一米
[00:01:12.720 --> 00:01:14.800]  長過一米是不可以的
[00:01:14.800 --> 00:01:17.440]  但是你的魚竿已經收到最短的
[00:01:17.440 --> 00:01:19.280]  就是1.1米
[00:01:19.280 --> 00:01:25.200]  給錢 給錢給誰啊
[00:01:25.200 --> 00:01:29.000]  貴一點 有什麼方法解決啊
[00:01:29.000 --> 00:01:30.600]  怎樣啊
[00:01:30.600 --> 00:01:33.480]  橫向來
[00:01:33.480 --> 00:01:37.160]  那它也是1.1米的嘛 你明白嗎
[00:01:37.160 --> 00:01:38.080]  都是1.1米的嘛
[00:01:38.080 --> 00:01:42.120]  你橫向打洞也是1.1米的嘛
[00:01:42.120 --> 00:01:46.280]  那就考考大家吧
[00:01:46.280 --> 00:01:47.360]  可能你心裡面會答
[00:01:47.360 --> 00:01:49.800]  不過你想給我搞個氣氛而已
[00:01:49.800 --> 00:01:52.600]  答案其實很簡單
[00:01:52.600 --> 00:01:54.400]  長度限制一米
[00:01:54.400 --> 00:01:57.200]  但是如果你將這個魚竿放在一個盒子裡面
[00:01:57.200 --> 00:02:00.840]  那個盒子的闊度是譬如0.5米
[00:02:00.840 --> 00:02:02.320]  0.5米闊的盒子
[00:02:02.320 --> 00:02:04.320]  再加上一米長的盒子
[00:02:04.320 --> 00:02:07.040]  那麼這個盒子就沒有過一米了
[00:02:07.040 --> 00:02:08.640]  但是你將魚竿橫向擺放
[00:02:08.640 --> 00:02:10.160]  是不是夠位置擺放啊
[00:02:10.160 --> 00:02:13.320]  所以其實是夠位置擺放的
[00:02:13.320 --> 00:02:16.600]  所以大家想想
[00:02:16.600 --> 00:02:17.680]  你的繩子
[00:02:17.680 --> 00:02:19.640]  我們熱身一下
[00:02:19.640 --> 00:02:21.200]  看看你夠不夠繩子
[00:02:21.200 --> 00:02:24.560]  那麼當然我們今天思考一個很重要的題目
[00:02:24.560 --> 00:02:27.920]  就是我們在說繩子不繩子的時候
[00:02:27.920 --> 00:02:32.240]  你的繩子能不能讓耶穌讚你聰明
[00:02:32.240 --> 00:02:36.280]  因為我們都要成為一個聰明的上帝的兒女
[00:02:36.280 --> 00:02:37.920]  基督徒
[00:02:37.920 --> 00:02:42.720]  所以我們今天都會藉著再一次用耶穌的比喻
[00:02:42.720 --> 00:02:46.120]  特別我之前跟大家講過了
