
[00:00:00.000 --> 00:00:04.160]  再透過報紙看到很多關於印度的負面的一些消息
[00:00:04.160 --> 00:00:06.860]  譬如污糟、混亂
[00:00:06.860 --> 00:00:08.620]  譬如骯髒、混亂
[00:00:08.620 --> 00:00:10.620]  對女性那份的不尊重
[00:00:10.620 --> 00:00:12.000]  對女性的不尊重
[00:00:12.000 --> 00:00:14.600]  我去到見到都是有這些情況
[00:00:14.600 --> 00:00:16.880]  我到現場我看到也是發現是這樣子
[00:00:16.880 --> 00:00:20.500]  都難怪那些女士就斬釘截鐵說我一定不會去印度的
[00:00:20.500 --> 00:00:23.240]  難怪女士們會斬釘截鐵說我一定不會去印度
[00:00:23.240 --> 00:00:26.740]  但是大家知不知道呢,原來在印度的裏面呢
[00:00:26.740 --> 00:00:28.740]  不曉得大家知不知道在印度裏面
[00:00:28.740 --> 00:00:32.040]  有一個地方叫做密索蘭
[00:00:32.040 --> 00:00:34.040]  有一個地方叫密索蘭
[00:00:34.040 --> 00:00:36.940]  那裏是群山環繞風光如畫
[00:00:36.940 --> 00:00:39.440]  那裏群山環繞風光如畫
[00:00:39.440 --> 00:00:41.280]  我們說是世外桃源都差不多
[00:00:41.280 --> 00:00:44.080]  我們可以這麼說,它像世外桃源
[00:00:44.080 --> 00:00:46.480]  他們世世代代住著這些密索蘭人
[00:00:46.480 --> 00:00:48.480]  當地世世代代住著這一群的密索蘭人
[00:00:48.480 --> 00:00:50.080]  他們有蒙古人的血統
[00:00:50.080 --> 00:00:52.080]  他們擁有蒙古人的血統
[00:00:52.080 --> 00:00:54.260]  人口大概75萬
[00:00:54.260 --> 00:00:55.920]  人口大約75萬人
[00:00:55.920 --> 00:00:59.240]  這個地區和印度其他地方
[00:00:59.240 --> 00:01:01.240]  有一個很截然不同的地方呢
[00:01:01.240 --> 00:01:04.040]  這個地方跟其他的印度地方有些不同的
[00:01:04.040 --> 00:01:05.800]  不是因為他們耕種的能力
[00:01:05.800 --> 00:01:07.000]  不是他們耕種的能力
[00:01:07.000 --> 00:01:08.720]  不是他們得天獨厚的環境
[00:01:08.720 --> 00:01:10.240]  不是他們得天獨厚的地理環境
[00:01:10.240 --> 00:01:11.840]  如果你們了解他們的環境呢
[00:01:11.840 --> 00:01:13.180]  如果你們了解他們的環境的話
[00:01:13.180 --> 00:01:16.560]  他們那個處生的環境其實是岌岌可危的
[00:01:16.560 --> 00:01:18.960]  他們所處生的地位是岌岌可危
[00:01:18.960 --> 00:01:21.760]  西面有信奉回教的孟加拉
[00:01:21.760 --> 00:01:24.240]  西面有信奉回教的孟加拉
[00:01:24.240 --> 00:01:28.360]  東南面有信奉緬甸信奉佛教
[00:01:28.360 --> 00:01:31.000]  東南面有信奉佛教的緬甸
[00:01:31.000 --> 00:01:35.120]  北面有印度其他印度教的省份
[00:01:35.120 --> 00:01:38.360]  北面主要是印度教信奉印度教的省份
[00:01:38.360 --> 00:01:41.440]  再翻查墨索蘭的歷史
[00:01:41.440 --> 00:01:43.160]  我們再翻查墨索蘭的歷史
[00:01:43.160 --> 00:01:45.640]  他們信奉一個叫巴旦的邪靈
