
[00:00:00.000 --> 00:00:02.000]  我們再一次低頭禱告
[00:00:02.000 --> 00:00:05.000]  天父說你是榮耀的君王
[00:00:05.000 --> 00:00:07.000]  你妻你的兒子
[00:00:07.000 --> 00:00:09.000]  在第一個聖誕節的時候
[00:00:09.000 --> 00:00:13.000]  成為我們全人類最寶貴的禮物
[00:00:13.000 --> 00:00:16.000]  我們從來都沒收過一份這麼寶貴的禮物
[00:00:16.000 --> 00:00:18.000]  這麼貴重的禮物
[00:00:18.000 --> 00:00:21.000]  但是就是你的兒子
[00:00:21.000 --> 00:00:24.000]  將他自己的生命
[00:00:24.000 --> 00:00:27.000]  成為我們的禮物的一樣
[00:00:27.000 --> 00:00:29.000]  來賜給我們
[00:00:29.000 --> 00:00:31.000]  今天就因為你的兒子
[00:00:31.000 --> 00:00:33.000]  我們有了永生的盼望
[00:00:33.000 --> 00:00:35.000]  求你都幫助我們
[00:00:35.000 --> 00:00:36.000]  在這個聖誕節的期間
[00:00:36.000 --> 00:00:37.000]  當我們慶祝
[00:00:37.000 --> 00:00:39.000]  當我們去歡呼的時候
[00:00:39.000 --> 00:00:42.000]  叫我們不只是給這個世界
[00:00:42.000 --> 00:00:44.000]  很多的吃喝玩樂
[00:00:44.000 --> 00:00:48.000]  關於聖誕的那些
[00:00:48.000 --> 00:00:52.000]  其中各方面的
[00:00:52.000 --> 00:00:54.000]  無論是禮物啊 物質啊
[00:00:54.000 --> 00:00:56.000]  或者是其他的東西
[00:00:56.000 --> 00:00:59.000]  都會遮蓋了聖誕真正的意義
[00:00:59.000 --> 00:01:00.000]  就是紀念到
[00:01:00.000 --> 00:01:03.000]  我們可以領受神的救恩
[00:01:03.000 --> 00:01:06.000]  原理都是親自的跟我們說話
[00:01:06.000 --> 00:01:07.000]  奉行宗基督教的祈求
[00:01:07.000 --> 00:01:09.000]  阿們
[00:01:09.000 --> 00:01:12.000]  不知道大家有沒有想過
[00:01:12.000 --> 00:01:17.000]  一個人多久可以不吃東西
[00:01:17.000 --> 00:01:19.000]  大家知不知道
[00:01:19.000 --> 00:01:21.000]  我看過研究
[00:01:21.000 --> 00:01:23.000]  原來說一個人不吃東西
[00:01:23.000 --> 00:01:26.000]  是可以40天的
[00:01:26.000 --> 00:01:28.000]  一個人可以40天不吃東西
[00:01:28.000 --> 00:01:31.000]  所以聖經說的耶穌禁食40天
[00:01:31.000 --> 00:01:34.000]  摩西禁食40天是可以的
[00:01:34.000 --> 00:01:37.000]  當然身體需要有一些調節
[00:01:37.000 --> 00:01:40.000]  但是要喝水的
[00:01:40.000 --> 00:01:44.000]  不喝水誰知道可以多久呢
