
[00:00:00.000 --> 00:00:04.800]  《若霜暗記》已經去到尾聲差不多最後的部分
[00:00:04.800 --> 00:00:06.600]  我們透過第十一章裏面
[00:00:06.600 --> 00:00:09.900]  一場是《若霜暗記》的那麼多場戰爭裏面
[00:00:09.900 --> 00:00:11.200]  亦都是最後一場戰爭
[00:00:11.200 --> 00:00:13.800]  亦都是最大型最激烈的戰爭
[00:00:13.800 --> 00:00:15.100]  在這場戰爭裏面
[00:00:15.100 --> 00:00:17.300]  我們想講的題目叫做
[00:00:17.300 --> 00:00:20.200]  「剛強壯膽,長大成人」
[00:00:20.200 --> 00:00:21.200]  和你旁邊聽到的聲音
[00:00:21.200 --> 00:00:23.700]  你要「剛強壯膽,長大成人」
[00:00:23.700 --> 00:00:29.600]  在《若霜暗記》十一章的第一節開始
[00:00:29.600 --> 00:00:32.300]  第五節請大家聽我讀出一段經文
[00:00:32.300 --> 00:00:34.100]  請大家在聖經裏聽我讀出一段經文
[00:00:34.100 --> 00:00:34.700]  這段經文是這樣說的
[00:00:34.700 --> 00:00:35.300]  它說
[00:00:35.300 --> 00:00:37.300]  夏娑王耶賓聽見了
[00:00:37.300 --> 00:00:41.200]  就派人到馬頓王約巴新倫王
[00:00:41.200 --> 00:00:43.700]  阿薩王和北方山區
[00:00:43.700 --> 00:00:45.900]  基里列南邊的阿拉巴
[00:00:45.900 --> 00:00:48.900]  低地西邊多爾山江的珠王
[00:00:48.900 --> 00:00:51.600]  以及東方和西方的加南人
[00:00:51.600 --> 00:00:53.000]  山區的摩利人
[00:00:53.000 --> 00:00:54.700]  黑人、比利、洗人
[00:00:54.700 --> 00:00:57.000]  耶布斯人和黑門山下
[00:00:57.000 --> 00:01:00.200]  米斯巴蒂的希美人那裏
[00:01:00.200 --> 00:01:02.600]  他們和他們的眾軍都出來
[00:01:02.600 --> 00:01:04.400]  一大隊的人馬
[00:01:04.400 --> 00:01:06.200]  多如海邊的沙
[00:01:06.200 --> 00:01:08.400]  並有極多的戰馬
[00:01:08.400 --> 00:01:10.200]  眾王組成聯軍
[00:01:10.200 --> 00:01:12.800]  來到米倫水邊一同安營
[00:01:12.800 --> 00:01:14.600]  要與以色列作戰
[00:01:14.600 --> 00:01:16.300]  為什麼要來到米倫水邊呢
[00:01:16.300 --> 00:01:18.000]  因為在地勢來講
[00:01:18.000 --> 00:01:19.500]  那裏是一個大平原
[00:01:19.500 --> 00:01:21.300]  如果以一個聯軍來講
[00:01:21.300 --> 00:01:23.600]  是需要一個大平原去集結的
[00:01:23.600 --> 00:01:26.900]  但是今次的聯盟是非常之緊要
[00:01:26.900 --> 00:01:30.800]  聯合了中南部和北方的聯軍
[00:01:30.800 --> 00:01:33.000]  我們先要再一次交代
[00:01:33.000 --> 00:01:36.000]  整個約書亞記的歷史背景
[00:01:36.000 --> 00:01:38.900]  其實加南地是上帝
[00:01:38.900 --> 00:01:41.200]  一早已經應許了
[00:01:41.200 --> 00:01:44.400]  以色列人最早的祖先叫阿伯拉罕
[00:01:44.400 --> 00:01:46.400]  當然我們如果要再追講阿當
[00:01:46.400 --> 00:01:50.400]  但是阿伯拉罕被稱為希伯來人
[00:01:50.400 --> 00:01:52.500]  因為他由河那邊過來
[00:01:52.500 --> 00:01:54.400]  由河東那邊過河過來
[00:01:54.400 --> 00:01:58.000]  希伯來的意思就是河那邊過來的意思
[00:01:58.000 --> 00:02:00.200]  就稱為叫做希伯來人
[00:02:00.200 --> 00:02:04.200]  直至到阿伯拉罕以撒瓦國到瓦國的時候
[00:02:04.200 --> 00:02:06.000]  才稱為叫做以色列
[00:02:06.000 --> 00:02:08.200]  所以就被稱為以色列國
[00:02:08.200 --> 00:02:12.300]  在阿伯拉罕去到加南地的時候
[00:02:12.300 --> 00:02:13.800]  上帝就跟阿伯拉罕講
[00:02:13.800 --> 00:02:14.800]  他應許他
[00:02:14.800 --> 00:02:16.800]  他腳所踏之地
[00:02:16.800 --> 00:02:21.000]  無論北至南 東至西
[00:02:21.000 --> 00:02:23.100]  他腳掌所踏之地
[00:02:23.100 --> 00:02:25.400]  都要賜予他和他的後裔
[00:02:25.400 --> 00:02:26.800]  但是沒有馬上賜給他
[00:02:26.800 --> 00:02:30.400]  因為加南七族的罪惡還未滿盈
[00:02:30.400 --> 00:02:32.400]  直至到阿伯拉罕生以撒
[00:02:32.400 --> 00:02:33.400]  以撒生瓦國
[00:02:33.400 --> 00:02:34.400]  瓦國生了12個兒子
[00:02:34.400 --> 00:02:35.400]  其中一個兒子就是約瑟
[00:02:35.400 --> 00:02:37.200]  約瑟被賣到埃及
[00:02:37.200 --> 00:02:39.400]  後來成為了埃及的宰相
[00:02:39.400 --> 00:02:40.900]  約瑟死了之後
[00:02:40.900 --> 00:02:42.900]  新的埃及皇帝上來
[00:02:42.900 --> 00:02:44.900]  這班人不認識約瑟
[00:02:44.900 --> 00:02:46.900]  看聖經的時候我們莫知明白
[00:02:46.900 --> 00:02:48.100]  怎麼會不認識約瑟呢
[00:02:48.100 --> 00:02:50.100]  應該是沒什麼可能的
[00:02:50.100 --> 00:02:52.400]  但是在埃及歷史裡面告訴我們
[00:02:52.400 --> 00:02:54.400]  一個新起的民族
[00:02:54.400 --> 00:02:58.400]  和原先那批佔領統治埃及的民族
[00:02:58.400 --> 00:02:59.400]  是完全不一樣的
