
[00:00:00.000 --> 00:00:03.980]  教會一直都會牧養
[00:00:03.980 --> 00:00:06.440]  但是在牧養的模式裡面是怎樣呢?
[00:00:06.440 --> 00:00:10.680]  今天教會要求我說的道就是耶穌牧養的工作
[00:00:10.680 --> 00:00:14.020]  事實上耶穌基督來到這個世界的時候
[00:00:14.020 --> 00:00:17.520]  就是在去實踐一些我們看不到的東西
[00:00:17.520 --> 00:00:19.220]  愛是看不到的
[00:00:19.220 --> 00:00:23.040]  但是愛是可以藉著行動去表現出來的
[00:00:23.040 --> 00:00:24.240]  當你愛一個人
[00:00:24.240 --> 00:00:26.120]  當他離開世界的時候
[00:00:26.120 --> 00:00:28.200]  可能你會很傷心難過
[00:00:28.200 --> 00:00:29.460]  你會流眼淚
[00:00:29.460 --> 00:00:33.100]  但是不是用科學去分析眼淚有什麼成分
[00:00:33.100 --> 00:00:35.840]  是因為你對他的那份愛
[00:00:35.840 --> 00:00:37.740]  所以今天看不見的神
[00:00:37.740 --> 00:00:39.940]  就藉著耶穌基督活在這個世上
[00:00:39.940 --> 00:00:42.140]  耶穌基督成為我們的榜樣
[00:00:42.140 --> 00:00:43.640]  所以我們要去留意
[00:00:43.640 --> 00:00:46.320]  究竟我們怎麼去學習
[00:00:46.320 --> 00:00:47.680]  有什麼反省呢?
[00:00:47.680 --> 00:00:50.840]  好,第一點就是我們要去看
[00:00:50.840 --> 00:00:55.280]  就是耶穌基督是很清晰自己的使命
[00:00:55.280 --> 00:00:58.720]  也勇於承擔這個使命
[00:00:58.720 --> 00:01:03.420]  我們來看看耶穌當他12歲的時候
[00:01:03.420 --> 00:01:06.700]  他不是跟著父母去了耶路撒冷嗎?
[00:01:06.700 --> 00:01:08.660]  後來流失了
[00:01:08.660 --> 00:01:09.400]  為什麼呢?
[00:01:09.400 --> 00:01:12.560]  原來耶穌留在了聖殿裡面
[00:01:12.560 --> 00:01:16.160]  跟別人去分享神的說話
[00:01:16.160 --> 00:01:18.640]  後來當媽媽找到他的時候就問他
[00:01:18.640 --> 00:01:21.640]  為什麼?做些什麼?
[00:01:21.640 --> 00:01:23.940]  原來這裡看不見卡通的
[00:01:23.940 --> 00:01:25.180]  OK
[00:01:25.180 --> 00:01:30.780]  耶穌就說到在《路金第二章》第49節講到
[00:01:30.780 --> 00:01:33.560]  耶穌說為什麼要找我呢?
[00:01:33.560 --> 00:01:37.920]  豈不知我應當以我的父的事為念
[00:01:37.920 --> 00:01:40.760]  他很清晰自己的方向
[00:01:40.760 --> 00:01:44.700]  很清晰自己來到這個世界的目標是什麼
[00:01:44.700 --> 00:01:48.140]  所以就算很小的年紀12歲也好
[00:01:48.140 --> 00:01:52.240]  他也懂得怎麼帶人去跟媽媽說
[00:01:52.240 --> 00:01:54.640]  我應該是以我的父的事為念
[00:01:54.640 --> 00:01:57.040]  當他出來工作的時候
[00:01:57.040 --> 00:02:00.980]  他面對著被別人政治上的迫害
[00:02:00.980 --> 00:02:03.480]  就快復活節了
[00:02:03.480 --> 00:02:04.880]  以及受苦節
[00:02:04.880 --> 00:02:06.020]  如果你有否留意到
[00:02:06.020 --> 00:02:10.060]  耶穌也被別人用政治的藉口將他釘死
[00:02:10.060 --> 00:02:15.760]  就是說他要去羅馬政府管治那群猶太人
[00:02:15.760 --> 00:02:19.700]  但是這群祭司是不滿耶穌
[00:02:19.700 --> 00:02:21.840]  以及這邊的民事和法理賽人
[00:02:21.840 --> 00:02:23.800]  於是他們做什麼呢?
[00:02:23.800 --> 00:02:26.580]  他們就去指責耶穌
[00:02:26.580 --> 00:02:27.740]  誣衊耶穌
[00:02:27.740 --> 00:02:29.480]  說耶穌要搞獨立
[00:02:29.480 --> 00:02:30.780]  要搞猶大
[00:02:30.780 --> 00:02:33.180]  要做猶太人的王
[00:02:33.180 --> 00:02:35.380]  於是就抓了他
[00:02:35.380 --> 00:02:39.380]  比拉多就去問耶穌
[00:02:39.380 --> 00:02:40.420]  看到了
[00:02:40.420 --> 00:02:43.560]  可能如果關了燈
[00:02:43.560 --> 00:02:47.300]  就變成了大家看 PowerPoint 看得清楚一點
[00:02:47.300 --> 00:02:49.100]  因為
[00:02:49.100 --> 00:02:50.360]  是不是清楚很多呢?
[00:02:50.360 --> 00:02:52.400]  我的樣子不需要看的
[00:02:52.400 --> 00:02:54.840]  好了 比拉多就對他說
[00:02:54.840 --> 00:02:56.840]  這樣你是王嗎?
[00:02:56.840 --> 00:02:58.340]  耶穌回答說
[00:02:58.340 --> 00:02:59.500]  你說
[00:02:59.500 --> 00:03:00.740]  我是王
[00:03:00.740 --> 00:03:02.280]  我為此而生
[00:03:02.280 --> 00:03:04.880]  又為此來到世間
[00:03:04.880 --> 00:03:08.840]  得為給真理作見證
[00:03:08.840 --> 00:03:10.780]  凡屬真理的人
[00:03:10.780 --> 00:03:12.520]  就聽我的話
[00:03:12.520 --> 00:03:13.760]  看到了嗎?
[00:03:13.760 --> 00:03:16.220]  耶穌面對這個凶險
[00:03:16.220 --> 00:03:18.600]  別人來帶去誣衊他
[00:03:18.600 --> 00:03:20.020]  但是跟著比拉多就問他
[00:03:20.020 --> 00:03:21.620]  你是不是要做猶太人的王?
[00:03:21.620 --> 00:03:23.120]  當然耶穌所說的王
[00:03:23.120 --> 00:03:25.460]  絕對不是一個政治上的君王
[00:03:25.460 --> 00:03:27.760]  但是他也說這是我的使命
[00:03:27.760 --> 00:03:29.400]  他知道當他這麼說完之後
[00:03:29.400 --> 00:03:32.380]  要面對的是一個很大的挑戰和苦楚
[00:03:32.380 --> 00:03:34.800]  但是他仍然有所堅持
[00:03:34.800 --> 00:03:36.940]  他不會放棄
[00:03:36.940 --> 00:03:38.080]  所以你留意到
[00:03:38.080 --> 00:03:41.420]  原來耶穌在世上短短三十多年的時間
[00:03:41.420 --> 00:03:43.420]  他很清晰自己的目標
[00:03:43.420 --> 00:03:45.080]  他勇於來承擔
[00:03:45.080 --> 00:03:47.280]  不會來帶去逃避
[00:03:47.280 --> 00:03:48.680]  弟兄姊妹
[00:03:48.680 --> 00:03:49.880]  今天
[00:03:49.880 --> 00:03:52.560]  我不知道我們怎麼去回應
[00:03:52.560 --> 00:03:53.800]  耶穌基督
[00:03:53.800 --> 00:03:56.320]  這麼清楚自己的使命
[00:03:56.320 --> 00:03:57.700]  我想我們每一個屬主的人
[00:03:57.700 --> 00:03:59.540]  我們都很清楚知道自己
[00:03:59.540 --> 00:04:01.740]  是世上的鹽和世上的江
[00:04:01.740 --> 00:04:02.760]  是不是?
[00:04:02.760 --> 00:04:03.240]  好了
[00:04:03.240 --> 00:04:04.640]  但是鹽和江
[00:04:04.640 --> 00:04:08.000]  在哪個地方裡面都是鹽和江呢?
[00:04:08.000 --> 00:04:09.440]  所以今天可能
[00:04:09.440 --> 00:04:12.680]  你在不同時段來到英國
[00:04:12.680 --> 00:04:15.080]  但是我們不只是找一個
