
[00:00:00.000 --> 00:00:03.920]  幾個星期前有一個我不認識的女孩給我電話
[00:00:03.920 --> 00:00:13.020]  她問牧師可不可以探一探我將要離世的祖母
[00:00:13.020 --> 00:00:15.220]  當然我聽到之後馬上去
[00:00:15.220 --> 00:00:17.620]  和這個婆婆聊天的時候
[00:00:17.620 --> 00:00:20.340]  發覺這個婆婆原來是一個佛教徒
[00:00:20.340 --> 00:00:25.820]  她用了很多年的時間在佛堂裏面做義工
[00:00:25.820 --> 00:00:28.940]  我跟她講耶穌 講這個福音
[00:00:28.940 --> 00:00:31.260]  跟著跟我說牧師
[00:00:31.260 --> 00:00:35.460]  我信了這個佛已經信了幾十年了
[00:00:35.460 --> 00:00:37.580]  現在我臨最後的日子
[00:00:37.580 --> 00:00:41.980]  我不想轉信仰了
[00:00:41.980 --> 00:00:47.500]  跟著跟她講婆婆我想你想像一下這樣的情況
[00:00:47.500 --> 00:00:50.140]  你現在坐火車去一個地方
[00:00:50.140 --> 00:00:52.420]  一路坐一路坐的時候
[00:00:52.420 --> 00:00:54.860]  某個站你的朋友的朋友上來
[00:00:54.860 --> 00:00:56.860]  咦 這麼巧碰到你
[00:00:56.860 --> 00:01:01.620]  聊天的時候朋友就問這個婆婆你去哪裏
[00:01:01.620 --> 00:01:03.860]  婆婆就說我去哪裏
[00:01:03.860 --> 00:01:04.980]  跟著朋友就跟她講
[00:01:04.980 --> 00:01:06.540]  哎呀 你去那裏
[00:01:06.540 --> 00:01:08.580]  這輛車不是去那裏的
[00:01:08.580 --> 00:01:11.140]  你坐錯火車了
[00:01:11.140 --> 00:01:12.500]  婆婆就跟她講
[00:01:12.500 --> 00:01:14.740]  不要緊 我都坐了火車這麼久了
[00:01:14.740 --> 00:01:16.940]  繼續坐下去吧
[00:01:16.940 --> 00:01:18.860]  我就跟婆婆講
[00:01:18.860 --> 00:01:25.220]  你覺得這個婆婆所講的是不是很沒道理呢
[00:01:25.220 --> 00:01:28.300]  婆婆跟著 我知道她在那裏心黑
[00:01:28.300 --> 00:01:30.620]  在想我所講的東西
[00:01:30.620 --> 00:01:32.580]  我見到她身體很累 精神很累
[00:01:32.580 --> 00:01:34.620]  我就離開了
[00:01:34.620 --> 00:01:36.860]  離開的時候我就跟她講
[00:01:36.860 --> 00:01:39.180]  你再思考一下我所講的東西
[00:01:39.180 --> 00:01:41.660]  過了一個多兩個星期之後
[00:01:41.660 --> 00:01:45.180]  這個孫女又打電話給我
[00:01:45.180 --> 00:01:48.820]  她就說牧師 我的婆婆想見你
[00:01:48.820 --> 00:01:50.100]  我當然去了
[00:01:50.100 --> 00:01:52.380]  好了 我去跟她聊天之後
[00:01:52.380 --> 00:01:53.940]  在那一次的探訪
[00:01:53.940 --> 00:01:56.060]  我就跟她做了一個缺志祈禱
[00:01:56.060 --> 00:01:57.540]  成為基督徒
[00:01:57.540 --> 00:01:59.300]  接著我離開了
[00:01:59.300 --> 00:02:01.100]  再過一個多星期之後
[00:02:01.100 --> 00:02:02.740]  我又回去探望她
[00:02:02.740 --> 00:02:06.140]  那次我跟她私行水禮
[00:02:06.140 --> 00:02:07.900]  那時候她的身體很弱很弱
[00:02:07.900 --> 00:02:09.620]  已經基本上說不出話來
[00:02:09.620 --> 00:02:11.580]  當我跟她說要施洗的時候
[00:02:11.580 --> 00:02:12.820]  她就說 牧師
[00:02:12.820 --> 00:02:14.500]  我一定要坐起來
[00:02:14.500 --> 00:02:15.420]  很辛苦的
[00:02:15.420 --> 00:02:17.020]  就由躺在那裏
[00:02:17.020 --> 00:02:18.940]  來坐起來
[00:02:18.940 --> 00:02:22.780]  看得到對神一個很大的尊重
