
[00:00:00.000 --> 00:00:02.060]  各位兄弟及女士,以慕慕平安
[00:00:02.060 --> 00:00:06.040]  我在過往的上年
[00:00:06.040 --> 00:00:07.640]  有一次的《牧者心聲》
[00:00:07.640 --> 00:00:10.080]  以及有一次的《講道》裏面
[00:00:10.080 --> 00:00:11.340]  我也有一個部分
[00:00:11.340 --> 00:00:13.700]  就是分享我
[00:00:13.700 --> 00:00:15.340]  怎樣看一個
[00:00:15.340 --> 00:00:19.380]  堂會怎樣運作的一個方法論
[00:00:19.380 --> 00:00:22.280]  有一個recap給大家
[00:00:22.280 --> 00:00:24.960]  我所分享的看法是怎樣的呢?
[00:00:24.960 --> 00:00:29.800]  就是教會是一個上帝去呼召的群體
[00:00:31.000 --> 00:00:32.000]  每一個人
[00:00:32.000 --> 00:00:33.840]  我們自己都可以找到
[00:00:33.840 --> 00:00:36.900]  我們自己內心最深的喜悅
[00:00:36.900 --> 00:00:39.800]  就是認識上帝去做我的時候
[00:00:39.800 --> 00:00:42.880]  祂擺了甚麼特質和恩賜給我
[00:00:42.880 --> 00:00:44.040]  就是我們可以找到
[00:00:44.040 --> 00:00:47.880]  我們自己內心最深的歡愉的一個地方
[00:00:47.880 --> 00:00:50.480]  當我們這樣去看到上帝
[00:00:50.480 --> 00:00:52.380]  去做我們的樣式的時候
[00:00:52.380 --> 00:00:55.860]  再去看到這個世界最深的需要
[00:00:55.860 --> 00:00:58.420]  當我們找到
[00:00:58.420 --> 00:01:00.860]  上帝做我們的角色
[00:01:00.860 --> 00:01:03.160]  以及找到跟這個世界
[00:01:03.160 --> 00:01:06.060]  去相交會之處的時候
[00:01:06.060 --> 00:01:09.740]  我們就可以去認識到上帝的呼召了
[00:01:09.740 --> 00:01:11.100]  當我們作為基督徒
[00:01:11.100 --> 00:01:13.180]  在教會群體的一份子裏面
[00:01:13.180 --> 00:01:15.940]  我們領受到上帝對我們的呼召
[00:01:15.940 --> 00:01:18.680]  我們眾人就衷心地去回應
[00:01:18.680 --> 00:01:20.680]  教會就可以成為教會了
[00:01:20.680 --> 00:01:23.880]  在這兩年的時候
[00:01:23.880 --> 00:01:25.420]  都有不同的代表姐妹
[00:01:25.420 --> 00:01:29.420]  都好好地跟我有分享大家的看法
[00:01:29.420 --> 00:01:33.020]  當中不止一個的弟兄姐妹
[00:01:33.020 --> 00:01:34.600]  都有一個這樣的看法
[00:01:34.600 --> 00:01:36.960]  就是如果每一個人
[00:01:36.960 --> 00:01:39.400]  都按著我們自己的感動去服侍
[00:01:39.400 --> 00:01:42.040]  只是按著我們自己的恩賜去服侍的話
[00:01:42.040 --> 00:01:44.340]  我們不顧整體去怎樣運作
[00:01:44.340 --> 00:01:46.940]  這樣教會就會群龍無首
[00:01:46.940 --> 00:01:49.240]  缺乏秩序和方向
[00:01:49.240 --> 00:01:52.240]  不知道大家又是怎樣去看
[00:01:52.240 --> 00:01:54.020]  堂會的運作方法論
[00:01:55.880 --> 00:01:59.620]  雖然我不完全去認同這個看法
[00:01:59.620 --> 00:02:03.420]  但我覺得的確是給了我有很多的思考
[00:02:03.420 --> 00:02:07.860]  但是我們從剛才的經文
[00:02:07.860 --> 00:02:12.160]  前面12章我們可以認識到一件事
[00:02:12.160 --> 00:02:14.760]  恩賜或者呼召
[00:02:14.760 --> 00:02:16.460]  或者來服侍的崗位
[00:02:16.460 --> 00:02:18.640]  或者不同的侍宮
[00:02:18.640 --> 00:02:21.800]  其實是從上帝而來的
[00:02:21.800 --> 00:02:24.840]  難道上帝自己不懂得去做
[00:02:24.840 --> 00:02:26.380]  人力資源管理嗎
