
[00:00:00.000 --> 00:00:02.720]  這個星期我們在教會裏面
[00:00:02.720 --> 00:00:06.040]  有我們2025年的暑期聖經營
[00:00:06.040 --> 00:00:09.040]  我們有很多的小學生、中學生
[00:00:09.040 --> 00:00:11.480]  還有我們的家長在我們當中
[00:00:11.480 --> 00:00:15.240]  我們聖經營的中心主題有五個
[00:00:15.240 --> 00:00:18.760]  其實在那張Flyers裏面你已經看到了
[00:00:18.760 --> 00:00:23.160]  這五個主題也是我們教會的核心價值
[00:00:23.160 --> 00:00:26.480]  我相信大家都已經是非常熟悉
[00:00:26.480 --> 00:00:28.480]  聖經至真實
[00:00:28.480 --> 00:00:29.760]  The Bible is true
[00:00:30.080 --> 00:00:31.440]  罪惡乃根源
[00:00:31.440 --> 00:00:32.840]  Sin is the problem
[00:00:32.840 --> 00:00:34.640]  地獄火紅紅
[00:00:34.640 --> 00:00:36.480]  Hell is real and hot
[00:00:36.480 --> 00:00:38.520]  耶穌為答案
[00:00:38.520 --> 00:00:40.280]  Jesus is the answer
[00:00:40.280 --> 00:00:42.120]  迴轉必得救
[00:00:42.120 --> 00:00:44.600]  U-turn is the way
[00:00:44.600 --> 00:00:49.080]  如果我們可以將這五個機要的真理
[00:00:49.080 --> 00:00:51.840]  寫在一張白紙上面
[00:00:51.840 --> 00:00:55.000]  接著將那張白紙捲起來
[00:00:55.000 --> 00:00:57.000]  閉上眼睛
[00:00:57.000 --> 00:00:59.760]  切切地為那張紙禱告
[00:01:00.080 --> 00:01:02.280]  接著再打開那張紙
[00:01:02.280 --> 00:01:03.960]  接一個紙人
[00:01:03.960 --> 00:01:08.840]  我們想我們接出來的這個紙人
[00:01:08.840 --> 00:01:11.120]  將會是一個怎樣的人呢
[00:01:11.120 --> 00:01:12.440]  如果你問我
[00:01:12.440 --> 00:01:15.560]  林牧師你猜你可以接出一個怎樣的人
[00:01:15.560 --> 00:01:21.920]  這個人包括了這五個最中心的真理
[00:01:21.920 --> 00:01:23.080]  這個人
