
[00:00:00.000 --> 00:00:04.000]  各位弟兄姊妹早晨!平安!
[00:00:04.000 --> 00:00:09.000]  今天天氣轉涼,又有風,昨天又有雨
[00:00:09.000 --> 00:00:14.000]  各位弟兄姊妹今天聚集在神的家裡聚會
[00:00:14.000 --> 00:00:19.000]  除了是一個習慣、傳統
[00:00:19.000 --> 00:00:23.000]  我相信我們來到神面前總是心有所想
[00:00:23.000 --> 00:00:27.000]  希望主會藉著我們親近祂
[00:00:27.000 --> 00:00:30.000]  加能、賜力給我們
[00:00:30.000 --> 00:00:36.000]  讓我們一個星期後在工作地方、在家庭、在社區
[00:00:36.000 --> 00:00:38.000]  能夠有力去生活
[00:00:38.000 --> 00:00:41.000]  我們親近神一方面是敬拜祂
[00:00:41.000 --> 00:00:43.000]  一方面都是支取力量
[00:00:43.000 --> 00:00:46.000]  所以今天我給大家一個問卷
[00:00:46.000 --> 00:00:54.000]  你目前人生有沒有遇到一些難處?
[00:00:54.000 --> 00:01:09.000]  人生裡無論是身體、心靈、人際關係、工作地方、社會、世界
[00:01:09.000 --> 00:01:15.000]  有沒有一些難處你覺得做人真的困難呢?
[00:01:15.000 --> 00:01:18.000]  我相信如果我給大家一張問卷
[00:01:18.000 --> 00:01:21.000]  很少人說沒有的
[00:01:21.000 --> 00:01:24.000]  這是正常的
[00:01:24.000 --> 00:01:27.000]  大部份人人生都有很多困難
[00:01:27.000 --> 00:01:30.000]  在人生很多困難裡
[00:01:30.000 --> 00:01:34.000]  我們基督徒最需要的是什麼呢?
[00:01:34.000 --> 00:01:39.000]  我相信我們基督徒最需要的是信心
[00:01:39.000 --> 00:01:41.000]  信心非常重要
[00:01:41.000 --> 00:01:44.000]  在《新約聖經》裡
[00:01:44.000 --> 00:01:52.000]  講到信心和其他兩樣是三個基督徒的美德
[00:01:52.000 --> 00:01:55.000]  信、望、愛
[00:01:55.000 --> 00:01:57.000]  人特別是基督徒
[00:01:57.000 --> 00:02:01.000]  有信心、有愛心、也有盼望
[00:02:01.000 --> 00:02:03.000]  這樣才走完這條路
[00:02:03.000 --> 00:02:05.000]  但這三樣裡面
[00:02:05.000 --> 00:02:08.000]  擺信、望、愛只有一次
[00:02:08.000 --> 00:02:12.000]  這三樣的美德出現共四次
[00:02:12.000 --> 00:02:14.000]  擺這樣的次序
[00:02:14.000 --> 00:02:17.000]  一次是《哥林多前書》第十三章
[00:02:17.000 --> 00:02:19.000]  那裡如今常傳的
[00:02:19.000 --> 00:02:21.000]  有信、望、愛
[00:02:21.000 --> 00:02:24.000]  其中最大的就是愛
[00:02:24.000 --> 00:02:25.000]  其他那三處
[00:02:25.000 --> 00:02:28.000]  有兩處記載在《貼薩羅加前書》
[00:02:28.000 --> 00:02:30.000]  一章和第五章
[00:02:30.000 --> 00:02:32.000]  都是講這三種美德
[00:02:32.000 --> 00:02:34.000]  不過就是信、望、愛
[00:02:34.000 --> 00:02:38.000]  另外一處就是《哥羅西書等保羅監獄》寫的時候
[00:02:38.000 --> 00:02:41.000]  提到哥羅西信徒的美德
[00:02:41.000 --> 00:02:44.000]  提到他們有信、愛、望
[00:02:44.000 --> 00:02:45.000]  無論如何
[00:02:45.000 --> 00:02:48.000]  這三樣都是我們基督徒時時要操練的
[00:02:48.000 --> 00:02:52.000]  有信心、有盼望、有愛心
[00:02:52.000 --> 00:02:55.000]  但是無論次序怎麼擺
[00:02:55.000 --> 00:02:56.000]  有一個美德
[00:02:56.000 --> 00:02:58.000]  經常擺同一個位置的
[00:02:58.000 --> 00:03:01.000]  這個美德就是信心
[00:03:01.000 --> 00:03:03.000]  信永遠是擺第一
[00:03:03.000 --> 00:03:06.000]  雖然經文說是愛最大
[00:03:06.000 --> 00:03:10.000]  因為我們是怎樣進入基督的門裡
[00:03:10.000 --> 00:03:13.000]  我們是因信稱義
[00:03:13.000 --> 00:03:15.000]  我們不是因愛稱義
[00:03:15.000 --> 00:03:17.000]  我們是因信稱義
[00:03:17.000 --> 00:03:19.000]  我們信靠耶穌基督
[00:03:19.000 --> 00:03:22.000]  在十字架上為我們成就救贖
[00:03:22.000 --> 00:03:25.000]  將我們的生命買贖
[00:03:25.000 --> 00:03:27.000]  我們有罪的人只要跟他說
[00:03:27.000 --> 00:03:29.000]  主你是我們主
[00:03:29.000 --> 00:03:31.000]  我願意接受你做我的救主進入生命
[00:03:31.000 --> 00:03:33.000]  我們就得救
[00:03:33.000 --> 00:03:35.000]  人生的終局就改變
[00:03:35.000 --> 00:03:37.000]  所以信心是令我們
