
[00:00:00.000 --> 00:00:03.260]  菩薩前輩,讓我們先聽神的導議,讓我們先同心同心祈禱
[00:00:03.260 --> 00:00:06.360]  第一次怎麼樣,我們先聽神的導議,先同心同心祈禱
[00:00:06.360 --> 00:00:14.680]  親愛的父神,多謝祢,讓我們能夠再次回到祢的殿堂裡面敬拜
[00:00:14.680 --> 00:00:20.640]  讓我們知道,萬事都在上帝祢的手中所掌握
[00:00:20.640 --> 00:00:24.040]  但願我們竭力的在祢面前努力
[00:00:24.040 --> 00:00:26.380]  好好地學校主祢的教導
[00:00:26.380 --> 00:00:28.340]  學校主祢的養息
[00:00:28.340 --> 00:00:31.800]  並且能夠明白祢的心思意念
[00:00:31.800 --> 00:00:34.420]  活在今天這個世代裡面
[00:00:34.420 --> 00:00:37.740]  預備能夠去迎接永恆的生命
[00:00:37.740 --> 00:00:42.480]  怎樣在上帝祢的新天新地裡面與主祢同活
[00:00:42.480 --> 00:00:47.260]  我們再一次將這段聽道的恭敬的時間交上
[00:00:47.260 --> 00:00:53.460]  求祢的靈在其間,無論講的聽的都同夢主祢的恩福
[00:00:53.460 --> 00:01:00.560]  親愛的父神,感謝祢,使到我們能夠再次來到祢的庚前來敬拜
[00:01:00.560 --> 00:01:04.540]  我們明白萬事都在祢的掌握當中
[00:01:04.540 --> 00:01:09.260]  無論是好的、壞的、沒一樣的事
[00:01:09.260 --> 00:01:12.420]  原來都有主祢的旨意在其中
[00:01:12.420 --> 00:01:17.020]  讓我們更體察上帝祢到底是怎麼樣為主
[00:01:17.020 --> 00:01:19.820]  祢的心思意念是怎麼樣
[00:01:19.820 --> 00:01:24.800]  使我們能夠學校祢在祢的生命裡面
[00:01:24.800 --> 00:01:28.220]  來到預備活在將來永恆的當中
[00:01:28.220 --> 00:01:32.340]  從祢的幫助使我們今天在聽道的時候
[00:01:32.340 --> 00:01:36.700]  無論聽的、講的都同夢心靈應答
[00:01:36.700 --> 00:01:38.200]  夢主祢的恩福
[00:01:38.200 --> 00:01:40.700]  忘恩達教,封住耶穌的名臣
[00:01:40.700 --> 00:01:42.700]  Amen
[00:01:42.700 --> 00:01:45.260]  我都挺喜歡看電影的
[00:01:45.260 --> 00:01:47.260]  我喜歡看電影
[00:01:47.260 --> 00:01:50.700]  不過看電影我是很小心去選擇的
[00:01:50.700 --> 00:01:52.700]  看電影我很小心地去選擇
[00:01:52.700 --> 00:01:55.580]  因為聖經都教了
[00:01:55.580 --> 00:02:01.300]  小心去看你所應該看的東西
[00:02:01.300 --> 00:02:03.580]  這個世界上
[00:02:03.580 --> 00:02:08.580]  聽相對於看
[00:02:08.580 --> 00:02:13.460]  聽的接受能力很低
[00:02:13.460 --> 00:02:17.260]  正所謂左邊易入,右邊易出
[00:02:17.260 --> 00:02:18.260]  就是這個原因
[00:02:18.260 --> 00:02:20.260]  左而入,右而出
[00:02:20.260 --> 00:02:22.260]  但看是很不同的
[00:02:22.260 --> 00:02:26.780]  看就將整個影像鎖在你的腦海裡面
[00:02:26.780 --> 00:02:30.180]  看就會將整個影像鎖在你腦海裡面
[00:02:30.180 --> 00:02:32.540]  以前我曾經跟很多年輕人說過
[00:02:32.540 --> 00:02:36.700]  小心去看你自己選擇看的東西
[00:02:36.700 --> 00:02:40.140]  最小心選擇你要去看的東西
[00:02:40.140 --> 00:02:44.420]  因為你看了之後就鎖在你腦海裡面
[00:02:44.420 --> 00:02:46.420]  就印在你的腦海裡面
[00:02:46.420 --> 00:02:49.180]  年輕人就說我定力很高,不像你們這些老鬼
[00:02:49.180 --> 00:02:51.980]  就說我定力很高,不像你們這些老鬼
[00:02:51.980 --> 00:02:56.060]  但實質上當我們做了人差不多的時候
[00:02:56.060 --> 00:02:57.340]  我們就會發現
[00:02:57.340 --> 00:03:00.140]  當我們做到這個時候我們就會發現
[00:03:00.140 --> 00:03:02.140]  看一個影像
[00:03:02.140 --> 00:03:05.900]  其實那些影像在你的腦海裡面不斷重複地出現
[00:03:05.900 --> 00:03:08.540]  就不停地在你腦海裡面重複出現
[00:03:08.540 --> 00:03:10.540]  如果你聽了一首歌
[00:03:10.540 --> 00:03:11.780]  當你聽了這首歌
[00:03:11.780 --> 00:03:13.780]  未必那麼深刻
[00:03:13.780 --> 00:03:15.780]  但如果你看了一齣戲的話
[00:03:15.780 --> 00:03:17.100]  但你如果看了一齣戲
[00:03:17.100 --> 00:03:18.100]  就有影像
[00:03:18.100 --> 00:03:18.860]  有影像
[00:03:18.860 --> 00:03:19.860]  就有聲音的時候
[00:03:19.860 --> 00:03:20.740]  有聲音的時候
[00:03:20.740 --> 00:03:23.580]  你就會很震撼
[00:03:23.580 --> 00:03:24.460]  其中一齣戲
[00:03:24.460 --> 00:03:27.100]  我在自己看這麼多戲當中
[00:03:27.100 --> 00:03:32.940]  我最深刻的這齣戲的名字就叫《搶救雷恩大兵》
[00:03:32.940 --> 00:03:36.540]  我看過一部電影叫做《搶救雷恩大兵》
[00:03:36.540 --> 00:03:40.500]  英文名叫做《Saving Private Ryan》
[00:03:40.500 --> 00:03:43.700]  英文叫做《Saving Private Ryan》
[00:03:43.700 --> 00:03:46.300]  這部電影一方面當然是美國人拍
[00:03:46.300 --> 00:03:49.020]  它要彰顯大美國主義
[00:03:49.020 --> 00:03:50.340]  當然這是美國人拍的
[00:03:50.340 --> 00:03:52.180]  它要彰顯大美國主義
[00:03:52.180 --> 00:03:57.500]  但是這部電影裡面也嘗試表達了不同的主題
[00:03:57.500 --> 00:04:00.220]  它也嘗試表達不同的主題
[00:04:00.220 --> 00:04:04.220]  特別是對一個家庭的尊重或者遺傳
[00:04:04.220 --> 00:04:06.940]  特別是對一個家庭的尊重或者遺傳
