
[00:00:00.000 --> 00:00:03.860]  我們知道在疫情當中
[00:00:03.860 --> 00:00:06.560]  經常有反覆 經常來來往往
[00:00:06.560 --> 00:00:10.400]  我相信也不會很快有結束
[00:00:10.400 --> 00:00:14.120]  我們有一些心理準備
[00:00:14.120 --> 00:00:16.320]  不過結不結束也好
[00:00:16.320 --> 00:00:19.280]  在聖誕節期間
[00:00:19.280 --> 00:00:21.440]  我們知道有一樣東西是肯定的
[00:00:21.440 --> 00:00:24.480]  有一個事實就是基督曾經降世
[00:00:24.480 --> 00:00:25.520]  在我們中間
[00:00:25.520 --> 00:00:27.200]  所以在這幾個星期
[00:00:27.200 --> 00:00:29.680]  我們會看看聖誕節的一些經文
[00:00:29.680 --> 00:00:30.960]  想起聖誕節的經文
[00:00:30.960 --> 00:00:32.320]  想起這一段
[00:00:32.320 --> 00:00:34.960]  就是《耳措夏書》第七章十四節
[00:00:34.960 --> 00:00:39.520]  「因此主自己必給你們一個兆頭
[00:00:39.520 --> 00:00:42.720]  看!必有同女懷孕生子
[00:00:42.720 --> 00:00:47.600]  他要給他起名叫做以馬來尼」
[00:00:47.600 --> 00:00:50.640]  一個以馬來尼名字的英雄
[00:00:50.640 --> 00:00:53.360]  我們經常聖誕節時提到這一段聖經
[00:00:53.360 --> 00:00:58.000]  我們說這段聖經是講到基督的降臨
[00:00:58.000 --> 00:00:59.760]  適合了一半
[00:00:59.760 --> 00:01:02.720]  但是有另一半我們今天可以看看
[00:01:02.720 --> 00:01:05.040]  就是我曾經跟大家講過
[00:01:05.040 --> 00:01:06.560]  在聖經裏面
[00:01:06.560 --> 00:01:08.640]  每逢有一些經文出現
[00:01:08.640 --> 00:01:11.120]  都是不是直接寫給我們的
[00:01:11.120 --> 00:01:13.200]  而是為我們而寫
[00:01:13.200 --> 00:01:15.360]  直接寫給當時的人
[00:01:15.360 --> 00:01:17.680]  所以《耳措夏書》第七章
[00:01:17.680 --> 00:01:21.120]  是寫給當時耳措夏的群眾
[00:01:21.120 --> 00:01:24.080]  耳措夏一定不是二十一世紀的人
[00:01:24.080 --> 00:01:26.640]  是主前大概七百多年的時候
[00:01:26.640 --> 00:01:30.400]  大概二千七百多年前的一個先知
[00:01:30.400 --> 00:01:33.040]  他所講的說話、講的講道
[00:01:33.040 --> 00:01:34.720]  所以我們需要了解一下
[00:01:34.720 --> 00:01:38.560]  到底這裡為什麼講以馬來尼、Emmanuel
[00:01:38.560 --> 00:01:42.080]  所以有一些背景我們一定需要去了解
[00:01:42.080 --> 00:01:44.320]  在時間表很簡單告訴大家
[00:01:44.320 --> 00:01:47.040]  是耳措夏書一至三十九章的背景
[00:01:47.040 --> 00:01:49.680]  我們知道在大概三千年之前
[00:01:49.680 --> 00:01:50.880]  聖經裏面記載
[00:01:50.880 --> 00:01:53.280]  「素羅、大衛、所羅門」
[00:01:53.280 --> 00:01:55.120]  這段時間大概有一百年左右
[00:01:55.120 --> 00:01:56.160]  也不夠一百年
[00:01:56.160 --> 00:01:58.000]  那個所謂聯合王國的時候
[00:01:58.000 --> 00:02:01.680]  就是當時以色列國十二支派聯合的時候
[00:02:01.680 --> 00:02:04.080]  大概不夠一百年
[00:02:04.080 --> 00:02:05.760]  所羅門死了之後
[00:02:05.760 --> 00:02:11.360]  聯合王國就分裂了成為南國和北國
[00:02:11.360 --> 00:02:12.800]  北國叫什麼名字?
[00:02:12.800 --> 00:02:14.480]  叫做以色列是不是?
[00:02:14.480 --> 00:02:16.320]  或者叫做意法連
[00:02:16.320 --> 00:02:19.520]  很多時候講到以色列的時候
[00:02:19.520 --> 00:02:21.680]  很多時候就會叫以色列做意法連
[00:02:21.680 --> 00:02:23.840]  因為上面十個支派
[00:02:23.840 --> 00:02:24.800]  北面十個支派
[00:02:24.800 --> 00:02:26.080]  以色列十個支派
[00:02:26.080 --> 00:02:27.520]  最大的那個就是意法連
[00:02:27.520 --> 00:02:28.880]  最有影響力的就是意法連
[00:02:28.880 --> 00:02:30.880]  所以通常我們叫它做伊夫人
[00:02:30.880 --> 00:02:32.960]  就不會這麼混亂了
[00:02:32.960 --> 00:02:33.600]  是不是?
[00:02:33.600 --> 00:02:34.800]  北國叫做以色列
[00:02:34.800 --> 00:02:36.400]  南國叫什麼?
[00:02:36.400 --> 00:02:37.440]  猶大國是不是?
[00:02:37.440 --> 00:02:38.160]  Judah
[00:02:38.160 --> 00:02:40.640]  京都就是在耶路撒冷
[00:02:40.640 --> 00:02:42.320]  北國的京都就是聖瑪利亞
[00:02:42.320 --> 00:02:43.600]  在聖瑪利亞
[00:02:43.600 --> 00:02:45.040]  在這段時間裏面
[00:02:45.040 --> 00:02:46.560]  就是一段很混亂的時候
[00:02:46.560 --> 00:02:50.720]  同時之前聯合王國
[00:02:50.720 --> 00:02:52.480]  或者剛剛分裂的時候
[00:02:52.480 --> 00:02:56.320]  世界都沒有一些超級大國出現
