
[00:00:00.000 --> 00:00:02.320]  我們來到舊日網上的第十三講
[00:00:02.320 --> 00:00:05.240]  之前我們講到創世的故事是發展成怎樣呢
[00:00:05.240 --> 00:00:10.360]  阿伯拉罕在希伯倫的萬里長殊神的三位使者來到
[00:00:10.360 --> 00:00:11.960]  阿伯拉罕款待他們
[00:00:11.960 --> 00:00:13.920]  神就向撒拉報棄
[00:00:13.920 --> 00:00:15.240]  一年之後
[00:00:15.240 --> 00:00:16.720]  以撒就會出生
[00:00:16.720 --> 00:00:18.080]  之後發生了什麼事呢
[00:00:18.080 --> 00:00:20.400]  我們用少許時間解釋這段很長的經文
[00:00:20.400 --> 00:00:22.640]  然後看看怎樣去形容
[00:00:22.640 --> 00:00:24.920]  阿伯拉罕款待了使者之後
[00:00:24.920 --> 00:00:27.440]  三人就從那裡起身
[00:00:27.440 --> 00:00:29.440]  向著所多瑪觀看
[00:00:29.440 --> 00:00:31.440]  阿伯拉罕與他們同行
[00:00:31.440 --> 00:00:33.320]  要送他們一程
[00:00:33.320 --> 00:00:35.800]  所多瑪、俄摩拉等等的城市
[00:00:35.800 --> 00:00:38.200]  有人認為是在死海的北面
[00:00:38.200 --> 00:00:42.040]  但是大部分的學者都認為是死海南面的東岸
[00:00:42.040 --> 00:00:44.920]  雖然現在未能確認
[00:00:44.920 --> 00:00:48.920]  或者可能這些古城滅亡之後
[00:00:48.920 --> 00:00:51.880]  就是埋在死海之下了
[00:00:51.880 --> 00:00:53.440]  但是按照聖經的地理
[00:00:53.440 --> 00:00:55.320]  是在這一帶
[00:00:55.320 --> 00:00:56.440]  無論怎樣也好
[00:00:56.440 --> 00:00:59.960]  聖經的地理細節是合理的
[00:00:59.960 --> 00:01:03.920]  由希伯倫的山地萬里橡樹往東
[00:01:03.920 --> 00:01:06.760]  一路下去死海的低谷
[00:01:06.760 --> 00:01:07.760]  過了死海
[00:01:07.760 --> 00:01:11.200]  對面就是所多瑪和俄摩拉
[00:01:11.200 --> 00:01:15.280]  為什麼神要去所多瑪、俄摩拉呢?
[00:01:15.280 --> 00:01:17.040]  十八章二十節
[00:01:17.040 --> 00:01:17.760]  又話說
[00:01:17.760 --> 00:01:19.760]  控告所多瑪、俄摩拉的聲音
[00:01:19.760 --> 00:01:21.840]  甚大他們的罪惡極重
[00:01:21.840 --> 00:01:23.400]  我現在要下去
[00:01:23.400 --> 00:01:25.520]  看看他們所行的
[00:01:25.520 --> 00:01:28.720]  是否象那聲聞於我的控告之聲
